id,timestamp,circles
10001,1398846936.7358615,[]
10002,1398846936.7758837,[]
10003,1398846936.7843804,[]
10004,1398846936.8238342,[]
10005,1398846936.8639016,[]
10006,1398846936.8639796,[]
10007,1398846936.903844,[]
10008,1398846936.9090192,[]
10009,1398846936.9478118,[]
10010,1398846936.9878864,[]
10011,1398846936.9879136,[]
10012,1398846937.0278854,[]
10013,1398846937.0340953,[]
10014,1398846937.0718727,[]
10015,1398846937.1120074,[]
10016,1398846937.1120436,[]
10017,1398846937.1518571,[]
10018,1398846937.1582968,[]
10019,1398846937.1957655,[]
10020,1398846937.235862,[]
10021,1398846937.2359536,[]
10022,1398846937.2758832,[]
10023,1398846937.2828832,[]
10024,1398846937.3199189,[]
10025,1398846937.3598278,[{'idp':  1 ,  'x':  5.28 ,  'y':  -7.79 ,  'r':  0.6 ,  'type':  1}]
10026,1398846937.359858,[{'idp':  1 ,  'x':  5.26 ,  'y':  -7.73 ,  'r':  0.6 ,  'type':  1}]
10027,1398846937.399885,[{'idp':  1 ,  'x':  5.22 ,  'y':  -7.71 ,  'r':  0.6 ,  'type':  1}]
10028,1398846937.4069624,[{'idp':  1 ,  'x':  5.24 ,  'y':  -7.69 ,  'r':  0.6 ,  'type':  1}]
10029,1398846937.4438436,[{'idp':  1 ,  'x':  5.15 ,  'y':  -7.73 ,  'r':  0.6 ,  'type':  1}]
10030,1398846937.4838874,[{'idp':  1 ,  'x':  5.08 ,  'y':  -7.73 ,  'r':  0.6 ,  'type':  1}]
10031,1398846937.4839182,[{'idp':  1 ,  'x':  5.06 ,  'y':  -7.71 ,  'r':  0.6 ,  'type':  1}]
10032,1398846937.5238996,[{'idp':  1 ,  'x':  5.05 ,  'y':  -7.7 ,  'r':  0.6 ,  'type':  1}]
10033,1398846937.5321832,[{'idp':  1 ,  'x':  5.07 ,  'y':  -7.72 ,  'r':  0.6 ,  'type':  1}]
10034,1398846937.5718598,[{'idp':  1 ,  'x':  4.96 ,  'y':  -7.71 ,  'r':  0.6 ,  'type':  1}]
10035,1398846937.6119258,[{'idp':  1 ,  'x':  4.9 ,  'y':  -7.74 ,  'r':  0.6 ,  'type':  1}]
10036,1398846937.6119561,[{'idp':  1 ,  'x':  4.79 ,  'y':  -7.77 ,  'r':  0.6 ,  'type':  1}]
10037,1398846937.6519349,[{'idp':  1 ,  'x':  4.67 ,  'y':  -7.8 ,  'r':  0.6 ,  'type':  1}]
10038,1398846937.6567094,[{'idp':  1 ,  'x':  4.56 ,  'y':  -7.84 ,  'r':  0.6 ,  'type':  1}]
10039,1398846937.69586,[{'idp':  1 ,  'x':  4.54 ,  'y':  -7.83 ,  'r':  0.6 ,  'type':  1}]
10040,1398846937.7358525,[{'idp':  1 ,  'x':  4.41 ,  'y':  -7.88 ,  'r':  0.6 ,  'type':  1}]
10041,1398846937.735886,[{'idp':  1 ,  'x':  4.31 ,  'y':  -7.89 ,  'r':  0.6 ,  'type':  1}]
10042,1398846937.7758617,[{'idp':  1 ,  'x':  4.23 ,  'y':  -7.92 ,  'r':  0.6 ,  'type':  1}]
10043,1398846937.7822914,[{'idp':  1 ,  'x':  4.16 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10044,1398846937.8198438,[{'idp':  1 ,  'x':  4.11 ,  'y':  -7.9 ,  'r':  0.6 ,  'type':  1}]
10045,1398846937.8598585,[{'idp':  1 ,  'x':  4.08 ,  'y':  -7.88 ,  'r':  0.6 ,  'type':  1}]
10046,1398846937.8598905,[{'idp':  1 ,  'x':  4.01 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10047,1398846937.8998194,[{'idp':  1 ,  'x':  3.95 ,  'y':  -7.87 ,  'r':  0.6 ,  'type':  1}]
10048,1398846937.9059231,[{'idp':  1 ,  'x':  3.91 ,  'y':  -7.81 ,  'r':  0.6 ,  'type':  1}]
10049,1398846937.9439175,[{'idp':  1 ,  'x':  3.85 ,  'y':  -7.81 ,  'r':  0.6 ,  'type':  1}]
10050,1398846937.9838483,[{'idp':  1 ,  'x':  3.84 ,  'y':  -7.84 ,  'r':  0.6 ,  'type':  1}]
10051,1398846937.9839098,[{'idp':  1 ,  'x':  3.75 ,  'y':  -7.86 ,  'r':  0.6 ,  'type':  1}]
10052,1398846938.0238278,[{'idp':  1 ,  'x':  3.72 ,  'y':  -7.89 ,  'r':  0.6 ,  'type':  1}]
10053,1398846938.0315108,[{'idp':  1 ,  'x':  3.71 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10054,1398846938.06879,[{'idp':  1 ,  'x':  3.7 ,  'y':  -7.89 ,  'r':  0.6 ,  'type':  1}]
10055,1398846938.1078334,[{'idp':  1 ,  'x':  3.71 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10056,1398846938.1078677,[{'idp':  1 ,  'x':  3.63 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10057,1398846938.1479058,[{'idp':  1 ,  'x':  3.57 ,  'y':  -7.92 ,  'r':  0.6 ,  'type':  1}]
10058,1398846938.1565263,[{'idp':  1 ,  'x':  3.57 ,  'y':  -7.93 ,  'r':  0.6 ,  'type':  1}]
10059,1398846938.1959054,[{'idp':  1 ,  'x':  3.52 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10060,1398846938.235849,[{'idp':  1 ,  'x':  3.51 ,  'y':  -7.92 ,  'r':  0.6 ,  'type':  1}]
10061,1398846938.2359002,[{'idp':  1 ,  'x':  3.48 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10062,1398846938.2759056,[{'idp':  1 ,  'x':  3.48 ,  'y':  -7.9 ,  'r':  0.6 ,  'type':  1}]
10063,1398846938.2803986,[{'idp':  1 ,  'x':  3.42 ,  'y':  -7.91 ,  'r':  0.6 ,  'type':  1}]
10064,1398846938.3198605,[{'idp':  1 ,  'x':  3.36 ,  'y':  -7.92 ,  'r':  0.6 ,  'type':  1}]
10065,1398846938.3598611,[{'idp':  1 ,  'x':  3.32 ,  'y':  -7.92 ,  'r':  0.6 ,  'type':  1}]
10066,1398846938.3598864,[{'idp':  1 ,  'x':  3.33 ,  'y':  -7.9 ,  'r':  0.6 ,  'type':  1}]
10067,1398846938.3999074,[{'idp':  1 ,  'x':  3.27 ,  'y':  -7.86 ,  'r':  0.6 ,  'type':  1}]
10068,1398846938.4062302,[{'idp':  1 ,  'x':  3.21 ,  'y':  -7.84 ,  'r':  0.6 ,  'type':  1}]
10069,1398846938.4439685,[{'idp':  1 ,  'x':  3.19 ,  'y':  -7.79 ,  'r':  0.6 ,  'type':  1}]
10070,1398846938.4839344,[{'idp':  1 ,  'x':  3.14 ,  'y':  -7.82 ,  'r':  0.6 ,  'type':  1}]
