id,timestamp,circles
30001,1398847436.211884,[{'idp':  1 ,  'x':  0.44 ,  'y':  0.98 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.32 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.23 ,  'y':  -2.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  2.19 ,  'y':  -2.99 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  3.15 ,  'y':  -2.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.9 ,  'y':  -4.53 ,  'r':  0.4 ,  'type':  1}]
30002,1398847436.2518828,[{'idp':  1 ,  'x':  0.3 ,  'y':  0.94 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.23 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.34 ,  'y':  -2.62 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  2.05 ,  'y':  -2.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  3.0 ,  'y':  -2.98 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.91 ,  'y':  -4.48 ,  'r':  0.4 ,  'type':  1}]
30003,1398847436.251908,[{'idp':  1 ,  'x':  0.28 ,  'y':  0.94 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.23 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.32 ,  'y':  -2.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  2.04 ,  'y':  -2.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.99 ,  'y':  -2.96 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.9 ,  'y':  -4.45 ,  'r':  0.4 ,  'type':  1}]
30004,1398847436.291829,[{'idp':  1 ,  'x':  0.28 ,  'y':  0.94 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.21 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.31 ,  'y':  -2.59 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  2.03 ,  'y':  -2.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.95 ,  'y':  -2.95 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.87 ,  'y':  -4.43 ,  'r':  0.4 ,  'type':  1}]
30005,1398847436.2970266,[{'idp':  1 ,  'x':  0.27 ,  'y':  0.93 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.21 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.29 ,  'y':  -2.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  2.01 ,  'y':  -2.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.93 ,  'y':  -2.94 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.84 ,  'y':  -4.39 ,  'r':  0.4 ,  'type':  1}]
30006,1398847436.335851,[{'idp':  1 ,  'x':  0.26 ,  'y':  0.93 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.2 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.28 ,  'y':  -2.55 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  2.0 ,  'y':  -2.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.9 ,  'y':  -2.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.81 ,  'y':  -4.37 ,  'r':  0.4 ,  'type':  1}]
30007,1398847436.3759692,[{'idp':  1 ,  'x':  0.25 ,  'y':  0.93 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.19 ,  'y':  2.65 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.27 ,  'y':  -2.53 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.99 ,  'y':  -2.88 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.91 ,  'y':  -2.94 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.8 ,  'y':  -4.35 ,  'r':  0.4 ,  'type':  1}]
30008,1398847436.3759916,[{'idp':  1 ,  'x':  0.23 ,  'y':  0.93 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.16 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.26 ,  'y':  -2.52 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.98 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.89 ,  'y':  -2.91 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.79 ,  'y':  -4.33 ,  'r':  0.4 ,  'type':  1}]
30009,1398847436.4162233,[{'idp':  1 ,  'x':  0.23 ,  'y':  0.93 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.15 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.25 ,  'y':  -2.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.97 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.89 ,  'y':  -2.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.78 ,  'y':  -4.3 ,  'r':  0.4 ,  'type':  1}]
30010,1398847436.4234726,[{'idp':  1 ,  'x':  0.21 ,  'y':  0.93 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.15 ,  'y':  2.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.24 ,  'y':  -2.48 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.96 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.84 ,  'y':  -2.88 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.76 ,  'y':  -4.28 ,  'r':  0.4 ,  'type':  1}]
30011,1398847436.4598513,[{'idp':  1 ,  'x':  0.2 ,  'y':  0.92 ,  'r':  0.6 ,  'type':  1} ,  {'idp':  2 ,  'x':  2.13 ,  'y':  2.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  3 ,  'x':  1.22 ,  'y':  -2.46 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  4 ,  'x':  1.95 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  5 ,  'x':  2.84 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  6 ,  'x':  1.73 ,  'y':  -4.26 ,  'r':  0.4 ,  'type':  1}]
