id,timestamp,circles
0,1398854618.4548473,[{'idp': 1, 'x': 7.291666666666668, 'y': 2.2916666666666674, 'r': 0.3999999999999999, 'type': 1}]
1,1398854618.47889,[{'idp': 1, 'x': 7.289644533516357, 'y': 2.297303412833047, 'r': 0.3999999999999999, 'type': 1}]
2,1398854618.5039358,[{'idp': 1, 'x': 7.295264155605905, 'y': 2.2990620572850795, 'r': 0.3999999999999999, 'type': 1}]
3,1398854618.5286293,[{'idp': 1, 'x': 7.301699834092945, 'y': 2.3011888166339833, 'r': 0.3999999999999999, 'type': 1}]
4,1398854618.5537856,[{'idp': 1, 'x': 7.327609034482753, 'y': 2.3095358659567733, 'r': 0.3999999999999999, 'type': 1}]
5,1398854618.5801175,[{'idp': 1, 'x': 7.353943571535158, 'y': 2.317641374951669, 'r': 0.3999999999999999, 'type': 1}]
6,1398854618.603998,[{'idp': 1, 'x': 7.361356860586767, 'y': 2.3199950424001003, 'r': 0.3999999999999999, 'type': 1}]
7,1398854618.62987,[{'idp': 1, 'x': 7.3939146971425345, 'y': 2.3127926378350794, 'r': 0.3999999999999999, 'type': 1}]
8,1398854618.6544642,[{'idp': 1, 'x': 7.40017264490652, 'y': 2.3145589782483134, 'r': 0.3999999999999999, 'type': 1}]
9,1398854618.6800146,[{'idp': 1, 'x': 7.4018647728308835, 'y': 2.3151757680142593, 'r': 0.3999999999999999, 'type': 1}]
10,1398854618.7176852,[{'idp': 1, 'x': 7.401126480273092, 'y': 2.315190029997025, 'r': 0.3999999999999999, 'type': 1}]
11,1398854618.7577207,[{'idp': 1, 'x': 7.42369124552654, 'y': 2.3224345999348928, 'r': 0.3999999999999999, 'type': 1}]
12,1398854618.757753,[{'idp': 1, 'x': 7.446838025329061, 'y': 2.3294911981299204, 'r': 0.3999999999999999, 'type': 1}]
13,1398854618.7977645,[{'idp': 1, 'x': 7.447926384421106, 'y': 2.330031080050914, 'r': 0.3999999999999999, 'type': 1}]
14,1398854618.8047569,[{'idp': 1, 'x': 7.464064226556896, 'y': 2.3350438367348714, 'r': 0.3999999999999999, 'type': 1}]
15,1398854618.8416994,[{'idp': 1, 'x': 7.464978331222505, 'y': 2.3174999846117594, 'r': 0.3999999999999999, 'type': 1}]
16,1398854618.8817315,[{'idp': 1, 'x': 7.470017960337385, 'y': 2.3190465611441202, 'r': 0.3999999999999999, 'type': 1}]
17,1398854618.8817506,[{'idp': 1, 'x': 7.471547236256506, 'y': 2.3375784398665123, 'r': 0.3999999999999999, 'type': 1}]
18,1398854618.9217584,[{'idp': 1, 'x': 7.502969390505541, 'y': 2.3115728686416603, 'r': 0.3999999999999999, 'type': 1}]
19,1398854618.929717,[{'idp': 1, 'x': 7.5077084190563586, 'y': 2.3310947948172345, 'r': 0.3999999999999999, 'type': 1}]
20,1398854618.9697587,[{'idp': 1, 'x': 7.482158817936555, 'y': 2.3230847812800137, 'r': 0.3999999999999999, 'type': 1}]
21,1398854619.0097547,[{'idp': 1, 'x': 7.5057405732765, 'y': 2.3303162416922585, 'r': 0.3999999999999999, 'type': 1}]
22,1398854619.0097845,[{'idp': 1, 'x': 7.510706735446022, 'y': 2.3140511584814316, 'r': 0.3999999999999999, 'type': 1}]
23,1398854619.0497344,[{'idp': 1, 'x': 7.49141509135661, 'y': 2.325869588098639, 'r': 0.3999999999999999, 'type': 1}]
24,1398854619.054868,[{'idp': 1, 'x': 7.489056235118179, 'y': 2.32522394890593, 'r': 0.3999999999999999, 'type': 1}]
25,1398854619.0937378,[{'idp': 1, 'x': 7.500024600028881, 'y': 2.3105178259675196, 'r': 0.3999999999999999, 'type': 1}]
26,1398854619.133756,[{'idp': 1, 'x': 7.483862164507933, 'y': 2.305668866589643, 'r': 0.3999999999999999, 'type': 1}]
27,1398854619.1337914,[{'idp': 1, 'x': 7.504675341486937, 'y': 2.311978481741077, 'r': 0.3999999999999999, 'type': 1}]
28,1398854619.1737618,[{'idp': 1, 'x': 7.4950720947715155, 'y': 2.3091879059715215, 'r': 0.3999999999999999, 'type': 1}]
29,1398854619.180354,[{'idp': 1, 'x': 7.494866599799687, 'y': 2.309007026607186, 'r': 0.3999999999999999, 'type': 1}]
30,1398854619.2176807,[{'idp': 1, 'x': 7.485163958368908, 'y': 2.323899624617889, 'r': 0.3999999999999999, 'type': 1}]
31,1398854619.2577448,[{'idp': 1, 'x': 7.5055940499158025, 'y': 2.3304113609365817, 'r': 0.3999999999999999, 'type': 1}]
32,1398854619.257773,[{'idp': 1, 'x': 7.50690395063863, 'y': 2.3128126809771543, 'r': 0.3999999999999999, 'type': 1}]
33,1398854619.2977514,[{'idp': 1, 'x': 7.503718488793945, 'y': 2.3297122276155435, 'r': 0.3999999999999999, 'type': 1}]
34,1398854619.305084,[{'idp': 1, 'x': 7.488541154797927, 'y': 2.325012232372594, 'r': 0.3999999999999999, 'type': 1}]
35,1398854619.34172,[{'idp': 1, 'x': 7.518583171584348, 'y': 2.316507134225949, 'r': 0.3999999999999999, 'type': 1}]
36,1398854619.3817356,[{'idp': 1, 'x': 7.507236350957431, 'y': 2.313006125474102, 'r': 0.3999999999999999, 'type': 1}]
