id,timestamp,circles
15301,1398855001.8137975,[{'idp': 1, 'x': 3.458333333333332, 'y': 2.5416666666666665, 'r': 0.3999999999999999, 'type': 1}]
15302,1398855001.8197792,[{'idp': 1, 'x': 3.4715478159373436, 'y': 2.6304557273195806, 'r': 0.3999999999999999, 'type': 1}]
15303,1398855001.857735,[{'idp': 1, 'x': 3.4610120750345907, 'y': 2.63384360717577, 'r': 0.3999999999999999, 'type': 1}]
15304,1398855001.8977075,[{'idp': 1, 'x': 3.4621939536351265, 'y': 2.6301478404521372, 'r': 0.3999999999999999, 'type': 1}]
15305,1398855001.8977396,[{'idp': 1, 'x': 3.4496852964175218, 'y': 2.6368942518249705, 'r': 0.3999999999999999, 'type': 1}]
15306,1398855001.937725,[{'idp': 1, 'x': 3.4314022567565305, 'y': 2.6237830879498714, 'r': 0.3999999999999999, 'type': 1}]
15307,1398855001.9449024,[{'idp': 1, 'x': 3.4211314368270784, 'y': 2.616035639648695, 'r': 0.3999999999999999, 'type': 1}]
15308,1398855001.9817443,[{'idp': 1, 'x': 3.4132122195754233, 'y': 2.621985545533787, 'r': 0.3999999999999999, 'type': 1}]
15309,1398855002.0217462,[{'idp': 1, 'x': 3.3980462075645956, 'y': 2.6146637295457964, 'r': 0.3999999999999999, 'type': 1}]
15310,1398855002.021833,[{'idp': 1, 'x': 3.3972877772904897, 'y': 2.6044833454007255, 'r': 0.3999999999999999, 'type': 1}]
15311,1398855002.061736,[{'idp': 1, 'x': 3.3799563006073496, 'y': 2.6081140738558983, 'r': 0.3999999999999999, 'type': 1}]
15312,1398855002.0696545,[{'idp': 1, 'x': 3.366859584612294, 'y': 2.6245711958202467, 'r': 0.3999999999999999, 'type': 1}]
15313,1398855002.1057713,[{'idp': 1, 'x': 3.351577519981088, 'y': 2.609538059986818, 'r': 0.3999999999999999, 'type': 1}]
15314,1398855002.1457512,[{'idp': 1, 'x': 3.344233858911525, 'y': 2.615031901645102, 'r': 0.3999999999999999, 'type': 1}]
15315,1398855002.1457803,[{'idp': 1, 'x': 3.335483177819194, 'y': 2.620188937073462, 'r': 0.3999999999999999, 'type': 1}]
15316,1398855002.1857781,[{'idp': 1, 'x': 3.3167314186871044, 'y': 2.6054242975201047, 'r': 0.3999999999999999, 'type': 1}]
15317,1398855002.1952374,[{'idp': 1, 'x': 3.3264694914004567, 'y': 2.6009362526637747, 'r': 0.3999999999999999, 'type': 1}]
15318,1398855002.2337592,[{'idp': 1, 'x': 3.3129975377595833, 'y': 2.605716828436926, 'r': 0.3999999999999999, 'type': 1}]
15319,1398855002.2737517,[{'idp': 1, 'x': 3.3054650609443637, 'y': 2.5965113836445286, 'r': 0.3999999999999999, 'type': 1}]
15320,1398855002.2737823,[{'idp': 1, 'x': 3.2862420859726704, 'y': 2.605038872283585, 'r': 0.3999999999999999, 'type': 1}]
15321,1398855002.3137288,[{'idp': 1, 'x': 3.2767902060101495, 'y': 2.59675152163241, 'r': 0.3999999999999999, 'type': 1}]
15322,1398855002.3211784,[{'idp': 1, 'x': 3.2838758307727467, 'y': 2.579190069076196, 'r': 0.3999999999999999, 'type': 1}]
15323,1398855002.3578095,[{'idp': 1, 'x': 3.2678653447152795, 'y': 2.567425279828819, 'r': 0.3999999999999999, 'type': 1}]
15324,1398855002.3977597,[{'idp': 1, 'x': 3.257221775298995, 'y': 2.581817042539458, 'r': 0.3999999999999999, 'type': 1}]
15325,1398855002.3977919,[{'idp': 1, 'x': 3.2401902580297404, 'y': 2.5912719455557065, 'r': 0.3999999999999999, 'type': 1}]
15326,1398855002.437782,[{'idp': 1, 'x': 3.2234971864175965, 'y': 2.589981185323693, 'r': 0.3999999999999999, 'type': 1}]
15327,1398855002.4463832,[{'idp': 1, 'x': 3.2176304375741305, 'y': 2.5963087262634765, 'r': 0.3999999999999999, 'type': 1}]
15328,1398855002.4857085,[{'idp': 1, 'x': 3.200384935299325, 'y': 2.593952309483938, 'r': 0.3999999999999999, 'type': 1}]
15329,1398855002.5257626,[{'idp': 1, 'x': 3.191298692376525, 'y': 2.598249149288001, 'r': 0.3999999999999999, 'type': 1}]
15330,1398855002.5257943,[{'idp': 1, 'x': 3.1875154250937077, 'y': 2.589346142313249, 'r': 0.3999999999999999, 'type': 1}]
15331,1398855002.5657995,[{'idp': 1, 'x': 3.1528038103531575, 'y': 2.5902514602380267, 'r': 0.3999999999999999, 'type': 1}]
15332,1398855002.5721047,[{'idp': 1, 'x': 3.158314145872927, 'y': 2.5946712084635415, 'r': 0.3999999999999999, 'type': 1}]
15333,1398855002.6097891,[{'idp': 1, 'x': 3.1488311896782495, 'y': 2.5867286301874115, 'r': 0.3999999999999999, 'type': 1}]
15334,1398855002.6498044,[{'idp': 1, 'x': 3.1442064452492002, 'y': 2.5983681374603473, 'r': 0.3999999999999999, 'type': 1}]
15335,1398855002.6498368,[{'idp': 1, 'x': 3.1281216813400037, 'y': 2.592873572296839, 'r': 0.3999999999999999, 'type': 1}]
15336,1398855002.6897478,[{'idp': 1, 'x': 3.1168297208824147, 'y': 2.5944632062139283, 'r': 0.3999999999999999, 'type': 1}]
15337,1398855002.6975124,[{'idp': 1, 'x': 3.111023033704583, 'y': 2.5947073164053958, 'r': 0.3999999999999999, 'type': 1}]
15338,1398855002.7337132,[{'idp': 1, 'x': 3.1075532573075537, 'y': 2.5605557362338605, 'r': 0.3999999999999999, 'type': 1}]
15339,1398855002.7737358,[{'idp': 1, 'x': 3.1170854712508356, 'y': 2.5680337144491694, 'r': 0.3999999999999999, 'type': 1}]
15340,1398855002.7737658,[{'idp': 1, 'x': 3.095114203568512, 'y': 2.56536473632774, 'r': 0.3999999999999999, 'type': 1}]
15341,1398855002.8137262,[{'idp': 1, 'x': 3.0766027235130666, 'y': 2.572755101742128, 'r': 0.3999999999999999, 'type': 1}]
15342,1398855002.8237598,[{'idp': 1, 'x': 3.061070604950411, 'y': 2.5752456248241673, 'r': 0.3999999999999999, 'type': 1}]
15343,1398855002.8617928,[{'idp': 1, 'x': 3.05366837226563, 'y': 2.561276101250336, 'r': 0.3999999999999999, 'type': 1}]
15344,1398855002.9017382,[{'idp': 1, 'x': 3.0286785302017316, 'y': 2.5782114332435, 'r': 0.3999999999999999, 'type': 1}]
15345,1398855002.901769,[{'idp': 1, 'x': 3.0199597773888964, 'y': 2.578452315048636, 'r': 0.3999999999999999, 'type': 1}]
15346,1398855002.9417882,[{'idp': 1, 'x': 3.004602161993508, 'y': 2.564929079198386, 'r': 0.3999999999999999, 'type': 1}]
15347,1398855002.948656,[{'idp': 1, 'x': 3.013584487803158, 'y': 2.5723375385169223, 'r': 0.3999999999999999, 'type': 1}]
15348,1398855002.985718,[{'idp': 1, 'x': 2.9788869804196283, 'y': 2.5702676700694838, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.416666666666668, 'y': 3.833333333333333, 'r': 0.3999999999999999, 'type': 1}]
15349,1398855003.0257912,[{'idp': 1, 'x': 2.978314602984309, 'y': 2.5653288074451086, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.408387160896623, 'y': 3.8406642983947825, 'r': 0.3999999999999999, 'type': 1}]
15350,1398855003.0258207,[{'idp': 1, 'x': 2.9692461982368346, 'y': 2.5881051322196758, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.380732410962647, 'y': 3.820891909942319, 'r': 0.3999999999999999, 'type': 1}]
15351,1398855003.0657883,[{'idp': 1, 'x': 2.9514469663518472, 'y': 2.564034885071771, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.3722984933812, 'y': 3.8326194459286445, 'r': 0.3999999999999999, 'type': 1}]
15352,1398855003.0819197,[{'idp': 1, 'x': 2.9525396563448703, 'y': 2.565916022145971, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.377877338898802, 'y': 3.836852474272552, 'r': 0.3999999999999999, 'type': 1}]
15353,1398855003.121803,[{'idp': 1, 'x': 2.939473347307504, 'y': 2.5695374169726115, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.382239236571921, 'y': 3.839630613140963, 'r': 0.3999999999999999, 'type': 1}]
15354,1398855003.161756,[{'idp': 1, 'x': 2.9171574226479824, 'y': 2.5565731489463817, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.3424111851847655, 'y': 3.856750862869107, 'r': 0.3999999999999999, 'type': 1}]
15355,1398855003.1618462,[{'idp': 1, 'x': 2.905186284417647, 'y': 2.573498448405731, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.346300773953452, 'y': 3.8491571768071786, 'r': 0.3999999999999999, 'type': 1}]
15356,1398855003.2017465,[{'idp': 1, 'x': 2.8962096884267585, 'y': 2.561764958515531, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.339075042173, 'y': 3.8440781546233893, 'r': 0.3999999999999999, 'type': 1}]
15357,1398855003.2017775,[{'idp': 1, 'x': 2.896410725255565, 'y': 2.56145183611286, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.3316417137859995, 'y': 3.7906373374752067, 'r': 0.3999999999999999, 'type': 1}]
15358,1398855003.2417681,[{'idp': 1, 'x': 2.8763577413291985, 'y': 2.574627103875986, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.3017981039586815, 'y': 3.806815663197274, 'r': 0.3999999999999999, 'type': 1}]
15359,1398855003.2479916,[{'idp': 1, 'x': 2.8717844110587176, 'y': 2.5618231218413756, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.295780259205114, 'y': 3.8034419119674845, 'r': 0.3999999999999999, 'type': 1}]
15360,1398855003.2857094,[{'idp': 1, 'x': 2.857116527409511, 'y': 2.571679769072186, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.275441390166868, 'y': 3.8336538065616077, 'r': 0.3999999999999999, 'type': 1}]
15361,1398855003.325805,[{'idp': 1, 'x': 2.834587693177124, 'y': 2.578172640395142, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.284645189112826, 'y': 3.8301076619588414, 'r': 0.3999999999999999, 'type': 1}]
15362,1398855003.3258402,[{'idp': 1, 'x': 2.8380916434042613, 'y': 2.5776302791891093, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.254556905007273, 'y': 3.8143224614207383, 'r': 0.3999999999999999, 'type': 1}]
15363,1398855003.3657851,[{'idp': 1, 'x': 2.825892495648703, 'y': 2.5660581719946873, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.246592286735763, 'y': 3.8022872720151257, 'r': 0.3999999999999999, 'type': 1}]
15364,1398855003.372134,[{'idp': 1, 'x': 2.805572024751668, 'y': 2.5740966551210853, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.250109878693552, 'y': 3.8266829353142806, 'r': 0.3999999999999999, 'type': 1}]
15365,1398855003.4097142,[{'idp': 1, 'x': 2.783312521028256, 'y': 2.5758520876247637, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.193511508608186, 'y': 3.820676185325782, 'r': 0.3999999999999999, 'type': 1}]
15366,1398855003.449792,[{'idp': 1, 'x': 2.766838719919511, 'y': 2.5866984765528134, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.206087064207534, 'y': 3.830201120152834, 'r': 0.3999999999999999, 'type': 1}]
15367,1398855003.4498253,[{'idp': 1, 'x': 2.761959682057844, 'y': 2.5791945597116483, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.206987584274119, 'y': 3.830100981208815, 'r': 0.3999999999999999, 'type': 1}]
15368,1398855003.4897184,[{'idp': 1, 'x': 2.742931652857248, 'y': 2.5721176567741177, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.187424336888295, 'y': 3.8156375944630905, 'r': 0.3999999999999999, 'type': 1}]
15369,1398855003.4972525,[{'idp': 1, 'x': 2.748388574626772, 'y': 2.5891840751870143, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.164782452615995, 'y': 3.846046704616908, 'r': 0.3999999999999999, 'type': 1}]
15370,1398855003.533758,[{'idp': 1, 'x': 2.73183300058486, 'y': 2.596231533653275, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.158934533340385, 'y': 3.8528922824388467, 'r': 0.3999999999999999, 'type': 1}]
15371,1398855003.5736902,[{'idp': 1, 'x': 2.716137323338028, 'y': 2.5807359471034186, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.136408573582372, 'y': 3.8330836805363355, 'r': 0.3999999999999999, 'type': 1}]
15372,1398855003.5737126,[{'idp': 1, 'x': 2.7212007132337357, 'y': 2.5852917653511565, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.134021395730473, 'y': 3.8347864549323307, 'r': 0.3999999999999999, 'type': 1}]
15373,1398855003.6138043,[{'idp': 1, 'x': 2.6946174021312186, 'y': 2.582928984626043, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.1393875574091386, 'y': 3.8353255219323756, 'r': 0.3999999999999999, 'type': 1}]
15374,1398855003.6220725,[{'idp': 1, 'x': 2.686919543852806, 'y': 2.575885953229591, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.123808899126119, 'y': 3.8236745789397286, 'r': 0.3999999999999999, 'type': 1}]
15375,1398855003.6616971,[{'idp': 1, 'x': 2.6850389166169153, 'y': 2.573244369411234, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.1134648122701165, 'y': 3.8195379563098375, 'r': 0.3999999999999999, 'type': 1}]
