id,timestamp,circles
26201,1398855274.5657456,[{'idp': 1, 'x': 4.25, 'y': 0.8749999999999991, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.416666666666666, 'y': 1.6666666666666674, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.25, 'y': 0.541666666666667, 'r': 0.3999999999999999, 'type': 1}]
26202,1398855274.6057038,[{'idp': 1, 'x': 4.279729844286512, 'y': 1.0270008621725712, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.400799236446568, 'y': 1.6457229146911811, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.255528821625418, 'y': 0.5861575309456724, 'r': 0.3999999999999999, 'type': 1}]
26203,1398855274.6057367,[{'idp': 1, 'x': 4.304618648360976, 'y': 1.0321540036813137, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.40906518061669, 'y': 1.6381417563712475, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.243166669090982, 'y': 0.5851868085208034, 'r': 0.3999999999999999, 'type': 1}]
26204,1398855274.6459088,[{'idp': 1, 'x': 4.314715283745096, 'y': 1.0240881321649553, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.403191557293418, 'y': 1.6364856394953486, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.233774303926978, 'y': 0.5847841340300208, 'r': 0.3999999999999999, 'type': 1}]
26205,1398855274.6519663,[{'idp': 1, 'x': 4.3493419366996555, 'y': 1.0417174008397523, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.409088840703528, 'y': 1.638596553086742, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.22001174313679, 'y': 0.583788080944263, 'r': 0.3999999999999999, 'type': 1}]
26206,1398855274.689807,[{'idp': 1, 'x': 4.352506884197654, 'y': 1.0420720217985768, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.389225792408, 'y': 1.6201655741827903, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.214525456612805, 'y': 0.5833817056151025, 'r': 0.3999999999999999, 'type': 1}]
26207,1398855274.7296858,[{'idp': 1, 'x': 4.37493153442325, 'y': 1.046938067030958, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.373289315424329, 'y': 1.6028467952255387, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.205943031593469, 'y': 0.602920216040721, 'r': 0.3999999999999999, 'type': 1}]
26208,1398855274.7297156,[{'idp': 1, 'x': 4.371472379333124, 'y': 1.0466968377979091, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.329559201641602, 'y': 1.5866842544249216, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.189529715649762, 'y': 0.6018003108085557, 'r': 0.3999999999999999, 'type': 1}]
26209,1398855274.7697299,[{'idp': 1, 'x': 4.37655062882518, 'y': 1.0469357436447058, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.356857654911728, 'y': 1.5964685920219646, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.184620880856343, 'y': 0.6016121241324957, 'r': 0.3999999999999999, 'type': 1}]
26210,1398855274.7763567,[{'idp': 1, 'x': 4.389893674667206, 'y': 1.050574141659113, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.412620172826713, 'y': 1.605077237892718, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.14004760365918, 'y': 0.6189495584611793, 'r': 0.3999999999999999, 'type': 1}]
26211,1398855274.8137565,[{'idp': 1, 'x': 4.384433150545346, 'y': 1.0599798570667707, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 4.435326261547927, 'y': 1.6128581684164933, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 9.147741117841864, 'y': 0.6192889715122019, 'r': 0.3999999999999999, 'type': 1}]
