id,timestamp,circles
40001,1398855619.8542423,[{'idp': 1, 'x': 3.291666666666666, 'y': -3.1666666666666665, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.5, 'y': -2.833333333333333, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.875000000000001, 'y': 1.8333333333333335, 'r': 0.3999999999999999, 'type': 1}]
40002,1398855619.8937583,[{'idp': 1, 'x': 3.2848030152519136, 'y': -3.0878009322506283, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.544267168049473, 'y': -2.826388367165684, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.8693119504280906, 'y': 1.8717056524061615, 'r': 0.3999999999999999, 'type': 1}]
40003,1398855619.933768,[{'idp': 1, 'x': 3.2784538679042097, 'y': -3.0684623968643443, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.5598761336619855, 'y': -2.7890418784829007, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.846735513980352, 'y': 1.875046245078218, 'r': 0.3999999999999999, 'type': 1}]
40004,1398855619.933799,[{'idp': 1, 'x': 3.2749186523195184, 'y': -3.0517335382954967, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.565704407522427, 'y': -2.731367357309429, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.8168752325774715, 'y': 1.899545122644135, 'r': 0.3999999999999999, 'type': 1}]
40005,1398855619.973796,[{'idp': 1, 'x': 3.265536022155966, 'y': -3.0301138093439506, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.580684038860831, 'y': -2.6932648426445125, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.7823730694364257, 'y': 1.9209105134813176, 'r': 0.3999999999999999, 'type': 1}]
40006,1398855619.978416,[{'idp': 1, 'x': 3.257898407687525, 'y': -3.009804604754761, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.581335235870776, 'y': -2.6338629814302097, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.7607875713292107, 'y': 1.9419831236916374, 'r': 0.3999999999999999, 'type': 1}]
40007,1398855620.017725,[{'idp': 1, 'x': 3.2511406849675795, 'y': -2.990710176867143, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.5895879582527215, 'y': -2.5933138926750807, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.733540585504124, 'y': 1.9491014349818392, 'r': 0.3999999999999999, 'type': 1}]
40008,1398855620.0578058,[{'idp': 1, 'x': 3.2351215244642684, 'y': -2.9769830802472317, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.59624545825182, 'y': -2.5518274782102415, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.709427032988232, 'y': 1.9589057676485666, 'r': 0.3999999999999999, 'type': 1}]
40009,1398855620.0578384,[{'idp': 1, 'x': 3.2131521174419797, 'y': -2.9708784315517924, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.606338690471551, 'y': -2.5271453530109502, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.6856081995626324, 'y': 1.9773741430996727, 'r': 0.3999999999999999, 'type': 1}]
40010,1398855620.0977566,[{'idp': 1, 'x': 3.211072101602519, 'y': -2.9696486961128565, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.6071031717317315, 'y': -2.4686936970704743, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.6540234711425215, 'y': 1.990168763634217, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.6249999999999996, 'y': 0.8333333333333326, 'r': 0.3999999999999999, 'type': 1}]
40011,1398855620.1036203,[{'idp': 1, 'x': 3.2146400270050512, 'y': -2.9601153726222487, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.618691525723651, 'y': -2.4301718008674076, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.634344499133434, 'y': 1.9930470383097587, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.6089095015465658, 'y': 0.8317017010752448, 'r': 0.3999999999999999, 'type': 1}]
40012,1398855620.1417353,[{'idp': 1, 'x': 3.220158330573273, 'y': -2.9395787461281744, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.619608689106359, 'y': -2.386882242688475, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.6056067185948284, 'y': 2.007578779012662, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.589747526657502, 'y': 0.8298402437196084, 'r': 0.3999999999999999, 'type': 1}]
40013,1398855620.1817784,[{'idp': 1, 'x': 3.223652640206638, 'y': -2.9171521053866343, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.631768199230132, 'y': -2.3488778701505266, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.559053256673398, 'y': 2.0072619517827084, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.5770349062935205, 'y': 0.8461219100519979, 'r': 0.3999999999999999, 'type': 1}]
40014,1398855620.181814,[{'idp': 1, 'x': 3.224698347737285, 'y': -2.905375184398057, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.631431501206103, 'y': -2.305396457337072, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.5220321124155354, 'y': 2.0137307173155405, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.567979184150888, 'y': 0.8555884943781122, 'r': 0.3999999999999999, 'type': 1}]
40015,1398855620.2217085,[{'idp': 1, 'x': 3.221507456478383, 'y': -2.889765117366838, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.640486935960272, 'y': -2.2664509204147523, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.5048119460933504, 'y': 1.9994935254618773, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.5574998363575796, 'y': 0.8582139011823631, 'r': 0.3999999999999999, 'type': 1}]
40016,1398855620.2281024,[{'idp': 1, 'x': 3.2207641787188646, 'y': -2.876620502208519, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.640266895385104, 'y': -2.2231763313307864, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4775057620094554, 'y': 1.9950810108232364, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.5436308963052023, 'y': 0.8626836017872375, 'r': 0.3999999999999999, 'type': 1}]
40017,1398855620.2657735,[{'idp': 1, 'x': 3.2191349089398513, 'y': -2.862624713069067, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.650671202720325, 'y': -2.1849523225875425, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4810160917466884, 'y': 1.9715987480864583, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.5268850226920403, 'y': 0.8762424688070047, 'r': 0.3999999999999999, 'type': 1}]
40018,1398855620.3057287,[{'idp': 1, 'x': 3.223416556971619, 'y': -2.866509896052211, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.6486491816620665, 'y': -2.141504278002678, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.4985941688953184, 'y': 1.9378838744135862, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.5097761397250595, 'y': 0.8909261999102025, 'r': 0.3999999999999999, 'type': 1}]
40019,1398855620.3057544,[{'idp': 1, 'x': 3.2161590849675514, 'y': -2.8463448046759376, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.6569945962685075, 'y': -2.102708479115436, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.5148857151623694, 'y': 1.9295026348304445, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.497091791799557, 'y': 0.9073701233704878, 'r': 0.3999999999999999, 'type': 1}]
40020,1398855620.3457623,[{'idp': 1, 'x': 3.213876457216298, 'y': -2.8162944674806836, 'r': 0.3999999999999999, 'type': 1}, {'idp': 2, 'x': 5.653716801440163, 'y': -2.0592475474624683, 'r': 0.3999999999999999, 'type': 1}, {'idp': 3, 'x': 2.5157119220909374, 'y': 1.9264690711192745, 'r': 0.3999999999999999, 'type': 1}, {'idp': 4, 'x': 2.4777972467926257, 'y': 0.9128336292995498, 'r': 0.3999999999999999, 'type': 1}]
