id,timestamp,circles
10000,1398776520.6229799,[{'idp': 54, 'x': 7.838, 'y': -1.919, 'r': 0.4, 'type': 1}]
10001,1398776520.659706,[{'idp': 54, 'x': 7.85, 'y': -1.921, 'r': 0.4, 'type': 1}]
10002,1398776520.6995933,[{'idp': 54, 'x': 7.868, 'y': -1.926, 'r': 0.4, 'type': 1}]
10003,1398776520.6996253,[{'idp': 54, 'x': 7.93, 'y': -1.922, 'r': 0.4, 'type': 1}]
10004,1398776520.7395883,[{'idp': 54, 'x': 7.966, 'y': -1.931, 'r': 0.4, 'type': 1}]
10005,1398776520.748343,[{'idp': 54, 'x': 8.03, 'y': -1.928, 'r': 0.4, 'type': 1}]
10006,1398776520.7876313,[{'idp': 54, 'x': 8.041, 'y': -1.931, 'r': 0.4, 'type': 1}]
10007,1398776520.8276086,[{'idp': 54, 'x': 8.078, 'y': -1.94, 'r': 0.4, 'type': 1}]
10008,1398776520.8276541,[{'idp': 54, 'x': 8.146, 'y': -1.937, 'r': 0.4, 'type': 1}]
10009,1398776520.8675904,[{'idp': 54, 'x': 8.239, 'y': -1.921, 'r': 0.4, 'type': 1}]
10010,1398776520.873702,[{'idp': 54, 'x': 8.305, 'y': -1.917, 'r': 0.4, 'type': 1}]
10011,1398776520.9116228,[{'idp': 54, 'x': 8.361, 'y': -1.93, 'r': 0.4, 'type': 1}]
10012,1398776520.9515467,[{'idp': 54, 'x': 8.392, 'y': -1.917, 'r': 0.4, 'type': 1}]
10013,1398776520.9515674,[{'idp': 54, 'x': 8.407, 'y': -1.92, 'r': 0.4, 'type': 1}]
10014,1398776520.9915915,[{'idp': 54, 'x': 8.392, 'y': -1.917, 'r': 0.4, 'type': 1}]
10015,1398776520.998864,[{'idp': 54, 'x': 8.435, 'y': -1.908, 'r': 0.4, 'type': 1}]
10016,1398776521.0356684,[{'idp': 54, 'x': 8.462, 'y': -1.934, 'r': 0.4, 'type': 1}]
10017,1398776521.0756574,[{'idp': 54, 'x': 8.493, 'y': -1.941, 'r': 0.4, 'type': 1}]
10018,1398776521.0756893,[{'idp': 54, 'x': 8.527, 'y': -1.949, 'r': 0.4, 'type': 1}]
10019,1398776521.1155474,[{'idp': 54, 'x': 8.544, 'y': -1.952, 'r': 0.4, 'type': 1}]
10020,1398776521.1234088,[{'idp': 54, 'x': 8.591, 'y': -1.964, 'r': 0.4, 'type': 1}]
10021,1398776521.1595895,[{'idp': 54, 'x': 8.653, 'y': -1.938, 'r': 0.4, 'type': 1}]
10022,1398776521.199636,[{'idp': 54, 'x': 8.711, 'y': -1.93, 'r': 0.4, 'type': 1}]
10023,1398776521.1996653,[{'idp': 54, 'x': 8.721, 'y': -1.932, 'r': 0.4, 'type': 1}]
10024,1398776521.2396593,[{'idp': 54, 'x': 8.754, 'y': -1.919, 'r': 0.4, 'type': 1}]
10025,1398776521.2489045,[{'idp': 54, 'x': 8.749, 'y': -1.938, 'r': 0.4, 'type': 1}]
10026,1398776521.2875857,[{'idp': 54, 'x': 8.788, 'y': -1.927, 'r': 0.4, 'type': 1}]
10027,1398776521.327855,[{'idp': 54, 'x': 8.861, 'y': -1.902, 'r': 0.4, 'type': 1}]
10028,1398776521.32789,[{'idp': 54, 'x': 8.996, 'y': -1.912, 'r': 0.4, 'type': 1}]
10029,1398776521.3676715,[{'idp': 54, 'x': 9.07, 'y': -1.928, 'r': 0.4, 'type': 1}]
10030,1398776521.3738751,[{'idp': 54, 'x': 8.945, 'y': -1.88, 'r': 0.4, 'type': 1}]
10031,1398776521.4116316,[{'idp': 54, 'x': 8.949, 'y': -1.84, 'r': 0.4, 'type': 1}]
10032,1398776521.4515483,[{'idp': 54, 'x': 8.787, 'y': -1.868, 'r': 0.4, 'type': 1}]
10033,1398776521.4515834,[{'idp': 54, 'x': 8.796, 'y': -1.85, 'r': 0.4, 'type': 1}]
10034,1398776521.4916213,[{'idp': 54, 'x': 8.835, 'y': -1.798, 'r': 0.4, 'type': 1}]
10035,1398776521.4991071,[{'idp': 54, 'x': 8.896, 'y': -1.769, 'r': 0.4, 'type': 1}]
10036,1398776521.5355723,[{'idp': 54, 'x': 8.983, 'y': -1.725, 'r': 0.4, 'type': 1}]
10037,1398776521.5756202,[{'idp': 54, 'x': 9.017, 'y': -1.691, 'r': 0.4, 'type': 1}]
10038,1398776521.57565,[{'idp': 54, 'x': 9.089, 'y': -1.623, 'r': 0.4, 'type': 1}]
10039,1398776521.6156344,[{'idp': 54, 'x': 9.119, 'y': -1.587, 'r': 0.4, 'type': 1}]
10040,1398776521.6241252,[{'idp': 54, 'x': 9.128, 'y': -1.589, 'r': 0.4, 'type': 1}]
10041,1398776521.663601,[{'idp': 54, 'x': 9.199, 'y': -1.56, 'r': 0.4, 'type': 1}]
10042,1398776521.70356,[{'idp': 54, 'x': 9.274, 'y': -1.531, 'r': 0.4, 'type': 1}]
10043,1398776521.7035904,[{'idp': 54, 'x': 9.439, 'y': -1.474, 'r': 0.4, 'type': 1}]
10044,1398776521.7438483,[{'idp': 54, 'x': 9.557, 'y': -1.385, 'r': 0.4, 'type': 1}]
10045,1398776521.7517304,[{'idp': 54, 'x': 9.61, 'y': -1.222, 'r': 0.4, 'type': 1}]
10046,1398776521.7916005,[{'idp': 54, 'x': 9.663, 'y': -1.079, 'r': 0.4, 'type': 1}]
10047,1398776521.8316545,[{'idp': 54, 'x': 9.706, 'y': -0.977, 'r': 0.4, 'type': 1}]
10048,1398776521.8316977,[{'idp': 54, 'x': 9.63, 'y': -0.905, 'r': 0.4, 'type': 1}]
10049,1398776521.871711,[{'idp': 54, 'x': 9.539, 'y': -0.855, 'r': 0.4, 'type': 1}]
10050,1398776521.8744445,[{'idp': 54, 'x': 9.532, 'y': -0.813, 'r': 0.4, 'type': 1}]
10051,1398776521.911574,[{'idp': 54, 'x': 9.565, 'y': -0.732, 'r': 0.4, 'type': 1}]
10052,1398776521.9516299,[{'idp': 54, 'x': 9.583, 'y': -0.649, 'r': 0.4, 'type': 1}]
10053,1398776521.9517004,[{'idp': 54, 'x': 9.642, 'y': -0.589, 'r': 0.4, 'type': 1}]
10054,1398776521.9915273,[{'idp': 54, 'x': 9.633, 'y': -0.546, 'r': 0.4, 'type': 1}]
10055,1398776521.999729,[{'idp': 54, 'x': 9.617, 'y': -0.504, 'r': 0.4, 'type': 1}]
10056,1398776522.0396447,[{'idp': 54, 'x': 9.663, 'y': -0.464, 'r': 0.4, 'type': 1}]
10057,1398776522.0796049,[{'idp': 54, 'x': 9.693, 'y': -0.444, 'r': 0.4, 'type': 1}]
10058,1398776522.0796368,[{'idp': 54, 'x': 9.699, 'y': -0.402, 'r': 0.4, 'type': 1}]
10059,1398776522.1196043,[{'idp': 54, 'x': 9.704, 'y': -0.38, 'r': 0.4, 'type': 1}]
10060,1398776522.1254337,[{'idp': 54, 'x': 9.709, 'y': -0.402, 'r': 0.4, 'type': 1}]
10061,1398776522.163627,[{'idp': 54, 'x': 9.58, 'y': -0.418, 'r': 0.4, 'type': 1}]
10062,1398776522.2035663,[{'idp': 54, 'x': 9.54, 'y': -0.375, 'r': 0.4, 'type': 1}]
10063,1398776522.2035913,[{'idp': 54, 'x': 9.534, 'y': -0.354, 'r': 0.4, 'type': 1}]
10064,1398776522.243604,[{'idp': 54, 'x': 9.632, 'y': -0.315, 'r': 0.4, 'type': 1}]
10065,1398776522.2503183,[{'idp': 54, 'x': 9.614, 'y': -0.294, 'r': 0.4, 'type': 1}]
10066,1398776522.2876084,[{'idp': 54, 'x': 9.594, 'y': -0.272, 'r': 0.4, 'type': 1}]
10067,1398776522.3276136,[{'idp': 54, 'x': 9.653, 'y': -0.253, 'r': 0.4, 'type': 1}]
10068,1398776522.3276918,[{'idp': 54, 'x': 9.686, 'y': -0.296, 'r': 0.4, 'type': 1}]
10069,1398776522.3675883,[{'idp': 54, 'x': 9.713, 'y': -0.297, 'r': 0.4, 'type': 1}]
10070,1398776522.3760123,[{'idp': 54, 'x': 9.743, 'y': -0.319, 'r': 0.4, 'type': 1}]
