id,timestamp,circles
20000,1398776770.4155736,[{'idp': 140, 'x': 1.474, 'y': -2.125, 'r': 0.4, 'type': 1}]
20001,1398776770.4556096,[{'idp': 140, 'x': 1.481, 'y': -2.144, 'r': 0.4, 'type': 1}]
20002,1398776770.4625306,[{'idp': 140, 'x': 1.479, 'y': -2.167, 'r': 0.4, 'type': 1}]
20003,1398776770.4996445,[{'idp': 140, 'x': 1.5, 'y': -2.18, 'r': 0.4, 'type': 1}]
20004,1398776770.5396183,[{'idp': 140, 'x': 1.497, 'y': -2.198, 'r': 0.4, 'type': 1}]
20005,1398776770.5396466,[{'idp': 140, 'x': 1.491, 'y': -2.222, 'r': 0.4, 'type': 1}]
20006,1398776770.579626,[{'idp': 140, 'x': 1.503, 'y': -2.23, 'r': 0.4, 'type': 1}]
20007,1398776770.5857346,[{'idp': 140, 'x': 1.501, 'y': -2.254, 'r': 0.4, 'type': 1}]
20008,1398776770.6236007,[{'idp': 140, 'x': 1.513, 'y': -2.26, 'r': 0.4, 'type': 1}]
20009,1398776770.6636252,[{'idp': 140, 'x': 1.52, 'y': -2.279, 'r': 0.4, 'type': 1}]
20010,1398776770.6636548,[{'idp': 140, 'x': 1.529, 'y': -2.302, 'r': 0.4, 'type': 1}]
20011,1398776770.7036257,[{'idp': 140, 'x': 1.526, 'y': -2.347, 'r': 0.4, 'type': 1}]
20012,1398776770.7101414,[{'idp': 140, 'x': 1.523, 'y': -2.374, 'r': 0.4, 'type': 1}]
20013,1398776770.7476256,[{'idp': 140, 'x': 1.527, 'y': -2.4, 'r': 0.4, 'type': 1}]
20014,1398776770.7876105,[{'idp': 140, 'x': 1.532, 'y': -2.418, 'r': 0.4, 'type': 1}]
20015,1398776770.787641,[{'idp': 140, 'x': 1.538, 'y': -2.445, 'r': 0.4, 'type': 1}]
20016,1398776770.8275714,[{'idp': 140, 'x': 1.544, 'y': -2.466, 'r': 0.4, 'type': 1}]
20017,1398776770.8352954,[{'idp': 140, 'x': 1.547, 'y': -2.486, 'r': 0.4, 'type': 1}]
20018,1398776770.8716986,[{'idp': 140, 'x': 1.554, 'y': -2.51, 'r': 0.4, 'type': 1}]
20019,1398776770.9115572,[{'idp': 140, 'x': 1.551, 'y': -2.529, 'r': 0.4, 'type': 1}]
20020,1398776770.9115832,[{'idp': 140, 'x': 1.559, 'y': -2.554, 'r': 0.4, 'type': 1}]
20021,1398776770.951713,[{'idp': 140, 'x': 1.566, 'y': -2.578, 'r': 0.4, 'type': 1}]
20022,1398776770.9600735,[{'idp': 140, 'x': 1.568, 'y': -2.591, 'r': 0.4, 'type': 1}]
20023,1398776770.999656,[{'idp': 140, 'x': 1.584, 'y': -2.606, 'r': 0.4, 'type': 1}]
20024,1398776771.0395563,[{'idp': 140, 'x': 1.596, 'y': -2.612, 'r': 0.4, 'type': 1}]
20025,1398776771.0395863,[{'idp': 140, 'x': 1.601, 'y': -2.619, 'r': 0.4, 'type': 1}]
20026,1398776771.0795968,[{'idp': 140, 'x': 1.615, 'y': -2.63, 'r': 0.4, 'type': 1}]
20027,1398776771.0844598,[{'idp': 140, 'x': 1.622, 'y': -2.641, 'r': 0.4, 'type': 1}]
20028,1398776771.1236153,[{'idp': 140, 'x': 1.626, 'y': -2.648, 'r': 0.4, 'type': 1}]
20029,1398776771.1635952,[{'idp': 140, 'x': 1.635, 'y': -2.662, 'r': 0.4, 'type': 1}]
20030,1398776771.1636252,[{'idp': 140, 'x': 1.649, 'y': -2.686, 'r': 0.4, 'type': 1}]
20031,1398776771.2036445,[{'idp': 140, 'x': 1.667, 'y': -2.727, 'r': 0.4, 'type': 1}]
20032,1398776771.2086537,[{'idp': 140, 'x': 1.686, 'y': -2.772, 'r': 0.4, 'type': 1}]
20033,1398776771.247631,[{'idp': 140, 'x': 1.712, 'y': -2.816, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.484, 'y': -5.908, 'r': 0.4, 'type': 1}]
20034,1398776771.2875772,[{'idp': 140, 'x': 1.717, 'y': -2.837, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.503, 'y': -5.937, 'r': 0.4, 'type': 1}]
20035,1398776771.287608,[{'idp': 140, 'x': 1.733, 'y': -2.865, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.517, 'y': -5.97, 'r': 0.4, 'type': 1}]
20036,1398776771.3276076,[{'idp': 140, 'x': 1.75, 'y': -2.895, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.554, 'y': -5.949, 'r': 0.4, 'type': 1}]
20037,1398776771.3330588,[{'idp': 140, 'x': 1.777, 'y': -2.929, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.582, 'y': -5.977, 'r': 0.4, 'type': 1}]
20038,1398776771.371579,[{'idp': 140, 'x': 1.806, 'y': -2.934, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.608, 'y': -5.964, 'r': 0.4, 'type': 1}]
20039,1398776771.4115968,[{'idp': 140, 'x': 1.817, 'y': -2.969, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.639, 'y': -5.965, 'r': 0.4, 'type': 1}]
20040,1398776771.411627,[{'idp': 140, 'x': 1.828, 'y': -2.987, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.654, 'y': -5.965, 'r': 0.4, 'type': 1}]
20041,1398776771.4516566,[{'idp': 140, 'x': 1.85, 'y': -3.01, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.673, 'y': -5.971, 'r': 0.4, 'type': 1}]
20042,1398776771.4574811,[{'idp': 140, 'x': 1.87, 'y': -3.011, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.72, 'y': -5.972, 'r': 0.4, 'type': 1}]
20043,1398776771.4956014,[{'idp': 140, 'x': 1.894, 'y': -3.027, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.781, 'y': -5.965, 'r': 0.4, 'type': 1}]
20044,1398776771.5356572,[{'idp': 140, 'x': 1.943, 'y': -3.021, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.839, 'y': -5.954, 'r': 0.4, 'type': 1}]
20045,1398776771.5756264,[{'idp': 140, 'x': 1.949, 'y': -3.046, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.903, 'y': -5.953, 'r': 0.4, 'type': 1}]
20046,1398776771.5756538,[{'idp': 140, 'x': 1.991, 'y': -3.031, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 2.965, 'y': -5.948, 'r': 0.4, 'type': 1}]
20047,1398776771.6156058,[{'idp': 140, 'x': 2.012, 'y': -3.039, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.008, 'y': -5.936, 'r': 0.4, 'type': 1}]
20048,1398776771.6156394,[{'idp': 140, 'x': 2.033, 'y': -3.061, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.058, 'y': -5.938, 'r': 0.4, 'type': 1}]
20049,1398776771.6556396,[{'idp': 140, 'x': 2.049, 'y': -3.045, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.069, 'y': -5.927, 'r': 0.4, 'type': 1}]
20050,1398776771.6567714,[{'idp': 140, 'x': 2.075, 'y': -3.068, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.104, 'y': -5.93, 'r': 0.4, 'type': 1}]
20051,1398776771.6955996,[{'idp': 140, 'x': 2.093, 'y': -3.078, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.144, 'y': -5.943, 'r': 0.4, 'type': 1}]
20052,1398776771.735619,[{'idp': 140, 'x': 2.125, 'y': -3.09, 'r': 0.4, 'type': 1}, {'idp': 141, 'x': 3.208, 'y': -5.938, 'r': 0.4, 'type': 1}]
