id,timestamp,circles
50000,1398777519.0635653,[{'idp':  1 ,  'x':  5.28 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.36 ,  'y':  -1.06 ,  'r':  0.2 ,  'type':  1}]
50001,1398777519.0635948,[{'idp':  1 ,  'x':  5.23 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.42 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50002,1398777519.1035533,[{'idp':  1 ,  'x':  5.26 ,  'y':  -1.05 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.42 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50003,1398777519.109489,[{'idp':  1 ,  'x':  5.25 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.4 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50004,1398777519.1475928,[{'idp':  1 ,  'x':  5.24 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.38 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50005,1398777519.18764,[{'idp':  1 ,  'x':  5.25 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.37 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50006,1398777519.1876698,[{'idp':  1 ,  'x':  5.23 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.36 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50007,1398777519.2275815,[{'idp':  1 ,  'x':  5.23 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.34 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50008,1398777519.2344668,[{'idp':  1 ,  'x':  5.22 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.33 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50009,1398777519.271676,[{'idp':  1 ,  'x':  5.19 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.32 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50010,1398777519.311582,[{'idp':  1 ,  'x':  5.21 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.32 ,  'y':  -1.11 ,  'r':  0.2 ,  'type':  1}]
50011,1398777519.311613,[{'idp':  1 ,  'x':  5.19 ,  'y':  -1.03 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.3 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50012,1398777519.3515658,[{'idp':  1 ,  'x':  5.16 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.29 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
50013,1398777519.3591332,[{'idp':  1 ,  'x':  5.13 ,  'y':  -1.04 ,  'r':  0.2 ,  'type':  1} ,  {'idp':  2 ,  'x':  4.28 ,  'y':  -1.1 ,  'r':  0.2 ,  'type':  1}]
