id,timestamp,circles
60000,1398777768.5636444,[{'idp':  58 ,  'x':  4.79 ,  'y':  -3.11 ,  'r':  0.4 ,  'type':  1}]
60001,1398777768.6036034,[{'idp':  58 ,  'x':  4.75 ,  'y':  -3.13 ,  'r':  0.4 ,  'type':  1}]
60002,1398777768.6077323,[{'idp':  58 ,  'x':  4.75 ,  'y':  -3.13 ,  'r':  0.4 ,  'type':  1}]
60003,1398777768.6475987,[{'idp':  58 ,  'x':  4.76 ,  'y':  -3.12 ,  'r':  0.4 ,  'type':  1}]
60004,1398777768.6876385,[{'idp':  58 ,  'x':  4.76 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
60005,1398777768.6876867,[{'idp':  58 ,  'x':  4.77 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60006,1398777768.7275684,[{'idp':  58 ,  'x':  4.76 ,  'y':  -3.05 ,  'r':  0.4 ,  'type':  1}]
60007,1398777768.7350428,[{'idp':  58 ,  'x':  4.74 ,  'y':  -3.06 ,  'r':  0.4 ,  'type':  1}]
60008,1398777768.7716036,[{'idp':  58 ,  'x':  4.72 ,  'y':  -3.1 ,  'r':  0.4 ,  'type':  1}]
60009,1398777768.8115919,[{'idp':  58 ,  'x':  4.68 ,  'y':  -3.11 ,  'r':  0.4 ,  'type':  1}]
60010,1398777768.8116198,[{'idp':  58 ,  'x':  4.68 ,  'y':  -3.13 ,  'r':  0.4 ,  'type':  1}]
60011,1398777768.8516576,[{'idp':  58 ,  'x':  4.68 ,  'y':  -3.1 ,  'r':  0.4 ,  'type':  1}]
60012,1398777768.8597174,[{'idp':  58 ,  'x':  4.67 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60013,1398777768.8996305,[{'idp':  58 ,  'x':  4.66 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60014,1398777768.9396188,[{'idp':  58 ,  'x':  4.65 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60015,1398777768.9396553,[{'idp':  58 ,  'x':  4.64 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60016,1398777768.9796436,[{'idp':  58 ,  'x':  4.64 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60017,1398777768.9859655,[{'idp':  58 ,  'x':  4.64 ,  'y':  -3.07 ,  'r':  0.4 ,  'type':  1}]
60018,1398777769.0236006,[{'idp':  58 ,  'x':  4.62 ,  'y':  -3.08 ,  'r':  0.4 ,  'type':  1}]
60019,1398777769.063642,[{'idp':  58 ,  'x':  4.59 ,  'y':  -3.1 ,  'r':  0.4 ,  'type':  1}]
60020,1398777769.0636654,[{'idp':  58 ,  'x':  4.59 ,  'y':  -3.09 ,  'r':  0.4 ,  'type':  1}]
