id,timestamp,circles
29923,1398693944.7536898,[]
29924,1398693944.7936988,[]
29925,1398693944.7937207,[]
29926,1398693944.8336544,[]
29927,1398693944.840804,[]
29928,1398693944.877675,[]
29929,1398693944.9176545,[]
29930,1398693944.917681,[]
29931,1398693944.9576898,[]
29932,1398693944.9657137,[]
29933,1398693945.0057404,[]
29934,1398693945.0458133,[]
29935,1398693945.0458446,[]
29936,1398693945.0856888,[]
29937,1398693945.0910804,[]
29938,1398693945.129774,[]
29939,1398693945.169743,[]
29940,1398693945.1697736,[{'idp': 1, 'x': 9.541, 'y': 0.397, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.332, 'y': 1.106, 'r': 0.4, 'type': 1}]
29941,1398693945.2097805,[{'idp': 1, 'x': 9.497, 'y': 0.54, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.291, 'y': 1.035, 'r': 0.4, 'type': 1}]
29942,1398693945.2153542,[{'idp': 1, 'x': 9.439, 'y': 0.537, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.284, 'y': 1.038, 'r': 0.4, 'type': 1}]
29943,1398693945.2537115,[{'idp': 1, 'x': 9.438, 'y': 0.504, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.268, 'y': 1.017, 'r': 0.4, 'type': 1}]
29944,1398693945.2937038,[{'idp': 1, 'x': 9.401, 'y': 0.461, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.27, 'y': 1.003, 'r': 0.4, 'type': 1}]
29945,1398693945.2937357,[{'idp': 1, 'x': 9.376, 'y': 0.471, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.257, 'y': 0.951, 'r': 0.4, 'type': 1}]
29946,1398693945.3336978,[{'idp': 1, 'x': 9.329, 'y': 0.51, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.244, 'y': 0.909, 'r': 0.4, 'type': 1}]
29947,1398693945.3400936,[{'idp': 1, 'x': 9.285, 'y': 0.527, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.204, 'y': 0.885, 'r': 0.4, 'type': 1}]
29948,1398693945.3777275,[{'idp': 1, 'x': 9.241, 'y': 0.525, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.167, 'y': 0.881, 'r': 0.4, 'type': 1}]
29949,1398693945.4177744,[{'idp': 1, 'x': 9.212, 'y': 0.584, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.135, 'y': 0.878, 'r': 0.4, 'type': 1}]
29950,1398693945.4178026,[{'idp': 1, 'x': 9.155, 'y': 0.621, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.096, 'y': 0.854, 'r': 0.4, 'type': 1}]
29951,1398693945.4576945,[{'idp': 1, 'x': 9.1, 'y': 0.637, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 9.057, 'y': 0.851, 'r': 0.4, 'type': 1}]
29952,1398693945.4651716,[{'idp': 1, 'x': 9.023, 'y': 0.631, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 8.982, 'y': 0.848, 'r': 0.4, 'type': 1}]
29953,1398693945.5017264,[{'idp': 1, 'x': 9.021, 'y': 0.62, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 8.963, 'y': 0.831, 'r': 0.4, 'type': 1}]
29954,1398693945.5417762,[{'idp': 1, 'x': 9.123, 'y': 0.48, 'r': 0.4, 'type': 1}, {'idp': 2, 'x': 8.789, 'y': 1.148, 'r': 0.4, 'type': 1}]
