id,timestamp,circles
35652,1398694087.5737345,[]
35653,1398694087.578277,[]
35654,1398694087.6176605,[]
35655,1398694087.6576633,[]
35656,1398694087.6576905,[]
35657,1398694087.697802,[]
35658,1398694087.7030413,[]
35659,1398694087.7416728,[]
35660,1398694087.78171,[]
35661,1398694087.7817428,[]
35662,1398694087.8217316,[]
35663,1398694087.8280509,[]
35664,1398694087.86572,[]
35665,1398694087.9057388,[{'idp': 46, 'x': 8.539, 'y': -0.104, 'r': 0.4, 'type': 1}]
35666,1398694087.905781,[{'idp': 46, 'x': 8.492, 'y': -0.137, 'r': 0.4, 'type': 1}]
35667,1398694087.9457262,[{'idp': 46, 'x': 8.478, 'y': -0.129, 'r': 0.4, 'type': 1}]
35668,1398694087.9529054,[{'idp': 46, 'x': 8.481, 'y': -0.129, 'r': 0.4, 'type': 1}]
35669,1398694087.989643,[{'idp': 46, 'x': 8.49, 'y': -0.129, 'r': 0.4, 'type': 1}]
35670,1398694088.0297194,[{'idp': 46, 'x': 8.477, 'y': -0.185, 'r': 0.4, 'type': 1}]
35671,1398694088.0297391,[{'idp': 46, 'x': 8.47, 'y': -0.203, 'r': 0.4, 'type': 1}]
35672,1398694088.069806,[{'idp': 46, 'x': 8.446, 'y': -0.239, 'r': 0.4, 'type': 1}]
35673,1398694088.0771165,[{'idp': 46, 'x': 8.455, 'y': -0.276, 'r': 0.4, 'type': 1}]
35674,1398694088.1136835,[{'idp': 46, 'x': 8.443, 'y': -0.313, 'r': 0.4, 'type': 1}]
35675,1398694088.1538277,[{'idp': 46, 'x': 8.418, 'y': -0.349, 'r': 0.4, 'type': 1}]
35676,1398694088.1538699,[{'idp': 46, 'x': 8.424, 'y': -0.386, 'r': 0.4, 'type': 1}]
35677,1398694088.1937144,[{'idp': 46, 'x': 8.412, 'y': -0.422, 'r': 0.4, 'type': 1}]
35678,1398694088.2026212,[{'idp': 46, 'x': 8.393, 'y': -0.458, 'r': 0.4, 'type': 1}]
35679,1398694088.2417572,[{'idp': 46, 'x': 8.411, 'y': -0.477, 'r': 0.4, 'type': 1}]
35680,1398694088.2817123,[{'idp': 46, 'x': 8.404, 'y': -0.532, 'r': 0.4, 'type': 1}]
35681,1398694088.2817376,[{'idp': 46, 'x': 8.375, 'y': -0.567, 'r': 0.4, 'type': 1}]
35682,1398694088.3217065,[{'idp': 46, 'x': 8.366, 'y': -0.621, 'r': 0.4, 'type': 1}]
35683,1398694088.326304,[{'idp': 46, 'x': 8.36, 'y': -0.676, 'r': 0.4, 'type': 1}]
35684,1398694088.365687,[{'idp': 46, 'x': 8.356, 'y': -0.713, 'r': 0.4, 'type': 1}]
35685,1398694088.4057486,[{'idp': 46, 'x': 8.35, 'y': -0.73, 'r': 0.4, 'type': 1}]
35686,1398694088.405784,[{'idp': 46, 'x': 8.342, 'y': -0.766, 'r': 0.4, 'type': 1}]
35687,1398694088.4458194,[{'idp': 46, 'x': 8.351, 'y': -0.786, 'r': 0.4, 'type': 1}]
35688,1398694088.4513042,[{'idp': 46, 'x': 8.336, 'y': -0.839, 'r': 0.4, 'type': 1}]
35689,1398694088.4896617,[{'idp': 46, 'x': 8.328, 'y': -0.894, 'r': 0.4, 'type': 1}]
35690,1398694088.5296488,[{'idp': 46, 'x': 8.309, 'y': -0.928, 'r': 0.4, 'type': 1}]
35691,1398694088.529679,[{'idp': 46, 'x': 8.302, 'y': -0.987, 'r': 0.4, 'type': 1}]
35692,1398694088.5698264,[{'idp': 46, 'x': 8.284, 'y': -0.999, 'r': 0.4, 'type': 1}]
35693,1398694088.5789037,[{'idp': 46, 'x': 8.283, 'y': -1.017, 'r': 0.4, 'type': 1}]
35694,1398694088.61775,[{'idp': 46, 'x': 8.277, 'y': -1.053, 'r': 0.4, 'type': 1}]
35695,1398694088.6577015,[{'idp': 46, 'x': 8.27, 'y': -1.089, 'r': 0.4, 'type': 1}]
35696,1398694088.657735,[{'idp': 46, 'x': 8.26, 'y': -1.143, 'r': 0.4, 'type': 1}]
35697,1398694088.697715,[{'idp': 46, 'x': 8.246, 'y': -1.196, 'r': 0.4, 'type': 1}]
35698,1398694088.7000191,[{'idp': 46, 'x': 8.23, 'y': -1.212, 'r': 0.4, 'type': 1}]
35699,1398694088.7377324,[{'idp': 46, 'x': 8.199, 'y': -1.244, 'r': 0.4, 'type': 1}]
35700,1398694088.7777643,[{'idp': 46, 'x': 8.207, 'y': -1.282, 'r': 0.4, 'type': 1}]
35701,1398694088.777835,[{'idp': 46, 'x': 8.223, 'y': -1.321, 'r': 0.4, 'type': 1}]
35702,1398694088.8177562,[{'idp': 46, 'x': 8.203, 'y': -1.373, 'r': 0.4, 'type': 1}]
35703,1398694088.825115,[{'idp': 46, 'x': 8.184, 'y': -1.425, 'r': 0.4, 'type': 1}]
35704,1398694088.861732,[{'idp': 46, 'x': 8.17, 'y': -1.496, 'r': 0.4, 'type': 1}]
35705,1398694088.901712,[{'idp': 46, 'x': 8.154, 'y': -1.53, 'r': 0.4, 'type': 1}]
35706,1398694088.9017375,[{'idp': 46, 'x': 8.145, 'y': -1.547, 'r': 0.4, 'type': 1}]
35707,1398694088.9417608,[{'idp': 46, 'x': 8.147, 'y': -1.566, 'r': 0.4, 'type': 1}]
35708,1398694088.9498494,[{'idp': 46, 'x': 8.144, 'y': -1.565, 'r': 0.4, 'type': 1}]
35709,1398694088.9897256,[{'idp': 46, 'x': 8.126, 'y': -1.617, 'r': 0.4, 'type': 1}]
35710,1398694089.0296936,[{'idp': 46, 'x': 8.112, 'y': -1.688, 'r': 0.4, 'type': 1}]
35711,1398694089.0297282,[{'idp': 46, 'x': 8.088, 'y': -1.72, 'r': 0.4, 'type': 1}]
35712,1398694089.0697455,[{'idp': 46, 'x': 8.097, 'y': -1.758, 'r': 0.4, 'type': 1}]
35713,1398694089.0743105,[{'idp': 46, 'x': 8.091, 'y': -1.794, 'r': 0.4, 'type': 1}]
35714,1398694089.1137338,[{'idp': 46, 'x': 8.085, 'y': -1.83, 'r': 0.4, 'type': 1}]
35715,1398694089.1536872,[{'idp': 46, 'x': 8.062, 'y': -1.862, 'r': 0.4, 'type': 1}]
35716,1398694089.1537178,[{'idp': 46, 'x': 8.048, 'y': -1.933, 'r': 0.4, 'type': 1}]
35717,1398694089.193771,[{'idp': 46, 'x': 8.052, 'y': -1.989, 'r': 0.4, 'type': 1}]
35718,1398694089.1990695,[{'idp': 46, 'x': 8.031, 'y': -2.003, 'r': 0.4, 'type': 1}]
35719,1398694089.2377288,[{'idp': 46, 'x': 8.028, 'y': -2.039, 'r': 0.4, 'type': 1}]
35720,1398694089.2777672,[{'idp': 46, 'x': 8.025, 'y': -2.076, 'r': 0.4, 'type': 1}]
35721,1398694089.2778602,[{'idp': 46, 'x': 8.0, 'y': -2.107, 'r': 0.4, 'type': 1}]
35722,1398694089.317689,[{'idp': 46, 'x': 7.982, 'y': -2.139, 'r': 0.4, 'type': 1}]
35723,1398694089.3233945,[{'idp': 46, 'x': 7.971, 'y': -2.193, 'r': 0.4, 'type': 1}]
35724,1398694089.361718,[{'idp': 46, 'x': 7.953, 'y': -2.206, 'r': 0.4, 'type': 1}]
35725,1398694089.4018135,[{'idp': 46, 'x': 7.947, 'y': -2.223, 'r': 0.4, 'type': 1}]
35726,1398694089.401833,[{'idp': 46, 'x': 7.933, 'y': -2.275, 'r': 0.4, 'type': 1}]
35727,1398694089.4417555,[{'idp': 46, 'x': 7.907, 'y': -2.324, 'r': 0.4, 'type': 1}]
35728,1398694089.44771,[{'idp': 46, 'x': 7.892, 'y': -2.357, 'r': 0.4, 'type': 1}]
35729,1398694089.485736,[{'idp': 46, 'x': 7.858, 'y': -2.385, 'r': 0.4, 'type': 1}]
35730,1398694089.5257554,[{'idp': 46, 'x': 7.85, 'y': -2.438, 'r': 0.4, 'type': 1}]
35731,1398694089.5258105,[{'idp': 46, 'x': 7.833, 'y': -2.489, 'r': 0.4, 'type': 1}]
35732,1398694089.5657215,[{'idp': 46, 'x': 7.801, 'y': -2.498, 'r': 0.4, 'type': 1}]
35733,1398694089.5726943,[{'idp': 46, 'x': 7.797, 'y': -2.553, 'r': 0.4, 'type': 1}]
35734,1398694089.6096473,[{'idp': 46, 'x': 7.768, 'y': -2.581, 'r': 0.4, 'type': 1}]
35735,1398694089.6497192,[{'idp': 46, 'x': 7.751, 'y': -2.575, 'r': 0.4, 'type': 1}]
35736,1398694089.6498232,[{'idp': 46, 'x': 7.758, 'y': -2.634, 'r': 0.4, 'type': 1}]
35737,1398694089.6897824,[{'idp': 46, 'x': 7.712, 'y': -2.675, 'r': 0.4, 'type': 1}]
35738,1398694089.6977062,[{'idp': 46, 'x': 7.697, 'y': -2.726, 'r': 0.4, 'type': 1}]
