id,timestamp,circles
52730,1398782902.676256,[]
52731,1398782902.676287,[]
52732,1398782902.7163014,[]
52733,1398782902.72125,[]
52734,1398782902.7602718,[{'idp':  196 ,  'x':  6.35 ,  'y':  -1.79 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.9 ,  'y':  -0.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.35 ,  'y':  -3.04 ,  'r':  0.4 ,  'type':  1}]
52735,1398782902.8002522,[{'idp':  196 ,  'x':  6.25 ,  'y':  -1.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.82 ,  'y':  -0.2 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.34 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52736,1398782902.8002827,[{'idp':  196 ,  'x':  6.23 ,  'y':  -1.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.81 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.34 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52737,1398782902.8403058,[{'idp':  196 ,  'x':  6.2 ,  'y':  -1.69 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.8 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.34 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52738,1398782902.8525386,[{'idp':  196 ,  'x':  6.2 ,  'y':  -1.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.78 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.34 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52739,1398782902.8921998,[{'idp':  196 ,  'x':  6.16 ,  'y':  -1.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.78 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.31 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52740,1398782902.9322476,[{'idp':  196 ,  'x':  6.13 ,  'y':  -1.71 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.77 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.31 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52741,1398782902.9322736,[{'idp':  196 ,  'x':  6.1 ,  'y':  -1.71 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.75 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.28 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52742,1398782902.9722457,[{'idp':  196 ,  'x':  6.07 ,  'y':  -1.74 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.75 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.26 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1}]
52743,1398782902.9722736,[{'idp':  196 ,  'x':  6.04 ,  'y':  -1.75 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.73 ,  'y':  -0.2 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.26 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52744,1398782903.0122433,[{'idp':  196 ,  'x':  6.01 ,  'y':  -1.77 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.72 ,  'y':  -0.2 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.22 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1}]
52745,1398782903.0214336,[{'idp':  196 ,  'x':  5.98 ,  'y':  -1.79 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.71 ,  'y':  -0.2 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.2 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52746,1398782903.060349,[{'idp':  196 ,  'x':  5.94 ,  'y':  -1.79 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.7 ,  'y':  -0.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.21 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52747,1398782903.1002429,[{'idp':  196 ,  'x':  5.92 ,  'y':  -1.81 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.69 ,  'y':  -0.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.2 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52748,1398782903.1002717,[{'idp':  196 ,  'x':  5.89 ,  'y':  -1.82 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.68 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.18 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52749,1398782903.1403046,[{'idp':  196 ,  'x':  5.87 ,  'y':  -1.82 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.67 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.19 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52750,1398782903.145595,[{'idp':  196 ,  'x':  5.86 ,  'y':  -1.85 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.66 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.19 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52751,1398782903.1842048,[{'idp':  196 ,  'x':  5.83 ,  'y':  -1.84 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.65 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.18 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52752,1398782903.2242427,[{'idp':  196 ,  'x':  5.79 ,  'y':  -1.85 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.65 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.16 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1}]
52753,1398782903.2242713,[{'idp':  196 ,  'x':  5.74 ,  'y':  -1.85 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.64 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.15 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1}]
52754,1398782903.2642798,[{'idp':  196 ,  'x':  5.74 ,  'y':  -1.86 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.63 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.14 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52755,1398782903.2704694,[{'idp':  196 ,  'x':  5.76 ,  'y':  -1.87 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.63 ,  'y':  -0.19 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.14 ,  'y':  -2.86 ,  'r':  0.4 ,  'type':  1}]
52756,1398782903.3083572,[{'idp':  196 ,  'x':  5.75 ,  'y':  -1.88 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.61 ,  'y':  -0.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.15 ,  'y':  -2.87 ,  'r':  0.4 ,  'type':  1}]
52757,1398782903.348244,[{'idp':  196 ,  'x':  5.76 ,  'y':  -1.88 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.61 ,  'y':  -0.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.13 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52758,1398782903.3482733,[{'idp':  196 ,  'x':  5.75 ,  'y':  -1.88 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.61 ,  'y':  -0.18 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.12 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52759,1398782903.3882778,[{'idp':  196 ,  'x':  5.75 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.6 ,  'y':  -0.17 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.11 ,  'y':  -2.83 ,  'r':  0.4 ,  'type':  1}]
52760,1398782903.3954928,[{'idp':  196 ,  'x':  5.75 ,  'y':  -1.88 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.58 ,  'y':  -0.17 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.11 ,  'y':  -2.82 ,  'r':  0.4 ,  'type':  1}]
52761,1398782903.4322789,[{'idp':  196 ,  'x':  5.75 ,  'y':  -1.88 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.58 ,  'y':  -0.16 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.1 ,  'y':  -2.83 ,  'r':  0.4 ,  'type':  1}]
52762,1398782903.4722686,[{'idp':  196 ,  'x':  5.73 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.57 ,  'y':  -0.16 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.1 ,  'y':  -2.83 ,  'r':  0.4 ,  'type':  1}]
52763,1398782903.4723027,[{'idp':  196 ,  'x':  5.72 ,  'y':  -1.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.57 ,  'y':  -0.16 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.1 ,  'y':  -2.83 ,  'r':  0.4 ,  'type':  1}]
52764,1398782903.5122254,[{'idp':  196 ,  'x':  5.71 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.54 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.1 ,  'y':  -2.83 ,  'r':  0.4 ,  'type':  1}]
52765,1398782903.5192602,[{'idp':  196 ,  'x':  5.69 ,  'y':  -1.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.53 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.08 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52766,1398782903.5562701,[{'idp':  196 ,  'x':  5.66 ,  'y':  -1.91 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.52 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.08 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52767,1398782903.5962708,[{'idp':  196 ,  'x':  5.65 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.5 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.07 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52768,1398782903.5963027,[{'idp':  196 ,  'x':  5.63 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.5 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.07 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52769,1398782903.6361766,[{'idp':  196 ,  'x':  5.61 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.48 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.05 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52770,1398782903.6445382,[{'idp':  196 ,  'x':  5.57 ,  'y':  -1.93 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.46 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.05 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52771,1398782903.6842973,[{'idp':  196 ,  'x':  5.55 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.46 ,  'y':  -0.15 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.04 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52772,1398782903.7243338,[{'idp':  196 ,  'x':  5.54 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.45 ,  'y':  -0.14 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.04 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52773,1398782903.7243657,[{'idp':  196 ,  'x':  5.51 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.44 ,  'y':  -0.13 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.03 ,  'y':  -2.85 ,  'r':  0.4 ,  'type':  1}]
52774,1398782903.7644086,[{'idp':  196 ,  'x':  5.5 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.42 ,  'y':  -0.13 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.03 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52775,1398782903.7692518,[{'idp':  196 ,  'x':  5.47 ,  'y':  -1.92 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.41 ,  'y':  -0.12 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.02 ,  'y':  -2.84 ,  'r':  0.4 ,  'type':  1}]
52776,1398782903.8082278,[{'idp':  196 ,  'x':  5.45 ,  'y':  -1.93 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.4 ,  'y':  -0.11 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.03 ,  'y':  -2.83 ,  'r':  0.4 ,  'type':  1}]
52777,1398782903.8482537,[{'idp':  196 ,  'x':  5.45 ,  'y':  -1.9 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.39 ,  'y':  -0.08 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.04 ,  'y':  -2.8 ,  'r':  0.4 ,  'type':  1}]
52778,1398782903.8482852,[{'idp':  196 ,  'x':  5.44 ,  'y':  -1.89 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  197 ,  'x':  4.37 ,  'y':  -0.05 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  198 ,  'x':  6.05 ,  'y':  -2.77 ,  'r':  0.4 ,  'type':  1}]
