id,timestamp,circles
62302,1398783141.6722834,[{'idp':  266 ,  'x':  7.83 ,  'y':  1.4 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.72 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62303,1398783141.6723166,[{'idp':  266 ,  'x':  7.87 ,  'y':  1.42 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.73 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62304,1398783141.7123084,[{'idp':  266 ,  'x':  7.83 ,  'y':  1.43 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.76 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62305,1398783141.7183402,[{'idp':  266 ,  'x':  7.83 ,  'y':  1.43 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.77 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62306,1398783141.7563238,[{'idp':  266 ,  'x':  7.86 ,  'y':  1.47 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.78 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62307,1398783141.7962542,[{'idp':  266 ,  'x':  7.87 ,  'y':  1.48 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.82 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62308,1398783141.7962847,[{'idp':  266 ,  'x':  7.87 ,  'y':  1.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.84 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62309,1398783141.8363516,[{'idp':  266 ,  'x':  7.88 ,  'y':  1.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.86 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62310,1398783141.8432457,[{'idp':  266 ,  'x':  7.88 ,  'y':  1.48 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.89 ,  'y':  0.65 ,  'r':  0.4 ,  'type':  1}]
62311,1398783141.8802488,[{'idp':  266 ,  'x':  7.92 ,  'y':  1.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.89 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62312,1398783141.9202993,[{'idp':  266 ,  'x':  7.91 ,  'y':  1.52 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.92 ,  'y':  0.64 ,  'r':  0.4 ,  'type':  1}]
62313,1398783141.9203267,[{'idp':  266 ,  'x':  7.94 ,  'y':  1.52 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.94 ,  'y':  0.63 ,  'r':  0.4 ,  'type':  1}]
62314,1398783141.9602294,[{'idp':  266 ,  'x':  7.95 ,  'y':  1.53 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.95 ,  'y':  0.61 ,  'r':  0.4 ,  'type':  1}]
62315,1398783141.9682248,[{'idp':  266 ,  'x':  8.0 ,  'y':  1.55 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.96 ,  'y':  0.59 ,  'r':  0.4 ,  'type':  1}]
62316,1398783142.0082948,[{'idp':  266 ,  'x':  7.97 ,  'y':  1.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.58 ,  'r':  0.4 ,  'type':  1}]
62317,1398783142.0482934,[{'idp':  266 ,  'x':  8.0 ,  'y':  1.57 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1}]
62318,1398783142.0483294,[{'idp':  266 ,  'x':  8.03 ,  'y':  1.58 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.98 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1}]
62319,1398783142.0883055,[{'idp':  266 ,  'x':  8.07 ,  'y':  1.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.54 ,  'r':  0.4 ,  'type':  1}]
62320,1398783142.093396,[{'idp':  266 ,  'x':  8.07 ,  'y':  1.6 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.97 ,  'y':  0.52 ,  'r':  0.4 ,  'type':  1}]
62321,1398783142.132189,[{'idp':  266 ,  'x':  8.07 ,  'y':  1.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.98 ,  'y':  0.53 ,  'r':  0.4 ,  'type':  1}]
62322,1398783142.172242,[{'idp':  266 ,  'x':  8.05 ,  'y':  1.64 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  6.99 ,  'y':  0.5 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.69 ,  'y':  2.21 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.98 ,  'y':  1.08 ,  'r':  0.4 ,  'type':  1}]
62323,1398783142.1722698,[{'idp':  266 ,  'x':  8.06 ,  'y':  1.62 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.0 ,  'y':  0.41 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.52 ,  'y':  2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.97 ,  'y':  1.04 ,  'r':  0.4 ,  'type':  1}]
62324,1398783142.2122712,[{'idp':  266 ,  'x':  8.09 ,  'y':  1.63 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.0 ,  'y':  0.38 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.41 ,  'y':  2.3 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.99 ,  'y':  1.03 ,  'r':  0.4 ,  'type':  1}]
62325,1398783142.2185433,[{'idp':  266 ,  'x':  8.11 ,  'y':  1.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.01 ,  'y':  0.37 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.43 ,  'y':  2.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.01 ,  'y':  1.02 ,  'r':  0.4 ,  'type':  1}]
62326,1398783142.2561564,[{'idp':  266 ,  'x':  8.11 ,  'y':  1.61 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.01 ,  'y':  0.37 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.41 ,  'y':  2.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.01 ,  'y':  1.03 ,  'r':  0.4 ,  'type':  1}]
62327,1398783142.296194,[{'idp':  266 ,  'x':  8.1 ,  'y':  1.63 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.04 ,  'y':  0.4 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.4 ,  'y':  2.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.02 ,  'y':  1.05 ,  'r':  0.4 ,  'type':  1}]
62328,1398783142.296219,[{'idp':  266 ,  'x':  8.13 ,  'y':  1.66 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.05 ,  'y':  0.4 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.44 ,  'y':  2.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.03 ,  'y':  1.06 ,  'r':  0.4 ,  'type':  1}]
62329,1398783142.3362665,[{'idp':  266 ,  'x':  8.13 ,  'y':  1.67 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.08 ,  'y':  0.42 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.44 ,  'y':  2.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.02 ,  'y':  1.1 ,  'r':  0.4 ,  'type':  1}]
62330,1398783142.3429356,[{'idp':  266 ,  'x':  8.13 ,  'y':  1.69 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.1 ,  'y':  0.45 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.43 ,  'y':  2.29 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.02 ,  'y':  1.11 ,  'r':  0.4 ,  'type':  1}]
62331,1398783142.380197,[{'idp':  266 ,  'x':  8.14 ,  'y':  1.7 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.11 ,  'y':  0.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.42 ,  'y':  2.28 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  7.01 ,  'y':  1.11 ,  'r':  0.4 ,  'type':  1}]
62332,1398783142.4203367,[{'idp':  266 ,  'x':  8.13 ,  'y':  1.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.11 ,  'y':  0.44 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.38 ,  'y':  2.27 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.99 ,  'y':  1.12 ,  'r':  0.4 ,  'type':  1}]
62333,1398783142.4203703,[{'idp':  266 ,  'x':  8.15 ,  'y':  1.68 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  271 ,  'x':  7.14 ,  'y':  0.45 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  279 ,  'x':  7.39 ,  'y':  2.26 ,  'r':  0.4 ,  'type':  1} ,  {'idp':  280 ,  'x':  6.93 ,  'y':  1.11 ,  'r':  0.4 ,  'type':  1}]
