method,run,metric,n_windows,mean,std,min,median,max
grpc,static / seq,elapsed_s,51,26.012215686274512,14.866067409121653,1.012,26.012,51.012
grpc,static / seq,clients,51,0.9803921568627451,0.14002800840280097,0.0,1.0,1.0
grpc,static / seq,scans_total,51,255.80392156862746,151.87244906273727,0.0,257.0,508.0
grpc,static / seq,scans_in_window,51,9.96078431372549,3.3997693116664585,0.0,10.0,22.0
grpc,static / seq,scan_rate_hz,51,9.960588235294118,3.3995413877549456,0.0,10.0,21.98
grpc,static / seq,drspaam_fps,48,21.407916666666665,2.303490375018185,5.93,21.71,22.97
grpc,static / seq,t_det_ms_mean,48,48.8623125,17.699424662071674,43.749,46.3435,168.845
grpc,static / seq,t_det_ms_p95,48,62.121541666666666,99.13034223407602,45.867,47.5415,734.559
grpc,static / seq,t_det_ms_max,48,77.46516666666666,202.03638919625593,46.369,47.916,1448.009
grpc,static / seq,t_track_ms_mean,48,1.7299375000000001,0.1220741675933816,1.41,1.7335,2.004
grpc,static / seq,t_track_ms_p95,48,2.0584791666666664,0.19914978748321557,1.716,2.0495,2.612
grpc,static / seq,t_track_ms_max,48,2.1536250000000003,0.291901952717004,1.745,2.0895,3.039
grpc,static / seq,t_lat_ms_mean,48,51.00314583333333,17.678415547069708,45.663,48.584,170.822
grpc,static / seq,t_lat_ms_p95,48,64.41214583333334,99.04149713296938,48.086,49.8745,736.241
grpc,static / seq,t_lat_ms_max,48,79.76029166666667,201.94251377146577,48.259,50.2215,1449.661
grpc,static / seq,t_scan_ms_mean,48,99.89620833333333,0.3971561651334982,98.628,99.826,101.006
grpc,static / seq,t_scan_ms_p95,48,101.881375,0.4980109212252006,100.73,101.8385,103.431
grpc,static / seq,t_scan_ms_max,48,102.1135,0.6044323519510729,100.861,102.00450000000001,104.156
grpc,static / seq,t_fwd_ms_mean,48,26.392479166666664,17.7890801634988,22.893,23.897,147.058
grpc,static / seq,t_fwd_ms_p95,48,38.223375,99.00287820136471,22.985,23.9675,709.843
grpc,static / seq,t_fwd_ms_max,48,52.99720833333333,201.0227741831659,23.03,23.983,1416.707
grpc,static / seq,inference_ms_mean,48,48.56591666666666,17.698703036787673,43.542,46.052499999999995,168.548
grpc,static / seq,inference_ms_p95,48,61.79983333333333,99.07889925889674,45.578,47.202,733.888
grpc,static / seq,inference_ms_max,48,77.12910416666666,201.8869474437064,46.078,47.5835,1446.659
grpc,static / seq,wire_ms_mean,48,216.0404166666667,462.3840118511992,107.898,109.177,2722.695
grpc,static / seq,wire_ms_p95,48,249.31452083333332,554.1209320622069,110.148,113.20599999999999,3039.622
grpc,static / seq,wire_ms_max,48,254.46747916666666,563.471379982594,110.187,113.5355,3071.084
grpc,static / seq,gpu_util_percent,51,24.470588235294116,8.516696404537315,0.0,24.0,52.0
grpc,static / seq,drspaam_gpu_duty_percent,48,51.922291666666666,26.557399516982265,42.27,46.07,219.09
grpc,static / seq,gpu_mem_util_percent,51,21.03921568627451,7.576175246953374,0.0,20.0,46.0
grpc,static / seq,gpu_mem_used_mb,51,560.8941176470587,19.21592476842794,471.6,565.6,565.6
grpc,static / seq,gpu_mem_total_mb,51,4096.0,0.0,4096.0,4096.0,4096.0
grpc,static / seq,gpu_proc_mem_mb,51,215.2941176470588,19.21592476842794,126.0,220.0,220.0
grpc,static / seq,torch_alloc_mb,51,28.17843137254902,3.70142209025073,7.6,27.7,37.9
grpc,static / seq,torch_reserved_mb,51,122.27450980392157,15.284081171431339,54.0,126.0,126.0
grpc,static / seq,torch_peak_mb,51,1089.4176470588238,214.36887806384803,38.8,1132.3,1132.3
grpc,static / seq,gpu_power_w,51,17.70254901960784,2.231873511771897,11.47,17.54,26.22
grpc,static / seq,gpu_temp_c,51,67.80392156862744,2.4167714649352945,63.0,68.0,72.0
grpc,static / seq,gpu_sm_clock_mhz,51,1590.3921568627452,47.15127927485004,1575.0,1575.0,1732.0
grpc,static / seq,cpu_percent_system,51,8.86470588235294,3.639001155779523,2.0,7.8,21.2
grpc,static / seq,cpu_percent_process,51,55.15294117647059,18.264494002749448,3.0,52.0,133.0
grpc,static / seq,proc_threads,51,89.56862745098039,1.7464810558466908,82.0,90.0,90.0
grpc,static / seq,ram_used_mb,51,8604.386274509805,181.47137517482787,8259.2,8618.9,8874.4
grpc,static / seq,ram_total_mb,51,15708.199999999997,3.674178492787934e-12,15708.2,15708.2,15708.2
grpc,static / seq,ram_percent,51,54.78235294117647,1.151122214598074,52.6,54.9,56.5
grpc,static / seq,proc_rss_mb,51,1179.0450980392156,77.5111587159565,751.8,1195.5,1203.2
grpc,static / seq,swap_used_mb,51,0.0,0.0,0.0,0.0,0.0
grpc,static / seq,swap_total_mb,51,4352.0,0.0,4352.0,4352.0,4352.0
grpc,static / seq,swap_percent,51,0.0,0.0,0.0,0.0,0.0
grpc,static / pipelined,elapsed_s,52,26.513211538461533,15.154794110214809,1.013,26.513,52.013
grpc,static / pipelined,clients,52,1.0,0.0,1.0,1.0,1.0
grpc,static / pipelined,scans_total,52,247.6153846153846,152.14803857107603,0.0,248.0,503.0
grpc,static / pipelined,scans_in_window,52,9.673076923076923,2.8678143200630988,0.0,10.0,21.0
grpc,static / pipelined,scan_rate_hz,52,9.672884615384616,2.8662972880160362,0.0,10.0,20.98
grpc,static / pipelined,drspaam_fps,49,22.926326530612243,2.5961098251980395,5.69,23.11,27.25
grpc,static / pipelined,t_det_ms_mean,49,45.95328571428571,18.989690034990037,36.893,43.533,175.958
grpc,static / pipelined,t_det_ms_p95,49,60.14104081632653,106.89291479423053,41.714,44.925,793.075
grpc,static / pipelined,t_det_ms_max,49,74.156,201.2320948080433,42.409,45.14,1453.989
grpc,static / pipelined,t_track_ms_mean,49,0.7616122448979591,0.07392784103618953,0.661,0.745,0.99
grpc,static / pipelined,t_track_ms_p95,49,0.910938775510204,0.17604597034146902,0.712,0.863,1.5
grpc,static / pipelined,t_track_ms_max,49,0.9534489795918366,0.21981631168854085,0.714,0.891,1.826
grpc,static / pipelined,t_lat_ms_mean,49,47.24069387755101,19.00216091133242,38.142,44.778,177.328
grpc,static / pipelined,t_lat_ms_p95,49,61.48220408163266,106.97306697209262,42.967,46.212,794.966
grpc,static / pipelined,t_lat_ms_max,49,75.4993469387755,201.3527857755254,43.81,46.501,1456.16
grpc,static / pipelined,t_scan_ms_mean,49,99.84253061224491,0.7319543787593829,95.574,99.887,100.837
grpc,static / pipelined,t_scan_ms_p95,49,101.70648979591836,1.2483819047479188,100.454,101.308,108.458
grpc,static / pipelined,t_scan_ms_max,49,102.03438775510203,1.4660702122841651,100.491,101.5,108.767
grpc,static / pipelined,t_fwd_ms_mean,49,26.596428571428575,18.965552566868876,22.94,23.933,156.639
grpc,static / pipelined,t_fwd_ms_p95,49,48.85936734693878,173.9954428376758,23.062,24.019,1241.97
grpc,static / pipelined,t_fwd_ms_max,49,52.50389795918369,199.5062633471947,23.068,24.019,1420.546
grpc,static / pipelined,inference_ms_mean,49,45.68210204081633,18.982685874506906,36.693,43.271,175.644
grpc,static / pipelined,inference_ms_p95,49,59.82724489795919,106.80953277086479,41.472,44.617,792.192
grpc,static / pipelined,inference_ms_max,49,73.80857142857143,201.03648030964845,42.146,44.868,1452.303
grpc,static / pipelined,wire_ms_mean,49,142.9154693877551,191.99024263944833,105.077,108.074,1387.541
grpc,static / pipelined,wire_ms_p95,49,163.09844897959184,263.89434675761345,106.669,110.913,1697.354
grpc,static / pipelined,wire_ms_max,49,165.68932653061222,271.2027532325053,106.975,111.073,1718.257
grpc,static / pipelined,gpu_util_percent,52,23.576923076923077,7.07202762018316,0.0,24.0,49.0
grpc,static / pipelined,drspaam_gpu_duty_percent,49,47.22204081632653,24.339244799602266,41.82,43.29,210.75
grpc,static / pipelined,gpu_mem_util_percent,52,19.884615384615383,6.311066676423922,0.0,20.0,45.0
grpc,static / pipelined,gpu_mem_used_mb,52,560.5615384615384,20.608356898533064,471.6,565.6,565.6
grpc,static / pipelined,gpu_mem_total_mb,52,4096.0,0.0,4096.0,4096.0,4096.0
grpc,static / pipelined,gpu_proc_mem_mb,52,214.96153846153845,20.60835689853306,126.0,220.0,220.0
grpc,static / pipelined,torch_alloc_mb,52,26.971153846153847,3.3689665919144844,7.6,27.7,29.8
grpc,static / pipelined,torch_reserved_mb,52,121.92307692307692,16.63901174696188,54.0,126.0,126.0
grpc,static / pipelined,torch_peak_mb,52,1090.242307692308,212.3401048689263,38.8,1132.3,1132.3
grpc,static / pipelined,gpu_power_w,52,17.973846153846157,2.024219194755422,12.48,17.96,28.83
grpc,static / pipelined,gpu_temp_c,52,71.0576923076923,0.978463411971607,68.0,71.0,72.0
grpc,static / pipelined,gpu_sm_clock_mhz,52,1583.6538461538462,35.315321684806406,1575.0,1575.0,1725.0
grpc,static / pipelined,cpu_percent_system,52,9.015384615384615,3.6190879912467064,2.8,7.65,18.7
grpc,static / pipelined,cpu_percent_process,52,50.01346153846154,16.588420587467844,4.9,48.0,132.9
grpc,static / pipelined,proc_threads,52,90.59615384615384,1.6480483452909658,84.0,91.0,91.0
grpc,static / pipelined,ram_used_mb,52,8609.371153846154,127.95773863691831,8360.4,8546.849999999999,8947.3
grpc,static / pipelined,ram_total_mb,52,15708.199999999995,5.510208185631941e-12,15708.2,15708.2,15708.2
grpc,static / pipelined,ram_percent,52,54.809615384615384,0.8167990165788414,53.2,54.4,57.0
grpc,static / pipelined,proc_rss_mb,52,1178.9923076923076,83.09404274476105,753.2,1198.4,1200.2
grpc,static / pipelined,swap_used_mb,52,0.0,0.0,0.0,0.0,0.0
grpc,static / pipelined,swap_total_mb,52,4352.0,0.0,4352.0,4352.0,4352.0
grpc,static / pipelined,swap_percent,52,0.0,0.0,0.0,0.0,0.0
grpc,moving / seq,elapsed_s,51,26.01227450980392,14.86613468131973,1.012,26.012,51.012
grpc,moving / seq,clients,51,0.9803921568627451,0.14002800840280097,0.0,1.0,1.0
grpc,moving / seq,scans_total,51,254.2156862745098,152.01701401165465,0.0,256.0,507.0
grpc,moving / seq,scans_in_window,51,9.941176470588236,3.2582925878802373,0.0,10.0,20.0
grpc,moving / seq,scan_rate_hz,51,9.94156862745098,3.259055920078095,0.0,10.0,20.04
grpc,moving / seq,drspaam_fps,48,23.44875,3.0315810249172452,4.69,24.325,25.05
grpc,moving / seq,t_det_ms_mean,48,45.912791666666664,24.850191227448942,40.199,41.387,213.699
grpc,moving / seq,t_det_ms_p95,48,62.71022916666667,129.32935003073317,40.729,43.224999999999994,939.826
