metric,n_windows,mean,std,min,median,max
elapsed_s,50,25.5149,14.57738325423381,1.015,25.515,50.016
clients,50,1.0,0.0,1.0,1.0,1.0
scans_total,50,260.54,148.9573572728594,0.0,262.0,508.0
scans_in_window,50,10.16,3.1516759390028977,0.0,10.0,22.0
scan_rate_hz,50,10.1598,3.150081625116714,0.0,10.0,22.0
drspaam_fps,48,20.544375,2.3409426236072672,5.16,20.72,23.79
t_det_ms_mean,48,51.25170833333333,21.090524425708775,42.222,48.553,194.07
t_det_ms_p95,48,67.4450625,120.10278103808054,42.844,50.161500000000004,882.093
t_det_ms_max,48,81.06433333333334,209.72178326619914,43.24,50.5555,1503.687
t_track_ms_mean,48,1.4653541666666665,0.2719109279676471,0.678,1.54,1.772
t_track_ms_p95,48,1.7127708333333331,0.34419923965345156,0.752,1.775,2.206
t_track_ms_max,48,1.8100208333333334,0.41614111199045506,0.752,1.8305,2.516
t_lat_ms_mean,48,53.2309375,21.082871611310193,44.054,50.5175,195.971
t_lat_ms_p95,48,69.51866666666668,120.15117359186944,44.869,52.171,884.487
t_lat_ms_max,48,83.14735416666666,209.7595097509455,45.189,52.7615,1506.021
t_scan_ms_mean,48,99.92012499999998,0.35058574845717455,99.083,99.95,100.586
t_scan_ms_p95,48,101.44091666666668,0.4187246001611824,100.529,101.3825,103.026
t_scan_ms_max,48,101.6934375,0.5867749181085339,100.55,101.5985,103.797
t_fwd_ms_mean,48,26.9721875,21.718341479580573,22.921,23.906,174.295
t_fwd_ms_p95,48,52.86670833333334,199.73698982059878,22.988,24.0045,1407.852
t_fwd_ms_max,48,54.153979166666666,208.64438013432775,22.993,24.0045,1469.566
inference_ms_mean,48,50.984729166666675,21.08660600873554,42.028,48.26649999999999,193.784
inference_ms_p95,48,67.16185416666667,120.0420458814486,42.664,49.86,881.4
inference_ms_max,48,80.76364583333333,209.5943089782339,43.014,50.231,1502.523
wire_ms_mean,48,226.67043750000002,502.3922514348134,103.304,106.6255,2873.512
wire_ms_p95,48,262.22256250000004,596.3670927774841,105.564,109.9965,3189.563
wire_ms_max,48,267.843625,606.5210999988491,105.582,110.519,3218.993
gpu_util_percent,50,25.14,7.716957209381725,0.0,24.0,54.0
drspaam_gpu_duty_percent,48,53.87437499999999,25.43256447492617,42.53,48.565,213.16
gpu_mem_util_percent,50,21.46,6.917030151911222,0.0,20.0,49.0
gpu_mem_used_mb,50,562.2399999999999,16.64731393422043,477.6,565.6,565.6
gpu_mem_total_mb,50,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,50,216.64,16.64731393422043,132.0,220.0,220.0
torch_alloc_mb,50,29.286000000000005,5.025242810663227,17.6,29.8,59.7
torch_reserved_mb,50,123.16,14.055807137468637,54.0,126.0,126.0
torch_peak_mb,50,1110.43,154.64425304549795,38.8,1132.3,1132.3
gpu_power_w,50,18.4712,2.1840382369382096,12.42,18.16,27.11
gpu_temp_c,50,70.64,1.1911236334671904,67.0,71.0,72.0
gpu_sm_clock_mhz,50,1587.0,41.10712734268046,1575.0,1575.0,1725.0
cpu_percent_system,50,9.732,4.192921148209448,5.1,8.0,20.6
cpu_percent_process,50,57.894000000000005,16.80258009828204,22.6,54.0,133.9
proc_threads,50,90.72,1.385640646055102,84.0,91.0,91.0
ram_used_mb,50,8464.192000000001,179.18067365719133,8122.4,8387.2,8892.4
ram_total_mb,50,15708.199999999997,3.67491354901071e-12,15708.2,15708.2,15708.2
ram_percent,50,53.886,1.1353341681942761,51.7,53.4,56.6
proc_rss_mb,50,1188.4080000000001,58.85766587839737,837.6,1199.2,1205.1
swap_used_mb,50,0.0,0.0,0.0,0.0,0.0
swap_total_mb,50,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,50,0.0,0.0,0.0,0.0,0.0
