metric,n_windows,mean,std,min,median,max
elapsed_s,51,26.01227450980392,14.86613468131973,1.012,26.012,51.012
clients,51,0.9803921568627451,0.14002800840280097,0.0,1.0,1.0
scans_total,51,254.2156862745098,152.01701401165465,0.0,256.0,507.0
scans_in_window,51,9.941176470588236,3.2582925878802373,0.0,10.0,20.0
scan_rate_hz,51,9.94156862745098,3.259055920078095,0.0,10.0,20.04
drspaam_fps,48,23.44875,3.0315810249172452,4.69,24.325,25.05
t_det_ms_mean,48,45.912791666666664,24.850191227448942,40.199,41.387,213.699
t_det_ms_p95,48,62.71022916666667,129.32935003073317,40.729,43.224999999999994,939.826
t_det_ms_max,48,74.94885416666666,209.62069305295114,40.783,43.8715,1496.805
t_track_ms_mean,48,1.726520833333333,0.637537382786574,0.742,1.749,2.932
t_track_ms_p95,48,2.189,0.8107293537959404,0.789,2.231,3.98
t_track_ms_max,48,2.319354166666667,0.8832069584596982,0.795,2.4375,4.368
t_lat_ms_mean,48,48.058416666666666,24.830671256668385,42.372,43.7295,215.744
t_lat_ms_p95,48,64.97154166666667,129.2842572717038,43.105,45.319,941.791
t_lat_ms_max,48,77.20977083333332,209.59354273645624,43.122,45.941500000000005,1498.887
t_scan_ms_mean,48,99.90079166666668,0.3562220176891434,99.249,99.857,100.627
t_scan_ms_p95,48,101.68091666666668,0.6257089539358229,100.322,101.5375,104.029
t_scan_ms_max,48,102.03135416666667,0.9247032068903693,100.349,101.767,105.452
t_fwd_ms_mean,48,27.247104166666663,23.651529448309212,23.015,23.9065,187.687
t_fwd_ms_p95,48,42.33925,127.56625678955182,23.088,23.981,907.73
t_fwd_ms_max,48,53.86802083333333,207.27960115259356,23.113,24.0,1460.024
inference_ms_mean,48,45.627229166666666,24.847356102547224,39.926,41.108000000000004,213.39
inference_ms_p95,48,62.408416666666675,129.2637765737972,40.423,42.951499999999996,939.078
inference_ms_max,48,74.63904166666667,209.48849162357735,40.463,43.594,1495.598
wire_ms_mean,48,244.43708333333333,522.2289126215704,105.519,109.8385,2779.141
wire_ms_p95,48,282.927625,606.055099277904,108.252,113.4065,3067.292
wire_ms_max,48,291.28168750000003,613.1665702400646,108.657,114.85,3090.141
gpu_util_percent,51,25.137254901960784,8.074700261540702,0.0,24.0,47.0
drspaam_gpu_duty_percent,48,48.363958333333336,27.27917721505071,36.89,41.17,213.41
gpu_mem_util_percent,51,21.92156862745098,7.445382830331566,0.0,21.0,41.0
gpu_mem_used_mb,51,560.4627450980391,20.800980369052933,471.6,565.6,565.6
gpu_mem_total_mb,51,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,51,214.86274509803923,20.800980369052933,126.0,220.0,220.0
torch_alloc_mb,51,31.488235294117654,12.090585545106135,7.6,29.8,87.5
torch_reserved_mb,51,121.84313725490196,16.79449022628506,54.0,126.0,126.0
torch_peak_mb,51,1089.4176470588238,214.36887806384803,38.8,1132.3,1132.3
gpu_power_w,51,19.24745098039216,2.3827528979206005,13.41,18.92,27.44
gpu_temp_c,51,75.3921568627451,0.6656855525711526,73.0,75.0,76.0
gpu_sm_clock_mhz,51,1588.921568627451,42.646379981074546,1575.0,1575.0,1717.0
cpu_percent_system,51,12.035294117647059,4.202086316553326,6.7,10.6,25.4
cpu_percent_process,51,51.63725490196077,19.968835326921933,3.0,47.0,132.9
proc_threads,51,89.56862745098039,1.7464810558466908,82.0,90.0,90.0
ram_used_mb,51,8631.245098039215,159.072637890651,8155.1,8655.2,8906.7
ram_total_mb,51,15708.199999999997,3.674178492787934e-12,15708.2,15708.2,15708.2
ram_percent,51,54.947058823529424,1.0116032702945308,51.9,55.1,56.7
proc_rss_mb,51,1180.992156862745,84.79291442835833,751.8,1201.0,1205.3
swap_used_mb,51,0.0,0.0,0.0,0.0,0.0
swap_total_mb,51,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,51,0.0,0.0,0.0,0.0,0.0
