wall_time,elapsed_s,clients,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,wire_ms_mean,wire_ms_p95,wire_ms_max,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 12:07:37.163,1.012,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,471.6,4096.0,126.0,7.6,56.0,38.8,13.43,74.0,1575.0,12.7,3.0,82,8155.1,15708.2,51.9,751.8,0.0,4352.0,0.0
2026-09-04 12:07:38.163,2.012,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,477.6,4096.0,132.0,17.6,56.0,38.8,13.41,73.0,1575.0,14.2,22.0,83,8197.6,15708.2,52.2,836.1,0.0,4352.0,0.0
2026-09-04 12:07:39.163,3.012,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,47.0,,41.0,485.6,4096.0,140.0,17.9,54.0,1132.3,15.39,74.0,1575.0,13.6,102.1,83,8337.0,15708.2,53.1,989.2,0.0,4352.0,0.0
2026-09-04 12:07:40.163,4.012,1,10,10,10.0,4.69,213.699,939.826,1496.805,1.768,2.012,2.097,215.744,941.791,1498.887,99.86,101.268,101.38,187.687,907.73,1460.024,213.39,939.078,1495.598,2779.141,3067.292,3090.141,45.0,213.41,41.0,565.6,4096.0,220.0,27.7,126.0,1132.3,20.6,75.0,1717.0,13.6,132.9,90,8551.7,15708.2,54.4,1203.1,0.0,4352.0,0.0
2026-09-04 12:07:41.165,5.014,1,28,18,17.97,19.71,50.979,54.767,55.82,1.844,2.442,2.904,53.089,57.113,58.418,99.912,101.968,102.126,23.144,23.307,23.325,50.742,54.533,55.549,2296.194,2658.23,2697.688,45.0,91.17,41.0,565.6,4096.0,220.0,29.8,126.0,1132.3,26.83,76.0,1717.0,25.4,102.8,90,8610.3,15708.2,54.8,1204.8,0.0,4352.0,0.0
2026-09-04 12:07:42.163,6.012,1,48,20,20.04,20.72,48.48,50.317,53.302,1.093,1.219,1.299,49.834,51.716,54.814,100.048,101.372,102.368,23.015,23.088,23.113,48.263,50.102,53.049,1398.524,1822.657,1862.824,44.0,96.7,40.0,565.6,4096.0,220.0,29.8,126.0,1132.3,26.98,76.0,1717.0,10.6,101.2,90,8604.9,15708.2,54.8,1199.0,0.0,4352.0,0.0
2026-09-04 12:07:43.163,7.012,1,66,18,18.0,20.86,48.163,49.573,50.281,1.018,1.185,1.216,49.446,50.801,51.384,99.783,100.947,101.088,23.038,23.101,23.149,47.934,49.325,50.045,458.101,830.686,870.237,43.0,86.29,40.0,565.6,4096.0,220.0,27.7,126.0,1132.3,27.44,76.0,1717.0,11.3,90.0,90,8556.7,15708.2,54.5,1202.0,0.0,4352.0,0.0
2026-09-04 12:07:44.163,8.012,1,76,10,10.0,21.48,46.855,48.082,48.247,1.59,2.236,2.341,48.843,50.434,50.761,100.018,102.497,102.677,23.036,23.116,23.174,46.561,47.782,47.926,105.519,108.252,108.67,25.0,46.56,22.0,565.6,4096.0,220.0,27.7,126.0,1132.3,22.01,76.0,1717.0,11.1,52.0,90,8589.7,15708.2,54.7,1200.8,0.0,4352.0,0.0
2026-09-04 12:07:45.163,9.012,1,86,10,10.0,21.67,46.457,50.176,51.339,1.881,2.408,2.618,48.682,52.161,53.255,99.796,101.353,101.382,23.417,23.986,23.997,46.138,49.813,50.978,110.337,126.999,139.765,24.0,46.14,21.0,565.6,4096.0,220.0,27.7,126.0,1132.3,20.88,75.0,1575.0,16.3,52.0,90,8549.5,15708.2,54.4,1200.2,0.0,4352.0,0.0
2026-09-04 12:07:46.164,10.013,1,96,10,9.99,21.97,45.826,48.773,49.063,1.417,2.2,2.568,47.644,50.801,50.97,100.143,102.278,102.937,23.996,24.149,24.152,45.52,48.474,48.785,106.374,110.136,110.727,24.0,45.46,21.0,565.6,4096.0,220.0,27.7,126.0,1132.3,18.84,75.0,1575.0,14.8,51.9,90,8549.7,15708.2,54.4,1200.3,0.0,4352.0,0.0
2026-09-04 12:07:47.163,11.012,1,106,10,10.01,22.31,45.147,48.501,49.022,1.836,2.69,2.753,47.368,50.029,50.565,99.418,101.792,101.946,23.969,24.117,24.124,44.828,48.246,48.769,106.931,109.661,110.186,24.0,44.89,21.0,565.6,4096.0,220.0,27.7,126.0,1132.3,18.88,75.0,1575.0,10.6,49.1,90,8542.2,15708.2,54.4,1199.2,0.0,4352.0,0.0
2026-09-04 12:07:48.163,12.012,1,116,10,10.0,22.41,44.941,47.653,47.95,2.435,3.98,4.368,47.773,50.206,50.226,100.423,104.029,105.452,23.982,24.096,24.1,44.62,47.352,47.662,113.363,132.206,146.673,24.0,44.62,21.0,565.6,4096.0,220.0,39.1,126.0,1132.3,18.85,75.0,1575.0,21.6,52.0,90,8642.7,15708.2,55.0,1200.9,0.0,4352.0,0.0
2026-09-04 12:07:49.163,13.012,1,126,10,10.0,24.87,40.486,41.665,41.724,2.271,2.788,3.076,43.129,44.408,44.543,99.413,102.164,103.001,23.908,23.934,23.935,40.208,41.381,41.476,107.271,110.875,111.027,24.0,40.21,21.0,565.6,4096.0,220.0,87.5,126.0,1132.3,18.94,75.0,1575.0,17.5,47.0,90,8732.6,15708.2,55.6,1200.9,0.0,4352.0,0.0
2026-09-04 12:07:50.163,14.012,1,136,10,10.0,24.81,40.606,41.165,41.222,2.29,3.032,3.086,43.341,44.067,44.145,99.997,102.787,103.625,23.904,23.964,23.968,40.312,40.831,40.893,110.206,115.108,115.603,24.0,40.3,21.0,565.6,4096.0,220.0,67.5,126.0,1132.3,18.88,75.0,1575.0,19.0,46.0,90,8663.5,15708.2,55.2,1201.0,0.0,4352.0,0.0
2026-09-04 12:07:51.164,15.013,1,146,10,9.99,24.74,40.711,41.859,42.149,2.675,3.617,4.076,43.789,45.42,45.982,99.854,101.566,101.816,23.934,24.026,24.036,40.42,41.577,41.887,114.321,130.528,142.021,24.0,40.37,21.0,565.6,4096.0,220.0,44.6,126.0,1132.3,18.88,75.0,1575.0,18.9,46.0,90,8740.6,15708.2,55.6,1201.0,0.0,4352.0,0.0
2026-09-04 12:07:52.163,16.012,1,156,10,10.02,24.2,41.629,43.048,43.721,2.566,3.711,4.1,44.633,47.195,48.268,100.203,102.635,102.895,23.932,23.983,24.0,41.317,42.7,43.373,109.499,112.533,112.596,24.0,41.38,21.0,565.6,4096.0,220.0,27.7,126.0,1132.3,18.88,75.0,1575.0,14.6,47.1,90,8743.3,15708.2,55.7,1200.4,0.0,4352.0,0.0
2026-09-04 12:07:53.163,17.012,1,166,10,10.0,24.88,40.464,43.572,44.055,2.429,2.703,2.749,43.289,46.541,47.141,99.841,101.428,101.578,23.91,23.981,23.995,40.19,43.243,43.77,115.474,139.65,156.98,25.0,40.19,21.0,565.6,4096.0,220.0,29.8,126.0,1132.3,18.86,75.0,1575.0,17.3,47.0,90,8849.6,15708.2,56.3,1201.0,0.0,4352.0,0.0
2026-09-04 12:07:54.163,18.012,1,176,10,10.0,25.05,40.199,41.019,41.183,2.332,2.995,3.35,42.976,43.677,43.698,99.688,101.438,101.676,23.926,23.982,23.989,39.926,40.768,40.929,111.529,132.792,146.6,24.0,39.93,20.0,565.6,4096.0,220.0,67.5,126.0,1132.3,18.98,76.0,1575.0,13.6,46.0,90,8891.6,15708.2,56.6,1201.0,0.0,4352.0,0.0
2026-09-04 12:07:55.163,19.012,1,186,10,10.0,24.52,41.052,41.95,42.024,1.794,2.182,2.281,43.283,44.232,44.275,100.092,101.761,101.954,23.882,23.924,23.926,40.777,41.682,41.732,110.329,115.893,117.916,24.0,40.78,21.0,565.6,4096.0,220.0,40.7,126.0,1132.3,18.9,76.0,1575.0,9.9,46.0,90,8906.7,15708.2,56.7,1201.0,0.0,4352.0,0.0
2026-09-04 12:07:56.164,20.013,1,196,10,9.99,24.07,41.838,43.391,44.032,1.742,2.123,2.126,44.045,45.755,46.64,99.767,101.614,101.624,23.957,24.145,24.257,41.549,43.135,43.763,107.458,111.416,112.322,24.0,41.5,21.0,565.6,4096.0,220.0,29.8,126.0,1132.3,18.99,75.0,1575.0,13.2,47.0,90,8888.1,15708.2,56.6,1201.1,0.0,4352.0,0.0
