metric,n_windows,mean,std,min,median,max
elapsed_s,114,57.50721929824561,33.05322595364382,1.007,57.5065,114.007
sessions,114,1.0,0.0,1.0,1.0,1.0
scans_total,114,168.82456140350877,139.313121923498,0.0,139.0,504.0
scans_in_window,114,4.421052631578948,3.5546174304489395,0.0,3.0,11.0
scan_rate_hz,114,4.421315789473684,3.5546777141685983,0.0,3.0,11.0
drspaam_fps,109,25.193394495412843,11.021703943363505,0.67,29.71,36.63
t_det_ms_mean,109,148.24560550458713,300.85462739216445,27.552,33.889,1490.665
t_det_ms_p95,109,209.53319266055044,377.44579798170474,28.437,35.814,1490.665
t_det_ms_max,109,229.92888990825688,412.20861205827117,28.535,36.072,1490.665
t_track_ms_mean,109,1.4289266055045875,0.47626680404731625,0.636,1.451,2.504
t_track_ms_p95,109,1.7025688073394496,0.6352651585051721,0.636,1.748,2.923
t_track_ms_max,109,1.748770642201835,0.665522290483301,0.636,1.749,2.983
t_lat_ms_mean,109,166.45409174311928,325.48558404506673,30.099,36.118,1493.96
t_lat_ms_p95,109,228.1748440366972,408.2636832303353,30.838,38.507,1493.96
t_lat_ms_max,109,247.1076880733945,439.7826041221894,30.92,38.752,1493.96
t_scan_ms_mean,108,346.9731574074074,223.3640217466221,99.194,398.637,1305.215
t_scan_ms_p95,108,390.0498148148148,267.279978053437,99.992,399.85,1305.215
t_scan_ms_max,108,407.2661666666666,292.4876493626553,99.992,399.965,1305.215
t_fwd_ms_mean,109,136.96572477064223,300.5787259320627,19.654,22.12,1468.781
t_fwd_ms_p95,109,216.97360550458714,410.8216317334672,19.698,23.202,1468.781
t_fwd_ms_max,109,217.90480733944952,412.63778624789614,19.698,23.202,1468.781
inference_ms_mean,109,147.94225688073394,300.7347585000469,27.304,33.658,1489.56
inference_ms_p95,109,209.22985321100919,377.3537251142837,28.221,35.49,1489.56
inference_ms_max,109,229.62353211009173,412.1292647607007,28.322,35.788,1489.56
loss_percent,114,0.0,0.0,0.0,0.0,0.0
jitter_ms,114,5.338684210526316,1.9793980997888225,1.9,5.0600000000000005,11.44
wire_ms_mean,114,7.031035087719298,5.239192675647963,2.93,4.571,23.738
wire_ms_p95,114,15.16098245614035,14.793319905372774,2.948,6.1805,48.64
wire_ms_max,114,17.757771929824564,17.73984256000369,2.948,6.449,64.925
busy_drop_in_window,114,0.6842105263157895,1.9062811383149378,0.0,0.0,10.0
bad_packets_in_window,114,0.0,0.0,0.0,0.0,0.0
gpu_util_percent,114,10.736842105263158,12.053019033236303,0.0,1.0,44.0
drspaam_gpu_duty_percent,109,34.845963302752295,40.45964111902282,3.05,10.74,148.95
gpu_mem_util_percent,114,8.74561403508772,9.582258129405737,0.0,0.5,34.0
gpu_mem_used_mb,114,544.8999999999999,35.881811893754204,482.9,536.9,842.9
gpu_mem_total_mb,114,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,114,200.0,35.88181189375421,138.0,192.0,498.0
torch_alloc_mb,114,28.80964912280702,34.65952721005392,22.8,23.6,390.8
torch_reserved_mb,114,105.96491228070175,36.06285805934086,44.0,98.0,404.0
torch_peak_mb,114,897.6175438596492,75.08151587289905,103.5,905.5,905.5
gpu_power_w,114,13.293947368421053,1.292021547274399,11.7,12.815000000000001,15.17
gpu_temp_c,114,63.973684210526315,0.9996506143257939,63.0,64.0,66.0
gpu_sm_clock_mhz,114,1575.0,0.0,1575.0,1575.0,1575.0
cpu_percent_system,114,14.592105263157897,6.512196110645923,4.4,12.45,30.5
cpu_percent_process,114,132.8280701754386,89.79990096844169,8.0,110.85,381.6
proc_threads,114,72.93859649122807,0.655610068107186,66.0,73.0,73.0
ram_used_mb,114,6710.631578947369,39.3965078992162,6517.1,6703.45,6798.2
ram_total_mb,114,15708.200000000003,1.827020300888856e-12,15708.2,15708.2,15708.2
ram_percent,114,42.72280701754387,0.2489038225312583,41.5,42.7,43.3
proc_rss_mb,114,1223.4701754385965,26.289238451808156,964.7,1226.2,1229.6
swap_used_mb,114,0.0,0.0,0.0,0.0,0.0
swap_total_mb,114,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,114,0.0,0.0,0.0,0.0,0.0
