metric,n_windows,mean,std,min,median,max
elapsed_s,75,38.00568,21.794560470732883,1.006,38.005,75.007
sessions,75,1.0,0.0,1.0,1.0,1.0
scans_total,75,195.13333333333333,161.38147967465778,0.0,159.0,502.0
scans_in_window,75,6.693333333333333,3.8554045370290444,0.0,10.0,10.0
scan_rate_hz,75,6.6928,3.8547133521219226,0.0,9.98,10.03
drspaam_fps,73,27.946712328767124,8.412411639752982,0.65,30.81,33.87
t_det_ms_mean,73,84.28282191780822,218.65075342403557,29.693,32.683,1533.842
t_det_ms_p95,73,126.04806849315068,290.21923753141294,29.984,35.836,1533.842
t_det_ms_max,73,141.74465753424658,328.04451697115655,29.986,36.034,1533.842
t_track_ms_mean,73,1.3896027397260273,0.35825595054862763,0.749,1.42,2.461
t_track_ms_p95,73,1.7934931506849312,0.5228473891237734,0.916,1.836,3.259
t_track_ms_max,73,1.876972602739726,0.5744046428115022,0.916,1.934,3.563
t_lat_ms_mean,73,89.61161643835617,223.8801659840489,31.256,35.107,1536.745
t_lat_ms_p95,73,131.4373287671233,299.7836933348339,31.609,38.236,1536.745
t_lat_ms_max,73,146.6516712328767,335.89753655649776,31.648,38.59,1536.745
t_scan_ms_mean,72,222.3562638888889,169.29515139950135,99.185,100.38749999999999,932.501
t_scan_ms_p95,72,254.68399999999994,235.15785888009444,100.714,101.851,1371.031
t_scan_ms_max,72,266.58251388888885,263.00562196797307,100.714,102.2385,1401.618
t_fwd_ms_mean,73,72.86054794520548,217.46353793369596,19.635,21.507,1508.797
t_fwd_ms_p95,73,113.72354794520547,289.739699055081,19.659,23.186,1508.797
t_fwd_ms_max,73,129.27649315068496,327.81168468095296,19.661,23.21,1508.797
inference_ms_mean,73,84.05376712328767,218.5418516625541,29.521,32.453,1532.43
inference_ms_p95,73,125.80358904109592,290.14923903110406,29.806,35.539,1532.43
inference_ms_max,73,141.50931506849312,327.9832375056128,29.808,35.792,1532.43
loss_percent,75,0.0,0.0,0.0,0.0,0.0
jitter_ms,75,5.440533333333333,2.358737576534311,2.72,4.53,9.51
wire_ms_mean,75,5.47644,3.6968646293267984,2.764,4.503,20.727
wire_ms_p95,75,11.732626666666667,12.364035707116297,2.797,6.086,51.17
wire_ms_max,75,15.824533333333333,18.496550691100985,2.799,6.116,71.145
busy_drop_in_window,75,0.6933333333333334,2.079327680670751,0.0,0.0,9.0
bad_packets_in_window,75,0.0,0.0,0.0,0.0,0.0
gpu_util_percent,75,16.68,9.06755427557732,0.0,19.0,48.0
drspaam_gpu_duty_percent,73,33.14219178082192,31.974721406421427,3.4,32.11,153.26
gpu_mem_util_percent,75,14.453333333333333,7.521668398400418,0.0,18.0,31.0
gpu_mem_used_mb,75,550.2066666666667,21.642034508281736,488.9,536.9,576.9
gpu_mem_total_mb,75,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,75,205.30666666666667,21.642034508281743,144.0,192.0,232.0
torch_alloc_mb,75,26.508000000000006,5.858783196239688,23.7,23.8,51.8
torch_reserved_mb,75,110.88,21.563833585865915,50.0,98.0,138.0
torch_peak_mb,75,891.3960000000002,92.28233329211952,103.7,905.6,905.6
gpu_power_w,75,14.2064,1.4721198541100058,11.7,15.12,15.81
gpu_temp_c,75,66.52,2.26822945595565,63.0,67.0,70.0
gpu_sm_clock_mhz,75,1575.9866666666667,9.179138117305818,1545.0,1575.0,1627.0
cpu_percent_system,75,14.700000000000003,7.155700808030899,3.4,14.7,34.6
cpu_percent_process,75,152.61466666666666,95.46422945955362,8.0,164.5,339.5
proc_threads,75,71.81333333333333,1.1353453258850406,65.0,72.0,72.0
ram_used_mb,75,6737.466666666667,37.6227516463302,6513.5,6728.9,6792.5
ram_total_mb,75,15708.199999999997,3.662477257679844e-12,15708.2,15708.2,15708.2
ram_percent,75,42.89066666666667,0.23833506582876962,41.5,42.8,43.2
proc_rss_mb,75,1217.8,32.18868359146349,964.2,1222.7,1223.8
swap_used_mb,75,0.0,0.0,0.0,0.0,0.0
swap_total_mb,75,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,75,0.0,0.0,0.0,0.0,0.0
