metric,n_windows,mean,std,min,median,max
elapsed_s,77,39.007545454545465,22.371932045208048,1.007,39.007,77.007
sessions,77,1.0,0.0,1.0,1.0,1.0
scans_total,77,195.87012987012986,162.79744846776467,0.0,164.0,507.0
scans_in_window,77,6.584415584415584,3.73585278558235,0.0,10.0,10.0
scan_rate_hz,77,6.584935064935064,3.736474070908302,0.0,9.96,10.04
drspaam_fps,75,30.4788,8.899077231239628,0.69,33.05,37.83
t_det_ms_mean,75,78.65461333333334,216.07262839853448,26.598,30.473,1459.815
t_det_ms_p95,75,118.32872,279.15570874293775,26.993,33.48,1459.815
t_det_ms_max,75,135.9811333333333,323.99966999438203,27.037,33.946,1459.815
t_track_ms_mean,75,1.0131466666666669,0.23495069599715926,0.722,0.947,1.999
t_track_ms_p95,75,1.20928,0.36190280015047793,0.742,1.126,2.616
t_track_ms_max,75,1.2499466666666668,0.40309669195251785,0.744,1.136,2.749
t_lat_ms_mean,75,83.68028,224.02226714882968,28.182,32.529,1462.781
t_lat_ms_p95,75,124.34581333333331,290.7550437009343,28.611,35.638,1462.781
t_lat_ms_max,75,141.32478666666668,332.78220373766146,28.659,35.969,1462.781
t_scan_ms_mean,74,235.87651351351352,206.11637864627167,99.219,100.3265,1399.074
t_scan_ms_p95,74,269.34639189189187,247.76212306984536,100.643,101.95150000000001,1399.074
t_scan_ms_max,74,284.9232972972973,281.83169682338564,100.66,102.185,1399.074
t_fwd_ms_mean,75,66.91910666666666,215.10671769942678,16.983,18.782,1436.406
t_fwd_ms_p95,75,122.83021333333333,323.8943021464361,17.01,20.815,1436.406
t_fwd_ms_max,75,122.83021333333333,323.8943021464361,17.01,20.815,1436.406
inference_ms_mean,75,78.4172,215.96493041382587,26.436,30.255,1458.427
inference_ms_p95,75,118.06374666666667,279.04659784383455,26.821,33.233,1458.427
inference_ms_max,75,135.70821333333336,323.89902825640024,26.863,33.679,1458.427
loss_percent,77,0.0,0.0,0.0,0.0,0.0
jitter_ms,77,5.15155844155844,2.7365475103028833,1.5,4.86,11.01
wire_ms_mean,77,10.929038961038959,4.760287105565108,7.523,8.736,28.646
wire_ms_p95,77,17.604584415584412,12.867603998690756,8.471,9.352,47.658
wire_ms_max,77,21.38797402597402,17.346833081190493,8.474,9.615,49.116
busy_drop_in_window,77,0.6883116883116883,1.921209461851818,0.0,0.0,9.0
bad_packets_in_window,77,0.0,0.0,0.0,0.0,0.0
gpu_util_percent,77,12.493506493506494,9.355020291158304,0.0,17.0,40.0
drspaam_gpu_duty_percent,75,30.920266666666667,32.48280235103764,5.27,29.22,145.82
gpu_mem_util_percent,77,9.974025974025974,7.54281468121191,0.0,14.0,34.0
gpu_mem_used_mb,77,543.3142857142857,13.995165652972291,489.6,537.6,569.6
gpu_mem_total_mb,77,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,77,197.71428571428572,13.99516565297229,144.0,192.0,224.0
torch_alloc_mb,77,25.428571428571427,4.286111510413517,22.8,23.8,44.8
torch_reserved_mb,77,103.92207792207792,13.585757086943191,50.0,98.0,130.0
torch_peak_mb,77,890.5064935064939,90.94953102749717,103.7,897.3,905.6
gpu_power_w,77,14.937922077922078,1.5217591427637618,12.53,15.88,16.57
gpu_temp_c,77,66.72727272727273,1.6192620446913435,64.0,67.0,69.0
gpu_sm_clock_mhz,77,1575.0,0.0,1575.0,1575.0,1575.0
cpu_percent_system,77,17.68311688311688,8.17329416610171,4.8,17.2,37.4
cpu_percent_process,77,136.80519480519482,88.75026745119656,6.0,133.9,335.0
proc_threads,77,72.9090909090909,0.7977240352174658,66.0,73.0,73.0
ram_used_mb,77,8899.067532467532,175.97404521657103,8376.3,8948.9,9249.9
ram_total_mb,77,15708.199999999995,5.492751992155558e-12,15708.2,15708.2,15708.2
ram_percent,77,56.65714285714286,1.1299078410752394,53.3,57.0,58.9
proc_rss_mb,77,1218.3662337662338,31.317985459802877,964.8,1222.8,1224.3
swap_used_mb,77,0.0,0.0,0.0,0.0,0.0
swap_total_mb,77,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,77,0.0,0.0,0.0,0.0,0.0
