wall_time,elapsed_s,sessions,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,loss_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,bad_packets_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 13:31:24.835,1.007,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,4.37,16.086,47.658,49.116,8,0,30.0,,24.0,515.6,4096.0,170.0,25.2,84.0,103.7,14.09,64.0,1575.0,10.3,97.2,66,8376.3,15708.2,53.3,964.8,0.0,4352.0,0.0
2026-09-04 13:31:25.836,2.007,1,1,1,1.0,0.69,1459.815,1459.815,1459.815,1.317,1.317,1.317,1462.781,1462.781,1462.781,,,,1436.406,1436.406,1436.406,1458.427,1458.427,1458.427,0.0,3.18,8.721,8.763,8.768,4,0,16.0,145.82,15.0,509.6,4096.0,164.0,22.8,78.0,891.2,14.87,64.0,1575.0,12.4,133.9,73,8519.7,15708.2,54.2,1125.6,0.0,4352.0,0.0
2026-09-04 13:31:26.835,3.007,1,2,1,1.0,0.84,1184.589,1184.589,1184.589,1.063,1.063,1.063,1250.742,1250.742,1250.742,1399.074,1399.074,1399.074,1173.272,1173.272,1173.272,1184.401,1184.401,1184.401,0.0,2.62,8.725,8.735,8.737,2,0,7.0,118.47,5.0,537.6,4096.0,192.0,37.7,98.0,891.7,14.87,64.0,1575.0,11.0,101.1,73,8596.1,15708.2,54.7,1221.7,0.0,4352.0,0.0
2026-09-04 13:31:27.835,4.007,1,5,3,3.0,2.56,391.582,921.819,1008.794,0.843,0.882,0.884,531.257,1086.963,1163.054,797.814,1074.442,1093.896,381.516,998.547,998.547,391.026,920.591,1007.445,0.0,4.57,21.535,43.246,47.061,2,0,14.0,117.31,9.0,537.6,4096.0,192.0,23.8,98.0,897.3,15.32,64.0,1575.0,13.4,150.0,73,8592.2,15708.2,54.7,1222.0,0.0,4352.0,0.0
2026-09-04 13:31:28.837,5.009,1,7,2,1.99,37.25,27.039,27.443,27.488,0.859,0.878,0.88,28.708,29.132,29.179,401.652,401.749,401.759,17.096,17.117,17.117,26.842,27.241,27.286,0.0,6.26,9.403,9.97,10.033,0,0,0.0,5.35,0.0,537.6,4096.0,192.0,23.8,98.0,897.3,13.32,65.0,1575.0,6.6,6.0,73,8671.6,15708.2,55.2,1222.0,0.0,4352.0,0.0
2026-09-04 13:31:29.835,6.007,1,10,3,3.01,33.49,30.086,31.724,31.744,1.104,1.236,1.236,32.149,34.018,34.052,398.175,400.351,400.617,19.256,20.476,20.476,29.861,31.486,31.502,0.0,5.27,8.492,8.842,8.86,0,0,0.0,8.98,0.0,537.6,4096.0,192.0,23.8,98.0,897.3,12.53,64.0,1575.0,10.7,74.2,73,8776.9,15708.2,55.9,1222.1,0.0,4352.0,0.0
2026-09-04 13:31:30.835,7.007,1,12,2,2.0,36.8,27.381,27.51,27.525,0.873,0.876,0.877,29.21,29.31,29.321,400.872,401.022,401.039,17.041,17.074,17.074,27.177,27.296,27.309,0.0,6.88,26.882,43.082,44.882,0,0,8.0,5.44,6.0,537.6,4096.0,192.0,23.8,98.0,897.3,12.83,65.0,1575.0,5.5,6.0,73,8729.9,15708.2,55.6,1222.1,0.0,4352.0,0.0
2026-09-04 13:31:31.835,8.007,1,15,3,3.0,31.41,32.063,36.321,36.725,0.999,1.176,1.197,33.968,38.494,38.928,399.496,400.104,400.197,19.567,20.99,20.99,31.842,36.054,36.453,0.0,7.66,8.736,8.761,8.765,0,0,0.0,9.55,0.0,537.6,4096.0,192.0,23.8,98.0,897.3,12.76,65.0,1575.0,12.1,76.0,73,8764.9,15708.2,55.8,1222.1,0.0,4352.0,0.0
2026-09-04 13:31:32.835,9.007,1,17,2,2.0,34.16,29.457,31.541,31.772,0.878,1.048,1.067,31.315,33.632,33.889,401.022,401.588,401.651,18.693,20.367,20.367,29.273,31.366,31.599,0.0,6.74,8.832,8.864,8.867,0,0,0.0,5.85,0.0,537.6,4096.0,192.0,23.8,98.0,897.3,12.9,65.0,1575.0,8.3,39.0,73,8808.0,15708.2,56.1,1222.1,0.0,4352.0,0.0
2026-09-04 13:31:33.838,10.01,1,20,3,2.99,33.33,30.212,32.232,32.27,0.89,0.996,1.007,32.046,34.307,34.376,398.743,401.979,402.305,19.307,20.557,20.557,30.005,32.033,32.074,0.0,8.19,20.2,42.077,45.762,0,0,0.0,8.98,0.0,537.6,4096.0,192.0,23.7,98.0,897.3,12.57,65.0,1575.0,9.7,73.8,73,8746.1,15708.2,55.7,1222.2,0.0,4352.0,0.0
