wall_time,elapsed_s,sessions,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,loss_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,bad_packets_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 13:11:59.637,1.005,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.62,7.967,8.399,8.457,8,0,19.0,,15.0,515.6,4096.0,170.0,25.2,84.0,103.7,13.91,65.0,1575.0,10.2,97.4,65,8544.0,15708.2,54.4,964.5,0.0,4352.0,0.0
2026-09-04 13:12:00.637,2.005,1,1,1,1.0,0.69,1440.927,1440.927,1440.927,0.954,0.954,0.954,1442.681,1442.681,1442.681,,,,1416.02,1416.02,1416.02,1439.812,1439.812,1439.812,0.0,5.44,15.35,39.111,46.82,4,0,16.0,143.99,15.0,509.6,4096.0,164.0,22.9,78.0,891.2,14.86,64.0,1575.0,14.1,136.0,72,8674.8,15708.2,55.2,1128.3,0.0,4352.0,0.0
2026-09-04 13:12:01.637,3.005,1,4,3,3.0,2.5,400.312,1036.459,1148.675,0.695,0.758,0.767,515.457,1189.48,1297.16,900.614,1280.324,1300.097,390.912,1026.678,1138.867,400.145,1036.314,1148.537,0.0,4.55,8.552,9.015,9.089,2,0,10.0,120.05,9.0,537.6,4096.0,192.0,23.8,98.0,897.3,15.21,64.0,1575.0,7.8,70.0,72,8735.2,15708.2,55.6,1220.9,0.0,4352.0,0.0
2026-09-04 13:12:02.637,4.005,1,6,2,2.0,37.1,27.151,27.421,27.45,0.736,0.749,0.751,29.679,29.982,30.016,497.887,588.762,598.86,16.995,17.002,17.003,26.957,27.238,27.269,0.0,4.04,8.446,8.452,8.453,0,0,14.0,5.39,12.0,537.6,4096.0,192.0,23.8,98.0,897.3,12.62,64.0,1575.0,6.1,7.0,72,8656.9,15708.2,55.1,1220.9,0.0,4352.0,0.0
2026-09-04 13:12:03.639,5.007,1,8,2,2.0,11.99,83.593,134.632,140.303,0.727,0.745,0.747,85.523,136.075,141.692,400.921,402.441,402.61,73.608,124.58,130.244,83.407,134.456,140.128,0.0,5.93,22.29,45.758,49.885,0,0,15.0,16.65,10.0,543.6,4096.0,198.0,24.9,104.0,897.3,12.9,64.0,1575.0,7.6,52.9,72,8654.4,15708.2,55.1,1221.0,0.0,4352.0,0.0
2026-09-04 13:12:04.637,6.005,1,11,3,3.01,34.97,28.782,31.293,31.549,0.754,0.919,0.944,30.959,33.865,34.245,398.679,401.44,401.899,18.546,20.085,20.263,28.593,31.078,31.325,0.0,7.65,8.301,8.327,8.33,0,0,16.0,8.59,14.0,543.6,4096.0,198.0,23.8,104.0,897.3,13.02,64.0,1575.0,7.4,38.1,72,8659.6,15708.2,55.1,1221.0,0.0,4352.0,0.0
2026-09-04 13:12:05.637,7.005,1,14,3,3.0,33.28,30.25,32.106,32.12,0.869,0.993,0.995,32.555,34.825,34.959,400.448,402.008,402.22,19.278,20.462,20.471,30.045,31.902,31.921,0.0,6.33,8.496,8.766,8.81,0,0,0.0,9.01,0.0,543.6,4096.0,198.0,23.8,104.0,897.3,12.8,64.0,1575.0,9.8,76.0,72,8662.4,15708.2,55.1,1221.0,0.0,4352.0,0.0
2026-09-04 13:12:06.637,8.005,1,16,2,2.0,31.3,32.156,32.752,32.818,0.966,0.974,0.974,34.316,34.537,34.561,400.929,402.03,402.153,20.399,20.443,20.448,31.945,32.528,32.593,0.0,8.31,25.448,43.69,45.717,0,0,0.0,6.39,0.0,543.6,4096.0,198.0,23.8,104.0,897.3,12.55,64.0,1575.0,9.3,70.0,72,8670.9,15708.2,55.2,1221.0,0.0,4352.0,0.0
2026-09-04 13:12:07.637,9.005,1,19,3,3.0,35.7,28.179,30.581,30.957,0.746,0.838,0.85,30.373,32.309,32.593,397.78,399.074,399.295,18.015,19.82,20.132,28.01,30.389,30.76,0.0,8.95,8.481,8.72,8.758,0,0,0.0,8.4,0.0,543.6,4096.0,198.0,23.8,104.0,897.3,12.85,64.0,1575.0,6.7,44.0,72,8668.9,15708.2,55.2,1221.1,0.0,4352.0,0.0
2026-09-04 13:12:08.638,10.007,1,20,1,1.0,36.93,27.264,27.264,27.264,0.744,0.744,0.744,28.739,28.739,28.739,402.608,402.608,402.608,17.043,17.043,17.043,27.082,27.082,27.082,0.0,7.87,8.28,8.302,8.304,0,0,0.0,2.7,0.0,529.6,4096.0,184.0,38.0,90.0,897.3,12.55,64.0,1575.0,6.9,30.0,72,8677.2,15708.2,55.2,1221.3,0.0,4352.0,0.0
