method,run,metric,n_windows,mean,std,min,median,max
udp,static / seq,elapsed_s,75,38.00553333333334,21.794655338093932,1.005,38.005,75.01
udp,static / seq,sessions,75,1.0,0.0,1.0,1.0,1.0
udp,static / seq,scans_total,75,191.05333333333334,161.93040658436135,0.0,152.0,502.0
udp,static / seq,scans_in_window,75,6.693333333333333,3.7161929565201652,0.0,10.0,11.0
udp,static / seq,scan_rate_hz,75,6.6929333333333325,3.7157527240528676,0.0,9.95,11.0
udp,static / seq,drspaam_fps,74,31.162837837837834,9.022091231666927,0.69,33.754999999999995,37.58
udp,static / seq,t_det_ms_mean,74,73.37556756756756,187.86380056387551,26.768,29.8105,1440.927
udp,static / seq,t_det_ms_p95,74,112.9863648648649,275.5927558087518,27.264,32.7395,1440.927
udp,static / seq,t_det_ms_max,74,122.52378378378378,301.7886710992363,27.264,32.906000000000006,1440.927
udp,static / seq,t_track_ms_mean,74,0.859554054054054,0.20264755435166093,0.673,0.8075000000000001,1.877
udp,static / seq,t_track_ms_p95,74,0.9900675675675675,0.3091974291073666,0.675,0.9155,2.445
udp,static / seq,t_track_ms_max,74,1.0112567567567567,0.3220873726780551,0.675,0.9315,2.485
udp,static / seq,t_lat_ms_mean,74,80.65458108108109,199.46894841498766,28.739,32.361000000000004,1442.681
udp,static / seq,t_lat_ms_p95,74,118.22018918918918,284.4313003435835,28.739,35.2915,1442.681
udp,static / seq,t_lat_ms_max,74,127.19778378378379,308.92301256879966,28.739,35.8395,1442.681
udp,static / seq,t_scan_ms_mean,73,230.84660273972597,173.88804138061712,99.243,100.307,900.614
udp,static / seq,t_scan_ms_p95,73,261.4102876712328,230.23333219007765,100.644,101.549,1280.324
udp,static / seq,t_scan_ms_max,73,269.5166575342466,247.5258315068247,100.667,101.867,1300.097
udp,static / seq,t_fwd_ms_mean,74,62.27652702702702,186.58412734912972,16.988,18.814500000000002,1416.02
udp,static / seq,t_fwd_ms_p95,74,101.03862162162163,274.9937618010112,17.002,20.477,1416.02
udp,static / seq,t_fwd_ms_max,74,110.41297297297297,301.3154107392421,17.003,20.5275,1416.02
udp,static / seq,inference_ms_mean,74,73.16962162162163,187.77448838883967,26.608,29.625500000000002,1439.812
udp,static / seq,inference_ms_p95,74,112.76324324324324,275.54078512914174,27.082,32.486999999999995,1439.812
udp,static / seq,inference_ms_max,74,122.29893243243242,301.74355499622936,27.082,32.67100000000001,1439.812
udp,static / seq,loss_percent,75,0.014533333333333334,0.08842913384010789,0.0,0.0,0.56
udp,static / seq,jitter_ms,75,6.026133333333334,3.386618297874074,0.62,5.41,12.03
udp,static / seq,wire_ms_mean,75,11.21812,5.128246908083724,7.756,8.496,27.309
udp,static / seq,wire_ms_p95,75,18.844746666666666,14.359201982355776,8.243,9.816,47.213
udp,static / seq,wire_ms_max,75,22.867813333333338,19.350595233315268,8.285,10.12,73.954
udp,static / seq,busy_drop_in_window,75,0.4533333333333333,1.4913564778898925,0.0,0.0,8.0
udp,static / seq,bad_packets_in_window,75,0.013333333333333334,0.11547005383792518,0.0,0.0,1.0
udp,static / seq,gpu_util_percent,75,13.293333333333333,8.722095789141218,0.0,17.0,36.0
udp,static / seq,drspaam_gpu_duty_percent,74,29.103783783783783,28.856955606174395,2.7,28.585,143.99
udp,static / seq,gpu_mem_util_percent,75,10.253333333333334,6.726497288021885,0.0,14.0,28.0
udp,static / seq,gpu_mem_used_mb,75,550.7733333333333,10.63951499267139,509.6,553.6,569.6
udp,static / seq,gpu_mem_total_mb,75,4096.0,0.0,4096.0,4096.0,4096.0
udp,static / seq,gpu_proc_mem_mb,75,205.17333333333335,10.639514992671389,164.0,208.0,224.0
udp,static / seq,torch_alloc_mb,75,27.125333333333334,6.830517635667971,22.9,23.8,61.2
udp,static / seq,torch_reserved_mb,75,111.38666666666667,9.91844219096404,78.0,114.0,130.0
udp,static / seq,torch_peak_mb,75,893.8306666666668,92.51831808880868,103.7,905.6,905.6
udp,static / seq,gpu_power_w,75,14.86213333333333,1.4065525166100206,12.55,15.72,16.74
udp,static / seq,gpu_temp_c,75,66.4,1.5334116705410032,64.0,67.0,69.0
udp,static / seq,gpu_sm_clock_mhz,75,1575.0,0.0,1575.0,1575.0,1575.0
udp,static / seq,cpu_percent_system,75,15.210666666666667,6.827519302046668,4.6,14.1,30.0
udp,static / seq,cpu_percent_process,75,139.224,85.58148612619185,6.0,129.0,328.3
udp,static / seq,proc_threads,75,71.90666666666667,0.8082903768654761,65.0,72.0,72.0
udp,static / seq,ram_used_mb,75,8594.796,144.29026436038296,8403.3,8659.5,8871.3
udp,static / seq,ram_total_mb,75,15708.199999999997,3.662477257679844e-12,15708.2,15708.2,15708.2
udp,static / seq,ram_percent,75,54.71066666666667,0.9179255892431514,53.5,55.1,56.5
udp,static / seq,proc_rss_mb,75,1217.5279999999998,31.542770448512723,964.5,1222.2,1223.7
udp,static / seq,swap_used_mb,75,0.0,0.0,0.0,0.0,0.0
udp,static / seq,swap_total_mb,75,4352.0,0.0,4352.0,4352.0,4352.0
udp,static / seq,swap_percent,75,0.0,0.0,0.0,0.0,0.0
udp,static / pipelined,elapsed_s,77,39.007545454545465,22.371932045208048,1.007,39.007,77.007
udp,static / pipelined,sessions,77,1.0,0.0,1.0,1.0,1.0
udp,static / pipelined,scans_total,77,195.87012987012986,162.79744846776467,0.0,164.0,507.0
udp,static / pipelined,scans_in_window,77,6.584415584415584,3.73585278558235,0.0,10.0,10.0
udp,static / pipelined,scan_rate_hz,77,6.584935064935064,3.736474070908302,0.0,9.96,10.04
udp,static / pipelined,drspaam_fps,75,30.4788,8.899077231239628,0.69,33.05,37.83
udp,static / pipelined,t_det_ms_mean,75,78.65461333333334,216.07262839853448,26.598,30.473,1459.815
udp,static / pipelined,t_det_ms_p95,75,118.32872,279.15570874293775,26.993,33.48,1459.815
udp,static / pipelined,t_det_ms_max,75,135.9811333333333,323.99966999438203,27.037,33.946,1459.815
udp,static / pipelined,t_track_ms_mean,75,1.0131466666666669,0.23495069599715926,0.722,0.947,1.999
udp,static / pipelined,t_track_ms_p95,75,1.20928,0.36190280015047793,0.742,1.126,2.616
udp,static / pipelined,t_track_ms_max,75,1.2499466666666668,0.40309669195251785,0.744,1.136,2.749
udp,static / pipelined,t_lat_ms_mean,75,83.68028,224.02226714882968,28.182,32.529,1462.781
udp,static / pipelined,t_lat_ms_p95,75,124.34581333333331,290.7550437009343,28.611,35.638,1462.781
