metric,n_windows,mean,std,min,median,max
elapsed_s,67,34.03750746268656,19.485086790246235,1.037,34.037,67.037
publishers,67,1.0,0.0,1.0,1.0,1.0
scans_total,67,225.62686567164178,149.92238757971703,0.0,226.0,500.0
scans_in_window,67,7.462686567164179,3.6069308627635515,0.0,10.0,11.0
scan_rate_hz,67,7.463880597014925,3.6076085234202147,0.0,9.97,11.0
drspaam_fps,64,23.43015625,12.176867151529251,0.64,29.585,35.87
t_det_ms_mean,64,154.168671875,294.6990540567954,28.188,34.56999999999999,1558.261
t_det_ms_p95,64,269.47046874999995,407.2857778487631,31.561,37.638,1558.261
t_det_ms_max,64,320.419015625,478.62610962819946,31.571,37.7885,1558.261
t_track_ms_mean,64,1.61825,0.7020423493760617,0.668,1.501,3.158
t_track_ms_p95,64,2.035125,0.9514630755457536,0.668,1.9565000000000001,4.763
t_track_ms_max,64,2.1058593749999996,1.0023967605818567,0.668,2.0415,4.946
t_lat_ms_mean,64,161.38465624999998,296.99161124352116,32.212,38.483000000000004,1561.663
t_lat_ms_p95,64,278.24640624999995,412.3833650668178,35.216,42.6665,1561.663
t_lat_ms_max,64,328.68446875,482.5279902750924,35.294,43.196,1561.663
t_scan_ms_mean,63,158.18487301587302,137.74834965318882,96.215,100.064,797.632
t_scan_ms_p95,63,273.8998571428572,348.4165352340202,96.215,102.054,1632.088
t_scan_ms_max,63,320.1180476190476,419.54468524385896,96.215,102.443,1690.989
t_fwd_ms_mean,64,142.74959375,293.95731461372367,20.74,22.395,1532.977
t_fwd_ms_p95,64,307.006140625,477.51036220056676,22.87,24.825499999999998,1532.977
t_fwd_ms_max,64,307.85003125000003,478.8898808110992,22.87,24.825499999999998,1532.977
inference_ms_mean,64,153.633265625,294.39618836781796,27.877,33.8065,1554.101
inference_ms_p95,64,268.892109375,407.1441901351769,31.32,36.978,1554.101
inference_ms_max,64,319.84835937500003,478.5152667779775,31.337,37.1405,1554.101
missed_percent,67,0.0,0.0,0.0,0.0,0.0
jitter_ms,67,9.163731343283583,2.6128452132776956,4.03,9.02,14.09
wire_ms_mean,67,113.6749552238806,7.657399139973952,107.334,112.91,169.547
wire_ms_p95,67,131.29479104477616,25.227298167549854,109.661,129.957,303.389
wire_ms_max,67,137.23976119402982,29.420049923782678,109.768,141.802,334.219
busy_drop_in_window,67,2.5074626865671643,3.513494049261031,0.0,0.0,10.0
gpu_util_percent,67,19.880597014925375,6.725172945978734,0.0,22.0,42.0
drspaam_gpu_duty_percent,64,54.19734375,43.03250606862941,3.24,33.230000000000004,155.43
gpu_mem_util_percent,67,16.91044776119403,5.479248298597565,0.0,18.0,29.0
gpu_mem_used_mb,67,537.4970149253732,23.541105057281314,458.9,536.9,590.9
gpu_mem_total_mb,67,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,67,192.59701492537314,23.54110505728131,114.0,192.0,246.0
torch_alloc_mb,67,29.43432835820896,15.40306494725433,14.9,23.8,113.6
torch_reserved_mb,67,98.86567164179104,22.676175939163127,30.0,98.0,152.0
torch_peak_mb,67,894.5641791044777,106.20442794725552,38.8,910.3,910.3
gpu_power_w,67,15.024179104477613,0.6458331458542791,11.18,15.11,15.63
gpu_temp_c,67,67.29850746268657,2.045060015220227,63.0,67.0,71.0
gpu_sm_clock_mhz,67,1576.3432835820895,7.715690897413097,1575.0,1575.0,1620.0
cpu_percent_system,67,20.04328358208955,4.933626850828021,11.4,19.7,30.9
cpu_percent_process,67,215.4597014925373,64.13105676919557,58.8,208.5,350.8
proc_threads,67,72.7910447761194,1.2002185840420376,66.0,73.0,73.0
ram_used_mb,67,6989.671641791046,47.64268777870147,6850.3,6976.3,7115.6
ram_total_mb,67,15708.199999999999,1.8327178202191023e-12,15708.2,15708.2,15708.2
ram_percent,67,44.50000000000001,0.3089571903266624,43.6,44.4,45.3
proc_rss_mb,67,1219.1686567164177,36.830324334609,949.8,1225.0,1227.9
swap_used_mb,67,0.0,0.0,0.0,0.0,0.0
swap_total_mb,67,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,67,0.0,0.0,0.0,0.0,0.0
