wall_time,elapsed_s,publishers,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,missed_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 15:29:48.654,1.033,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,16.93,270.804,438.4,442.194,7,0.0,,0.0,478.9,4096.0,134.0,28.8,50.0,43.8,11.53,65.0,1575.0,9.1,65.8,65,6759.5,15708.2,43.0,952.3,0.0,4352.0,0.0
2026-09-04 15:29:49.654,2.033,1,1,1,1.0,0.66,1509.863,1509.863,1509.863,1.135,1.135,1.135,1512.85,1512.85,1512.85,,,,1485.55,1485.55,1485.55,1508.217,1508.217,1508.217,0.0,9.89,109.956,112.394,112.611,10,0.0,150.82,0.0,460.9,4096.0,116.0,21.8,30.0,894.2,14.63,65.0,1575.0,14.2,106.0,65,6921.3,15708.2,44.1,1109.8,0.0,4352.0,0.0
2026-09-04 15:29:50.654,3.033,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,8.35,114.124,129.901,144.154,9,22.0,,17.0,848.9,4096.0,144.0,37.1,50.0,899.8,13.17,65.0,1575.0,10.9,137.9,72,7026.5,15708.2,44.7,1221.3,0.0,4352.0,0.0
2026-09-04 15:29:51.654,4.033,1,2,1,1.0,0.85,1179.716,1179.716,1179.716,1.258,1.258,1.258,1225.392,1225.392,1225.392,1791.945,1791.945,1791.945,1167.502,1167.502,1167.502,1179.554,1179.554,1179.554,0.0,9.17,113.735,130.306,142.507,9,14.0,117.95,12.0,488.9,4096.0,144.0,35.3,50.0,899.8,14.47,65.0,1575.0,18.1,135.0,72,7046.0,15708.2,44.9,1222.0,0.0,4352.0,0.0
2026-09-04 15:29:52.655,5.034,1,3,1,1.0,0.9,1113.656,1113.656,1113.656,1.454,1.454,1.454,1132.059,1132.059,1132.059,1203.174,1203.174,1203.174,1103.48,1103.48,1103.48,1113.492,1113.492,1113.492,0.0,7.78,112.759,122.822,130.828,9,25.0,111.23,21.0,590.9,4096.0,246.0,113.6,152.0,899.8,14.48,65.0,1575.0,21.4,136.9,72,7038.7,15708.2,44.8,1222.8,0.0,4352.0,0.0
2026-09-04 15:29:53.654,6.033,1,5,2,2.0,1.8,556.299,1026.512,1078.758,0.9,1.042,1.058,585.072,1064.024,1117.241,1097.491,1097.705,1097.729,546.075,1016.784,1069.084,556.137,1026.369,1078.617,0.0,7.9,114.235,130.366,142.736,8,19.0,111.36,19.0,522.9,4096.0,178.0,31.9,84.0,899.8,14.55,65.0,1575.0,17.4,164.2,72,7052.0,15708.2,44.9,1223.1,0.0,4352.0,0.0
2026-09-04 15:29:54.654,7.033,1,9,4,4.0,3.4,294.696,921.995,1078.594,0.786,0.874,0.877,314.138,932.093,1081.392,325.802,863.564,997.689,282.207,908.938,1065.286,294.507,921.792,1078.39,0.0,9.16,113.011,130.385,143.501,6,0.0,117.8,0.0,530.9,4096.0,186.0,37.9,92.0,901.4,15.18,66.0,1575.0,16.0,122.0,72,7069.9,15708.2,45.0,1223.4,0.0,4352.0,0.0
2026-09-04 15:29:55.654,8.033,1,12,3,3.0,2.46,406.511,1033.215,1143.352,1.01,1.231,1.25,427.69,1040.794,1146.388,430.745,995.874,1095.514,393.321,1022.036,1132.962,406.016,1032.925,1143.154,0.0,6.41,109.537,114.46,116.445,9,16.0,121.79,11.0,536.9,4096.0,192.0,23.5,98.0,901.4,14.41,66.0,1575.0,18.9,200.9,72,7063.9,15708.2,45.0,1223.6,0.0,4352.0,0.0
2026-09-04 15:29:56.654,9.033,1,16,4,4.0,28.15,35.764,41.614,42.359,0.91,1.089,1.103,39.211,46.524,47.31,99.516,100.239,100.251,22.423,25.15,25.151,35.529,41.372,42.115,0.0,7.53,114.536,133.053,145.581,4,18.0,14.21,19.0,536.9,4096.0,192.0,31.1,98.0,901.4,14.06,65.0,1575.0,22.6,180.1,72,7073.3,15708.2,45.0,1223.9,0.0,4352.0,0.0
2026-09-04 15:29:57.655,10.034,1,22,6,5.99,4.61,217.435,866.373,1143.973,0.712,1.044,1.167,227.372,879.929,1146.506,267.295,853.855,1104.916,206.151,854.661,1131.859,216.88,864.634,1141.725,0.0,9.55,113.447,131.988,142.952,6,17.0,129.99,14.0,536.9,4096.0,192.0,23.6,98.0,901.4,15.06,66.0,1575.0,15.6,141.8,72,7108.5,15708.2,45.3,1224.1,0.0,4352.0,0.0
