metric,n_windows,mean,std,min,median,max
elapsed_s,60,30.532799999999995,17.464320076144787,1.032,30.533,60.034
publishers,60,1.0,0.0,1.0,1.0,1.0
scans_total,60,235.63333333333333,157.0577964076581,0.0,223.0,508.0
scans_in_window,60,8.466666666666667,3.280485013058885,0.0,10.0,12.0
scan_rate_hz,60,8.465833333333332,3.279808950443978,0.0,10.0,12.0
drspaam_fps,57,24.678596491228067,9.351553048748583,0.65,28.51,31.01
t_det_ms_mean,57,131.90466666666666,313.837733351644,32.705,35.644,1544.857
t_det_ms_p95,57,183.5569298245614,353.6170471022017,35.246,39.467,1544.857
t_det_ms_max,57,216.6044035087719,411.77862643128753,35.465,39.98,1544.857
t_track_ms_mean,57,1.0051929824561405,0.29987351134606327,0.677,0.91,2.097
t_track_ms_p95,57,1.2318771929824561,0.4406042146131118,0.677,1.074,2.79
t_track_ms_max,57,1.2816666666666667,0.4793681605335646,0.677,1.104,2.99
t_lat_ms_mean,57,138.45845614035088,319.5001449493898,35.285,39.263,1549.422
t_lat_ms_p95,57,192.662649122807,362.0568489098822,40.262,43.466,1549.422
t_lat_ms_max,57,223.98919298245613,416.9212691695879,40.337,44.104,1549.422
t_scan_ms_mean,56,162.8470714285714,245.8283708846743,99.058,100.0365,1498.997
t_scan_ms_p95,56,222.294,313.24077215057895,100.173,101.708,1498.997
t_scan_ms_max,56,253.13392857142858,366.2619346826112,100.173,102.0505,1498.997
t_fwd_ms_mean,57,118.89247368421053,312.7603861621377,20.805,22.552,1519.404
t_fwd_ms_p95,57,201.23070175438596,409.87636744650405,22.884,25.136,1519.404
t_fwd_ms_max,57,202.1975087719298,412.00064949199515,22.884,25.136,1519.404
inference_ms_mean,57,131.2967719298246,313.5740851015695,32.244,35.081,1542.824
inference_ms_p95,57,182.8974210526316,353.427429535094,34.948,39.043,1542.824
inference_ms_max,57,215.96429824561403,411.64813907788346,35.148,39.425,1542.824
missed_percent,60,0.034166666666666665,0.12893687414438235,0.0,0.0,0.52
jitter_ms,60,11.926166666666667,7.6498536801486345,4.45,9.945,52.26
wire_ms_mean,60,116.21280000000002,14.110964012042288,107.34,113.78649999999999,212.019
wire_ms_p95,60,138.76245,42.18114453061595,110.716,131.1975,383.229
wire_ms_max,60,148.82756666666666,50.887013135738634,111.745,142.333,418.076
busy_drop_in_window,60,1.5166666666666666,3.0224676564792676,0.0,0.0,10.0
gpu_util_percent,60,19.933333333333334,7.655432693030102,0.0,22.0,44.0
drspaam_gpu_duty_percent,57,48.64157894736842,35.51255405735684,10.33,34.86,154.25
gpu_mem_util_percent,60,16.633333333333333,6.509358755855248,0.0,18.0,35.0
gpu_mem_used_mb,60,552.2333333333335,24.06676213261815,488.9,565.9,572.9
gpu_mem_total_mb,60,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,60,207.1,24.167284231345565,144.0,221.0,228.0
torch_alloc_mb,60,26.08,5.221851090710968,23.7,23.8,45.7
torch_reserved_mb,60,112.86666666666666,24.245542429148,50.0,127.0,134.0
torch_peak_mb,60,890.6733333333333,108.34349779347302,65.7,905.6,905.6
gpu_power_w,60,15.187499999999998,0.4198208859396902,12.9,15.265,15.98
gpu_temp_c,60,68.28333333333333,0.6661721329614916,67.0,68.0,69.0
gpu_sm_clock_mhz,60,1578.0,13.75327387834916,1575.0,1575.0,1650.0
cpu_percent_system,60,23.28666666666667,5.379920819361459,12.1,23.65,35.2
cpu_percent_process,60,249.2433333333333,73.93438540106199,98.7,251.9,385.9
proc_threads,60,72.76666666666667,1.2671423430357474,66.0,73.0,73.0
ram_used_mb,60,6997.768333333334,61.60666784203536,6742.9,7014.55,7077.0
ram_total_mb,60,15708.199999999995,5.503019391722163e-12,15708.2,15708.2,15708.2
ram_percent,60,44.54999999999999,0.3993639010022417,42.9,44.7,45.1
proc_rss_mb,60,1217.058333333333,36.27560366009029,962.3,1223.6,1224.4
swap_used_mb,60,0.0,0.0,0.0,0.0,0.0
swap_total_mb,60,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,60,0.0,0.0,0.0,0.0,0.0
