wall_time,elapsed_s,publishers,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,missed_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 15:22:44.693,1.032,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,4.92,113.746,136.578,146.294,8,2.0,,1.0,494.9,4096.0,150.0,35.7,64.0,65.7,12.9,67.0,1575.0,16.4,98.7,66,6742.9,15708.2,42.9,962.3,0.0,4352.0,0.0
2026-09-04 15:22:45.693,2.032,1,1,1,1.0,0.65,1544.857,1544.857,1544.857,1.127,1.127,1.127,1549.422,1549.422,1549.422,,,,1519.404,1519.404,1519.404,1542.824,1542.824,1542.824,0.0,8.92,115.163,137.938,142.227,9,6.0,154.25,3.0,494.9,4096.0,150.0,42.5,64.0,889.5,14.66,67.0,1575.0,17.4,106.0,66,6905.2,15708.2,44.0,1114.6,0.0,4352.0,0.0
2026-09-04 15:22:46.693,3.032,1,2,1,1.0,0.8,1255.161,1255.161,1255.161,1.834,1.834,1.834,1324.011,1324.011,1324.011,1498.997,1498.997,1498.997,1244.039,1244.039,1244.039,1253.674,1253.674,1253.674,0.0,8.63,115.081,135.387,149.362,9,29.0,125.38,27.0,508.9,4096.0,164.0,37.9,70.0,891.2,13.72,68.0,1575.0,17.6,138.0,73,7017.8,15708.2,44.7,1221.1,0.0,4352.0,0.0
2026-09-04 15:22:47.693,4.032,1,3,1,1.0,0.91,1105.836,1105.836,1105.836,1.217,1.217,1.217,1130.702,1130.702,1130.702,1294.08,1294.08,1294.08,1092.052,1092.052,1092.052,1103.67,1103.67,1103.67,0.0,12.0,114.169,136.87,154.354,10,24.0,110.36,19.0,544.9,4096.0,200.0,25.0,106.0,904.4,14.63,68.0,1575.0,16.6,139.0,73,7012.0,15708.2,44.6,1221.4,0.0,4352.0,0.0
2026-09-04 15:22:48.695,5.034,1,8,5,4.99,19.39,52.616,118.088,139.611,0.909,1.094,1.121,69.006,130.236,143.361,301.489,904.551,1105.367,41.792,129.139,129.139,51.581,117.552,139.402,0.0,12.9,114.139,137.123,140.893,4,6.0,25.74,5.0,548.9,4096.0,190.0,39.8,66.0,904.4,15.3,67.0,1575.0,12.9,145.7,73,7006.0,15708.2,44.6,1221.8,0.0,4352.0,0.0
2026-09-04 15:22:49.693,6.032,1,14,6,6.01,4.95,202.302,795.385,1048.685,0.918,1.049,1.061,214.925,810.895,1051.943,248.411,768.281,990.379,191.091,1038.091,1038.091,201.952,795.167,1048.475,0.0,10.66,114.888,132.345,144.78,5,24.0,121.42,20.0,536.9,4096.0,192.0,37.9,98.0,904.4,15.03,68.0,1575.0,15.6,174.4,73,6988.2,15708.2,44.5,1221.9,0.0,4352.0,0.0
2026-09-04 15:22:50.693,7.033,1,25,11,11.0,28.21,36.266,38.42,38.573,0.953,1.144,1.192,40.075,43.722,43.788,100.277,102.141,102.306,22.755,24.446,24.498,35.445,37.823,38.03,0.0,11.54,114.594,130.947,143.873,0,22.0,38.98,18.0,536.9,4096.0,192.0,23.7,98.0,904.4,15.21,68.0,1575.0,27.0,329.8,73,6994.6,15708.2,44.5,1221.9,0.0,4352.0,0.0
2026-09-04 15:22:51.693,8.032,1,35,10,10.0,31.01,32.705,37.991,38.463,0.813,1.029,1.041,35.285,41.248,41.74,99.749,100.933,101.074,20.805,25.915,25.915,32.244,37.735,38.191,0.0,8.98,113.827,128.396,140.47,0,19.0,32.25,17.0,536.9,4096.0,192.0,23.7,98.0,904.4,15.2,68.0,1575.0,25.2,121.1,73,7050.3,15708.2,44.9,1222.0,0.0,4352.0,0.0
2026-09-04 15:22:52.693,9.032,1,45,10,10.0,30.04,33.86,36.828,37.1,0.934,1.147,1.168,37.367,41.309,41.372,99.545,101.102,101.154,21.696,23.219,23.219,33.294,35.898,35.981,0.0,6.58,111.391,116.473,119.223,0,19.0,33.29,17.0,536.9,4096.0,192.0,23.7,98.0,904.4,15.14,68.0,1575.0,24.3,237.9,73,7050.0,15708.2,44.9,1222.0,0.0,4352.0,0.0
2026-09-04 15:22:53.695,10.035,1,55,10,9.98,30.32,33.602,37.114,38.11,0.904,1.139,1.196,36.479,40.722,41.682,100.208,101.906,102.07,21.192,23.977,23.977,32.986,36.616,37.836,0.0,9.27,113.736,131.465,140.662,0,22.0,32.91,18.0,536.9,4096.0,192.0,23.7,98.0,904.4,15.2,68.0,1575.0,20.1,168.7,73,7045.8,15708.2,44.9,1222.0,0.0,4352.0,0.0
