metric,n_windows,mean,std,min,median,max
elapsed_s,62,31.535274193548396,18.04171170059869,1.035,31.534999999999997,62.035
publishers,62,1.0,0.0,1.0,1.0,1.0
scans_total,62,217.41935483870967,161.60065618141982,0.0,203.0,508.0
scans_in_window,62,8.193548387096774,3.4060635886241832,0.0,10.0,11.0
scan_rate_hz,62,8.193709677419355,3.4063606048198634,0.0,10.0,11.0
drspaam_fps,59,24.173728813559322,10.292705803275258,0.67,28.74,31.54
t_det_ms_mean,59,144.33940677966103,313.17742670151597,32.176,35.553,1494.231
t_det_ms_p95,59,213.58849152542373,380.44897196916196,35.706,39.279,1494.231
t_det_ms_max,59,243.6791016949152,428.67713577360115,35.759,39.802,1494.231
t_track_ms_mean,59,0.8535423728813559,0.29155512414458096,0.577,0.799,2.395
t_track_ms_p95,59,1.0350338983050849,0.37861221021996194,0.577,0.952,2.73
t_track_ms_max,59,1.0661694915254236,0.38363241891984146,0.577,1.003,2.74
t_lat_ms_mean,59,151.78971186440674,322.36466049807046,34.371,38.61,1496.541
t_lat_ms_p95,59,222.642220338983,390.0788505983191,38.712,43.246,1496.541
t_lat_ms_max,59,251.16435593220342,436.7221908370458,38.712,43.524,1496.541
t_scan_ms_mean,58,194.0407068965517,304.6440581433855,99.051,100.0445,1789.26
t_scan_ms_p95,58,258.29172413793106,372.0357836539993,100.637,101.997,1789.26
t_scan_ms_max,58,279.3594310344828,404.94966273392515,100.664,102.41300000000001,1789.26
t_fwd_ms_mean,59,131.06528813559322,310.5880886832241,20.367,22.578,1468.405
t_fwd_ms_p95,59,198.9534406779661,379.0205797754064,23.088,24.688,1468.405
t_fwd_ms_max,59,228.93216949152546,427.7506608550953,23.127,25.264,1468.405
inference_ms_mean,59,143.83349152542368,313.1787520373988,31.706,34.793,1492.717
inference_ms_p95,59,212.97830508474576,380.4984294309992,35.25,38.336,1492.717
inference_ms_max,59,243.09622033898304,428.68731339939205,35.564,39.358,1492.717
missed_percent,62,0.4637096774193549,0.46924157108674824,0.0,0.28500000000000003,2.5
jitter_ms,62,9.630161290322581,1.9018666343543753,6.23,9.605,13.8
wire_ms_mean,62,115.60954838709675,14.269152932086042,108.625,113.648,223.772
wire_ms_p95,62,136.67603225806454,38.72553019542761,110.904,132.0045,418.831
wire_ms_max,62,148.62767741935482,41.35501592816554,111.115,142.914,429.544
busy_drop_in_window,62,1.7903225806451613,3.2245833217880864,0.0,0.0,9.0
gpu_util_percent,62,20.983870967741936,8.379310851360838,0.0,22.0,48.0
drspaam_gpu_duty_percent,59,50.076440677966104,35.80936511886587,7.04,34.66,149.26
gpu_mem_util_percent,62,17.419354838709676,6.369878880637575,0.0,18.0,37.0
gpu_mem_used_mb,62,582.2548387096774,188.4987365069795,482.9,568.9,2028.9
gpu_mem_total_mb,62,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,62,237.3548387096774,188.4987365069795,138.0,224.0,1684.0
torch_alloc_mb,62,54.12580645161291,187.3649510897915,21.8,24.8,1501.9
torch_reserved_mb,62,145.96774193548387,188.31591591859717,44.0,130.0,1590.0
torch_peak_mb,62,1459.103225806451,210.65045786624736,55.6,1501.9,1501.9
gpu_power_w,62,15.186612903225807,0.6790734853602385,11.69,15.285,17.57
gpu_temp_c,62,67.16129032258064,2.042126410138897,63.0,67.0,70.0
gpu_sm_clock_mhz,62,1581.741935483871,29.165404772379777,1575.0,1575.0,1732.0
cpu_percent_system,62,20.441935483870974,5.399014736682701,8.7,20.0,32.1
cpu_percent_process,62,233.95322580645163,73.12815769893275,74.4,228.95,378.7
proc_threads,62,71.7741935483871,1.246889307649827,65.0,72.0,72.0
ram_used_mb,62,6831.011290322582,56.416809798285946,6549.4,6833.450000000001,7000.3
ram_total_mb,62,15708.199999999995,5.501515629051179e-12,15708.2,15708.2,15708.2
ram_percent,62,43.48709677419356,0.35551111714776645,41.7,43.5,44.6
proc_rss_mb,62,1223.5596774193546,36.94198579730568,960.8,1229.9,1230.7
swap_used_mb,62,0.0,0.0,0.0,0.0,0.0
swap_total_mb,62,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,62,0.0,0.0,0.0,0.0,0.0
