wall_time,elapsed_s,publishers,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,missed_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04 15:04:56.904,1.035,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,13.8,223.772,418.831,429.544,8,0.0,,0.0,496.9,4096.0,152.0,21.8,66.0,55.6,11.69,63.0,1575.0,8.7,74.4,65,6549.4,15708.2,41.7,960.8,0.0,4352.0,0.0
2026-09-04 15:04:57.904,2.035,1,1,1,1.0,0.67,1494.231,1494.231,1494.231,0.643,0.643,0.643,1496.541,1496.541,1496.541,,,,1468.405,1468.405,1468.405,1492.717,1492.717,1492.717,0.0,11.88,113.199,135.408,154.531,9,42.0,149.26,27.0,502.9,4096.0,158.0,50.8,72.0,895.3,14.2,64.0,1627.0,9.7,106.0,65,6701.8,15708.2,42.7,1114.9,0.0,4352.0,0.0
2026-09-04 15:04:58.904,3.035,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,13.47,126.776,193.237,214.316,9,12.0,,11.0,488.9,4096.0,144.0,25.1,50.0,901.4,13.65,64.0,1627.0,11.9,138.0,72,6791.6,15708.2,43.2,1220.9,0.0,4352.0,0.0
2026-09-04 15:04:59.904,4.035,1,2,1,1.0,0.85,1178.921,1178.921,1178.921,0.8,0.8,0.8,1205.752,1205.752,1205.752,1789.26,1789.26,1789.26,1166.882,1166.882,1166.882,1178.77,1178.77,1178.77,2.5,11.52,109.219,110.904,111.115,9,32.0,117.88,30.0,2028.9,4096.0,1684.0,1501.9,1590.0,1501.9,15.2,64.0,1575.0,12.3,138.0,72,6802.6,15708.2,43.3,1226.3,0.0,4352.0,0.0
2026-09-04 15:05:00.905,5.036,1,3,1,1.0,0.82,1224.645,1224.645,1224.645,0.577,0.577,0.577,1322.215,1322.215,1322.215,1005.506,1005.506,1005.506,1180.964,1180.964,1180.964,1224.444,1224.444,1224.444,2.0,10.48,112.5,134.104,153.826,9,10.0,122.27,11.0,536.9,4096.0,192.0,35.3,98.0,1501.9,17.57,64.0,1732.0,18.1,134.8,72,6837.9,15708.2,43.5,1229.5,0.0,4352.0,0.0
2026-09-04 15:05:01.904,6.035,1,4,1,1.0,0.95,1052.643,1052.643,1052.643,0.652,0.652,0.652,1080.358,1080.358,1080.358,1400.078,1400.078,1400.078,1042.928,1042.928,1042.928,1052.503,1052.503,1052.503,1.67,12.92,113.678,141.66,167.814,9,16.0,105.41,16.0,590.9,4096.0,246.0,113.6,152.0,1501.9,16.52,64.0,1732.0,17.2,136.2,72,6871.0,15708.2,43.7,1229.6,0.0,4352.0,0.0
2026-09-04 15:05:02.905,7.035,1,12,8,8.0,6.18,161.933,689.454,1040.244,0.736,0.905,0.987,178.623,753.009,1123.256,337.094,1062.757,1096.002,149.048,677.513,1029.739,161.695,689.266,1040.083,1.43,7.84,108.625,110.942,111.144,4,22.0,129.31,18.0,536.9,4096.0,192.0,23.6,98.0,1501.9,16.01,65.0,1575.0,21.8,300.7,72,6875.2,15708.2,43.8,1229.6,0.0,4352.0,0.0
2026-09-04 15:05:03.904,8.035,1,14,2,2.0,28.4,35.68,36.2,36.258,0.703,0.726,0.729,38.61,39.466,39.561,100.698,100.803,100.815,23.111,23.126,23.127,35.208,35.953,36.036,1.25,8.53,115.004,136.831,155.899,6,14.0,7.04,14.0,536.9,4096.0,192.0,35.3,98.0,1501.9,14.24,64.0,1575.0,13.8,191.2,72,6875.7,15708.2,43.8,1229.6,0.0,4352.0,0.0
2026-09-04 15:05:04.904,9.035,1,17,3,3.0,2.64,378.562,960.495,1062.706,0.878,1.015,1.019,404.716,970.587,1067.13,399.42,912.756,1003.283,365.641,946.877,1049.338,378.358,960.3,1062.519,1.11,11.42,113.352,137.115,156.356,7,0.0,113.5,0.0,528.9,4096.0,184.0,31.8,90.0,1501.9,15.02,64.0,1575.0,20.2,197.0,72,6854.8,15708.2,43.6,1229.6,0.0,4352.0,0.0
2026-09-04 15:05:05.906,10.036,1,24,7,6.99,5.44,184.255,775.084,1091.809,0.775,0.936,0.957,204.937,807.141,1095.585,227.352,726.09,993.902,172.922,764.03,1081.534,183.939,774.83,1091.553,1.0,7.82,110.304,116.154,117.256,5,13.0,128.53,7.0,536.9,4096.0,192.0,23.6,98.0,1501.9,14.38,65.0,1575.0,20.6,173.7,72,6875.0,15708.2,43.8,1229.7,0.0,4352.0,0.0
2026-09-04 15:05:06.904,11.035,1,34,10,10.02,26.62,37.984,44.458,45.914,0.858,0.949,0.973,41.302,48.015,49.388,100.352,101.679,101.769,23.881,26.886,27.817,37.563,43.319,44.703,0.91,9.65,116.335,143.005,166.359,0,22.0,37.62,18.0,536.9,4096.0,192.0,23.7,98.0,1501.9,15.04,65.0,1575.0,32.1,344.5,72,6871.0,15708.2,43.7,1229.7,0.0,4352.0,0.0
2026-09-04 15:05:07.905,12.035,1,44,10,10.0,28.11,36.057,38.461,38.875,0.859,1.003,1.03,39.332,42.526,42.823,99.918,101.429,101.467,23.077,24.516,25.022,35.573,37.865,38.017,0.83,13.17,115.958,142.277,162.089,0,22.0,35.57,18.0,536.9,4096.0,192.0,23.6,98.0,1501.9,14.93,65.0,1575.0,25.8,344.9,72,6866.8,15708.2,43.7,1229.7,0.0,4352.0,0.0
2026-09-04 15:05:08.904,13.035,1,54,10,10.0,29.15,34.555,36.941,37.615,0.777,0.896,0.903,38.172,41.15,41.162,99.292,100.853,101.62,22.233,24.088,24.817,34.311,36.674,37.322,0.77,8.04,110.46,112.075,112.34,0,22.0,34.31,17.0,536.9,4096.0,192.0,23.7,98.0,1501.9,14.95,65.0,1575.0,20.7,280.0,72,6838.2,15708.2,43.5,1229.7,0.0,4352.0,0.0
2026-09-04 15:05:09.904,14.035,1,64,10,10.0,20.79,48.458,105.005,157.064,0.813,0.891,0.897,58.092,133.091,160.748,100.865,102.662,103.434,35.429,90.698,142.581,48.109,104.381,156.109,0.71,9.84,117.008,144.887,169.605,0,45.0,48.12,36.0,572.9,4096.0,228.0,23.6,134.0,1501.9,15.09,65.0,1575.0,26.8,361.0,72,6823.8,15708.2,43.4,1229.7,0.0,4352.0,0.0
2026-09-04 15:05:10.905,15.036,1,73,9,8.99,27.9,36.158,38.328,38.415,0.819,0.89,0.89,39.335,42.088,42.422,99.871,101.435,101.917,23.282,25.549,25.751,35.848,38.108,38.202,0.67,12.91,114.59,141.914,166.545,0,22.0,32.23,17.0,482.9,4096.0,138.0,37.9,44.0,1501.9,15.35,65.0,1575.0,21.8,282.8,72,6824.2,15708.2,43.4,1229.8,0.0,4352.0,0.0
2026-09-04 15:05:11.904,16.035,1,75,2,2.0,1.87,534.769,986.937,1037.178,0.609,0.69,0.699,557.65,992.22,1040.505,548.243,949.859,994.483,524.326,975.554,1025.69,534.584,986.708,1036.944,0.62,8.58,109.292,112.46,113.346,9,13.0,107.02,12.0,536.9,4096.0,192.0,23.7,98.0,1501.9,14.37,65.0,1575.0,13.9,166.1,72,6824.2,15708.2,43.4,1229.8,0.0,4352.0,0.0
2026-09-04 15:05:12.904,17.035,1,75,0,0.0,,,,,,,,,,,,,,,,,,,,0.59,9.77,115.853,142.421,164.623,8,25.0,,21.0,504.9,4096.0,160.0,25.1,212.0,1501.9,14.87,66.0,1575.0,14.1,137.1,72,6840.9,15708.2,43.6,1229.8,0.0,4352.0,0.0
