metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,221.0,111.01496832579184,63.94137997610775,1.015,56.015,111.015,166.015,221.015
clients,221.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,221.0,1117.1990950226245,640.3428174168577,0.0,568.0,1117.0,1668.0,2218.0
scans_in_window,221.0,10.036199095022624,1.5221253192341693,0.0,10.0,10.0,10.0,22.0
scan_rate_hz,221.0,10.036199095022624,1.5213158288435986,0.0,10.0,10.0,10.01,22.0
drspaam_fps,219.0,21.075479452054793,1.440546890061463,5.16,20.615000000000002,20.92,21.18,24.12
t_det_ms_mean,219.0,48.33300456621004,10.092166902779454,41.765,47.4945,48.095,48.8005,194.07
t_det_ms_p95,219.0,53.33443835616438,56.314725478549505,42.592,48.5055,49.419,51.048,882.093
t_det_ms_max,219.0,56.84242922374428,98.26192059387284,42.692,48.7195,49.702,51.9865,1503.687
t_track_ms_mean,219.0,2.1720776255707763,0.7488652139240606,0.678,1.666,2.059,2.4255,5.025
t_track_ms_p95,219.0,2.600625570776256,1.020915763799506,0.752,1.9535,2.402,2.925,7.713
t_track_ms_max,219.0,2.729442922374429,1.1001860935925976,0.752,2.0214999999999996,2.48,3.1375,7.976
t_lat_ms_mean,219.0,51.075251141552506,9.97769080103419,44.054,49.8195,50.576,51.291,195.971
t_lat_ms_p95,219.0,56.20118264840183,56.27298754721862,44.869,51.165000000000006,52.086,53.653999999999996,884.487
t_lat_ms_max,219.0,59.708584474885846,98.22041255999176,45.189,51.3815,52.429,54.7235,1506.021
t_scan_ms_mean,219.0,99.96430593607306,0.8476517658009798,98.846,99.6455,99.988,100.202,111.179
t_scan_ms_p95,219.0,101.78287214611872,3.998514485864736,100.414,101.1805,101.37,101.73349999999999,160.057
t_scan_ms_max,219.0,102.21568036529679,6.620811384775876,100.486,101.34049999999999,101.579,101.94399999999999,199.035
t_fwd_ms_mean,219.0,24.592415525114152,10.163298097392161,22.921,23.889,23.914,23.947499999999998,174.295
t_fwd_ms_p95,219.0,30.391031963470322,93.50779155164528,22.988,23.966,24.011,24.085,1407.852
t_fwd_ms_max,219.0,30.673342465753432,97.67797303532889,22.993,23.966,24.011,24.085,1469.566
inference_ms_mean,219.0,48.04229680365297,10.092876583186287,41.464,47.216,47.799,48.5025,193.784
inference_ms_p95,219.0,53.03143378995435,56.28822481027994,42.259,48.214,49.134,50.733000000000004,881.4
inference_ms_max,219.0,56.5339406392694,98.20359241654455,42.374,48.431,49.436,51.7025,1502.523
wire_ms_mean,219.0,133.45567579908675,238.48386299967473,102.877,105.307,107.329,108.071,2873.512
wire_ms_p95,219.0,144.98530136986304,284.0139002045411,104.253,108.554,109.662,111.543,3189.563
wire_ms_max,219.0,147.93538812785388,289.09866849366045,104.385,108.89099999999999,110.217,112.52799999999999,3218.993
gpu_util_percent,221.0,24.02262443438914,4.247398603759533,0.0,24.0,24.0,24.0,54.0
drspaam_gpu_duty_percent,219.0,48.678127853881286,12.375703841057286,38.78,47.065,47.8,48.75,213.16
gpu_mem_util_percent,221.0,20.289592760180994,3.7449760670120176,0.0,20.0,20.0,20.0,49.0
gpu_mem_used_mb,221.0,564.839819004525,7.981879931433382,477.6,565.6,565.6,565.6,565.6
gpu_mem_total_mb,221.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,221.0,219.2398190045249,7.98187993143338,132.0,220.0,220.0,220.0,220.0
torch_alloc_mb,221.0,29.76923076923076,6.931309324438562,17.6,27.7,27.7,29.8,82.0
torch_reserved_mb,221.0,125.35746606334841,6.739557640256748,54.0,126.0,126.0,126.0,126.0
torch_peak_mb,221.0,1127.3520361990948,73.55677002349675,38.8,1132.3,1132.3,1132.3,1132.3
gpu_power_w,221.0,18.750859728506786,1.0572862703673016,12.42,18.42,18.85,18.96,27.11
gpu_temp_c,221.0,73.9502262443439,2.0719473588080706,67.0,73.0,75.0,75.0,76.0
gpu_sm_clock_mhz,221.0,1577.7149321266968,20.042119367606112,1575.0,1575.0,1575.0,1575.0,1725.0
cpu_percent_system,221.0,11.653393665158372,4.757076047489261,5.1,7.9,9.4,15.1,30.1
cpu_percent_process,221.0,54.72307692307692,8.362527974594412,22.6,53.0,54.0,55.0,133.9
proc_threads,221.0,90.9366515837104,0.6643969315098865,84.0,91.0,91.0,91.0,91.0
ram_used_mb,221.0,8503.12488687783,198.13482339423436,8122.4,8330.1,8487.5,8657.1,8968.6
ram_total_mb,221.0,15708.2,0.0,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,221.0,54.13076923076923,1.261187696417312,51.7,53.0,54.0,55.1,57.1
proc_rss_mb,221.0,1197.533031674208,28.24708744992194,837.6,1199.3,1199.4,1200.3,1205.2
swap_used_mb,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,221.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
