metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,1309.0,655.0122352941177,378.02007709889074,1.012,328.012,655.013,982.012,1309.012
clients,1309.0,0.9587471352177235,0.19895050577347292,0.0,1.0,1.0,1.0,1.0
scans_total,1309.0,6540.103132161956,3765.3140745938067,0.0,3278.0,6551.0,9823.0,12567.0
scans_in_window,1309.0,9.600458365164247,2.0791008489728116,0.0,10.0,10.0,10.0,20.0
scan_rate_hz,1309.0,9.600458365164247,2.0790990839183023,0.0,10.0,10.0,10.0,20.04
drspaam_fps,1254.0,21.504346092503987,2.0305476782729595,4.69,20.0,20.215,23.73,25.35
t_det_ms_mean,1254.0,47.25722886762361,6.22510279054452,39.731,42.4255,49.735,50.280249999999995,213.699
t_det_ms_p95,1254.0,49.43770175438597,25.531842660513675,40.163,43.9905,50.709500000000006,51.642250000000004,939.826
t_det_ms_max,1254.0,50.418535885167465,41.12623102256292,40.269,44.70375,50.878,52.00975,1496.805
t_track_ms_mean,1254.0,1.1808636363636364,0.6048612484147529,0.652,0.746,0.8885000000000001,1.4865000000000002,4.226
t_track_ms_p95,1254.0,1.4369720893141946,0.7661396708368188,0.7,0.85525,1.1815,1.764,6.266
t_track_ms_max,1254.0,1.50688995215311,0.8177058611443836,0.706,0.88425,1.2555,1.8290000000000002,6.766
t_lat_ms_mean,1254.0,48.863370813397125,6.097357437671083,41.27,44.158500000000004,50.998000000000005,51.65775,215.744
t_lat_ms_p95,1254.0,51.11692424242424,25.509611225781256,42.147,46.14275,52.055,53.18975,941.791
t_lat_ms_max,1254.0,52.107232854864435,41.12044142747919,42.186,46.90375,52.2395,53.560249999999996,1498.887
t_scan_ms_mean,1254.0,99.92574720893143,0.537417086064111,98.996,99.70625,99.882,100.098,110.782
t_scan_ms_p95,1254.0,101.45560366826156,2.409616674985798,100.087,101.01025,101.25,101.55799999999999,160.246
t_scan_ms_max,1254.0,101.74543062200958,3.974715534849275,100.236,101.138,101.434,101.78975,199.594
t_fwd_ms_mean,1254.0,24.034956140350875,4.62574144498718,23.015,23.885,23.9,23.921,187.687
t_fwd_ms_p95,1254.0,24.712124401913876,24.95628190127025,23.087,23.939,23.967,24.009,907.73
t_fwd_ms_max,1254.0,25.19750797448166,40.55182295300653,23.101,23.948,23.981,24.034,1460.024
inference_ms_mean,1254.0,46.98028708133971,6.228116894759529,39.455,42.145,49.468999999999994,50.0105,213.39
inference_ms_p95,1254.0,49.14629984051036,25.51975818133641,39.89,43.6955,50.427499999999995,51.35475,939.078
inference_ms_max,1254.0,50.12435087719298,41.10076753793283,39.989,44.413,50.601,51.704499999999996,1495.598
wire_ms_mean,1254.0,114.90071531100476,104.45725140878534,102.908,107.50525,109.6065,111.38525,2779.141
wire_ms_p95,1254.0,123.46182535885168,122.2001510343234,104.404,110.13525,112.539,124.025,3067.292
wire_ms_max,1254.0,128.24857496012757,124.35837332696458,104.541,110.563,113.189,135.26549999999997,3090.141
gpu_util_percent,1309.0,22.63712757830405,5.293570879880314,0.0,23.0,23.0,24.0,47.0
drspaam_gpu_duty_percent,1254.0,47.08356459330144,6.764964103278715,4.79,42.24,49.45,50.0175,213.41
gpu_mem_util_percent,1309.0,19.71581359816654,4.6542771308214705,0.0,20.0,20.0,21.0,41.0
gpu_mem_used_mb,1309.0,565.399847211612,4.18673089330663,471.6,565.6,565.6,565.6,565.6
gpu_mem_total_mb,1309.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,1309.0,219.7998472116119,4.18673089330663,126.0,220.0,220.0,220.0,220.0
torch_alloc_mb,1309.0,29.231856378915204,5.48137669855551,7.6,27.7,27.7,29.8,87.5
torch_reserved_mb,1309.0,125.83804430863255,3.3807407166392203,54.0,126.0,126.0,126.0,126.0
torch_peak_mb,1309.0,1130.6292589763175,42.72655561325752,38.8,1132.3,1132.3,1132.3,1132.3
gpu_power_w,1309.0,18.90196333078686,2.3234313464993823,5.54,19.08,19.31,19.53,27.44
gpu_temp_c,1309.0,77.29564553093965,1.6678707835765407,69.0,76.0,78.0,79.0,80.0
gpu_sm_clock_mhz,1309.0,1539.5133689839572,220.5516800893767,210.0,1575.0,1575.0,1575.0,1717.0
cpu_percent_system,1309.0,9.580748663101605,4.0059488319971885,2.8,7.4,7.9,9.9,31.3
cpu_percent_process,1309.0,50.02734912146677,11.46127574346662,0.0,47.0,54.0,55.0,132.9
proc_threads,1309.0,89.98319327731092,0.35152600064445133,82.0,90.0,90.0,90.0,90.0
ram_used_mb,1309.0,8621.555080213904,158.2585746543238,8155.1,8488.2,8622.7,8732.5,9190.1
ram_total_mb,1309.0,15708.199999999997,3.639369206075055e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,1309.0,54.88609625668449,1.008013363898467,51.9,54.0,54.9,55.6,58.5
proc_rss_mb,1309.0,1192.6596638655462,17.259733553372442,751.8,1190.1,1190.3,1199.5,1205.7
swap_used_mb,1309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,1309.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,1309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
