metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,216.0,108.51327314814814,62.498063265950975,1.013,54.76375,108.513,162.263,216.013
clients,216.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,216.0,1068.5555555555557,625.6949153795186,0.0,530.5,1069.0,1606.5,2145.0
scans_in_window,216.0,9.930555555555555,1.4239779416460687,0.0,10.0,10.0,10.0,21.0
scan_rate_hz,216.0,9.930509259259258,1.4227628607935343,0.0,10.0,10.0,10.0,20.98
drspaam_fps,213.0,23.046713615023474,1.3113940075616,5.69,22.86,23.19,23.41,27.25
t_det_ms_mean,213.0,44.170680751173705,9.12801502071256,36.893,43.004,43.414,44.042,175.958
t_det_ms_p95,213.0,48.87467136150235,51.266218813272694,41.714,44.039,44.959,46.248,793.075
t_det_ms_max,213.0,52.5810234741784,96.50399628774015,42.409,44.266,45.385,47.005,1453.989
t_track_ms_mean,213.0,1.3749483568075118,0.5969522927112606,0.661,0.792,1.454,1.851,2.834
t_track_ms_p95,213.0,1.6626901408450705,0.7540640942594967,0.712,0.966,1.797,2.248,4.774
t_track_ms_max,213.0,1.7430985915492956,0.8098490219461054,0.714,1.004,1.807,2.34,4.971
t_lat_ms_mean,213.0,46.12605633802817,9.123041242682122,38.142,44.669,45.272,46.322,177.328
t_lat_ms_p95,213.0,50.881507042253524,51.26492713886383,42.967,45.954,46.978,48.233,794.966
t_lat_ms_max,213.0,54.57570892018779,96.51935721236678,43.81,46.186,47.491,49.107,1456.16
t_scan_ms_mean,213.0,99.89117840375589,0.4755952041501758,95.574,99.686,99.943,100.131,101.207
t_scan_ms_p95,213.0,101.70078873239439,0.7610980073903586,99.949,101.286,101.618,101.958,108.458
t_scan_ms_max,213.0,101.961558685446,0.9128736777301679,100.122,101.425,101.826,102.205,108.767
t_fwd_ms_mean,213.0,24.565051643192486,9.092844820846755,22.94,23.926,23.944,23.967,156.639
t_fwd_ms_p95,213.0,29.81964788732395,83.4473895469529,23.062,24.001,24.038,24.112,1241.97
t_fwd_ms_max,213.0,30.65810798122066,95.68315291678455,23.068,24.001,24.038,24.112,1420.546
inference_ms_mean,213.0,43.88081220657278,9.125360339354158,36.693,42.719,43.118,43.746,175.644
inference_ms_p95,213.0,48.563610328638504,51.226430949039234,41.472,43.729,44.669,45.94,792.192
inference_ms_max,213.0,52.25913615023474,96.40971012771807,42.146,43.985,45.115,46.69,1452.303
wire_ms_mean,213.0,117.28283098591551,92.43657634449718,105.077,108.534,109.687,110.2,1387.541
wire_ms_p95,213.0,124.52044600938969,127.35885430199258,106.463,111.197,112.328,113.047,1697.354
wire_ms_max,213.0,125.69115962441315,130.94399819854166,106.561,111.53,112.669,113.619,1718.257
gpu_util_percent,216.0,23.51851851851852,3.686509615319282,0.0,23.0,24.0,24.0,49.0
drspaam_gpu_duty_percent,213.0,44.27840375586854,11.777487650790134,38.34,42.65,43.15,43.81,210.75
gpu_mem_util_percent,216.0,19.87037037037037,3.242429730905851,0.0,20.0,20.0,20.0,45.0
gpu_mem_used_mb,216.0,564.3870370370372,10.266722876452725,471.6,565.6,565.6,565.6,565.6
gpu_mem_total_mb,216.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,216.0,218.78703703703704,10.266722876452729,126.0,220.0,220.0,220.0,220.0
torch_alloc_mb,216.0,29.32222222222222,6.646010635286486,7.6,27.7,27.7,29.8,79.7
torch_reserved_mb,216.0,125.01851851851852,8.290068568158633,54.0,126.0,126.0,126.0,126.0
torch_peak_mb,216.0,1122.1749999999997,104.97709883145832,38.8,1132.3,1132.3,1132.3,1132.3
gpu_power_w,216.0,18.397500000000004,1.0283878781408191,12.48,18.177500000000002,18.5,18.64,28.83
gpu_temp_c,216.0,73.77314814814815,1.9021215319048594,68.0,72.0,74.0,75.0,76.0
gpu_sm_clock_mhz,216.0,1577.0833333333333,17.595255703052853,1575.0,1575.0,1575.0,1575.0,1725.0
cpu_percent_system,216.0,12.044907407407406,3.8453925303298973,2.8,8.95,13.0,13.6,23.2
cpu_percent_process,216.0,49.39675925925926,8.173060606731681,4.9,48.0,49.0,50.0,132.9
proc_threads,216.0,90.90277777777777,0.8211119328091332,84.0,91.0,91.0,91.0,91.0
ram_used_mb,216.0,8767.666666666666,176.31055713751104,8360.4,8615.475,8767.85,8909.75,9239.7
ram_total_mb,216.0,15708.200000000003,1.8232147040206985e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,216.0,55.817129629629626,1.1204787605686437,53.2,54.8,55.8,56.7,58.8
proc_rss_mb,216.0,1194.9513888888887,41.48589110592557,753.2,1198.6,1198.7,1201.2,1204.5
swap_used_mb,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,216.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
