metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,255.0,128.01222352941178,73.75635683411949,1.012,64.5125,128.012,191.512,255.013
clients,255.0,0.996078431372549,0.06262242910851497,0.0,1.0,1.0,1.0,1.0
scans_total,255.0,1278.0823529411764,738.8295949382689,0.0,643.0,1278.0,1914.0,2550.0
scans_in_window,255.0,10.0,1.5137168105947576,0.0,10.0,10.0,10.0,22.0
scan_rate_hz,255.0,9.999843137254903,1.5135815502163978,0.0,10.0,10.0,10.0,21.98
drspaam_fps,252.0,20.79936507936508,1.234131303126764,5.93,20.21,20.675,21.64,22.97
t_det_ms_mean,252.0,48.78950396825397,7.813410038278999,43.749,46.52575,48.661500000000004,49.766000000000005,168.845
t_det_ms_p95,252.0,52.84102777777778,43.18753371575443,45.731,48.0265,50.1695,51.873,734.559
t_det_ms_max,252.0,56.237047619047615,88.0683275425459,45.79,48.578,50.5195,52.72775,1448.009
t_track_ms_mean,252.0,1.6961507936507936,0.4671430941347351,0.678,1.50975,1.7255,2.004,2.692
t_track_ms_p95,252.0,2.0174880952380954,0.5402423056941174,0.734,1.7742499999999999,2.0465,2.36675,3.427
t_track_ms_max,252.0,2.105936507936508,0.5822863953003713,0.738,1.8145,2.1115,2.491,3.734
t_lat_ms_mean,252.0,50.91338888888888,7.809610812032435,45.663,48.8025,50.248000000000005,51.80875,170.822
t_lat_ms_p95,252.0,55.05974603174603,43.15599898680123,48.086,50.2905,52.255,54.06975,736.241
t_lat_ms_max,252.0,58.47696825396825,88.03319499096756,48.259,50.597,52.7685,54.826,1449.661
t_scan_ms_mean,252.0,99.90228968253969,0.3752013528652727,98.628,99.6895,99.898,100.1745,101.006
t_scan_ms_p95,252.0,101.90681746031746,0.6677424522095083,100.322,101.481,101.8985,102.22399999999999,105.373
t_scan_ms_max,252.0,102.16517857142857,0.8284090761618164,100.483,101.65675,102.053,102.44324999999999,105.538
t_fwd_ms_mean,252.0,24.399702380952384,7.758572532351248,22.893,23.896749999999997,23.918,23.94225,147.058
t_fwd_ms_p95,252.0,26.751373015873014,43.20268016913487,22.985,23.95975,23.991500000000002,24.039,709.843
t_fwd_ms_max,252.0,29.614753968253968,87.72735027877705,23.03,23.971,24.005499999999998,24.06575,1416.707
inference_ms_mean,252.0,48.49070634920635,7.81283644700749,43.542,46.21725000000001,48.3665,49.48,168.548
inference_ms_p95,252.0,52.53295238095237,43.164630460996385,45.458,47.69125,49.862,51.576750000000004,733.888
inference_ms_max,252.0,55.92515476190476,88.00271468343034,45.516,48.262499999999996,50.2555,52.37175,1446.659
wire_ms_mean,252.0,129.79656349206348,204.4341431402933,105.77,108.652,109.6325,110.4985,2722.695
wire_ms_p95,252.0,139.6608611111111,245.65438057696824,107.667,112.076,113.265,115.202,3039.622
wire_ms_max,252.0,141.7056507936508,249.9551122883482,108.158,112.4365,113.82650000000001,116.39,3071.084
gpu_util_percent,255.0,23.63137254901961,4.169324148674913,0.0,23.0,23.0,24.0,52.0
drspaam_gpu_duty_percent,252.0,49.16972222222223,11.695014445084677,42.27,46.26,48.44,49.535,219.09
gpu_mem_util_percent,255.0,20.27843137254902,3.6409911325569504,0.0,20.0,20.0,20.0,46.0
gpu_mem_used_mb,255.0,564.6588235294117,8.731812965563673,471.6,565.6,565.6,565.6,565.6
gpu_mem_total_mb,255.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,255.0,219.05882352941177,8.731812965563673,126.0,220.0,220.0,220.0,220.0
torch_alloc_mb,255.0,29.801568627450976,7.034476227654556,7.6,27.7,27.7,29.8,82.0
torch_reserved_mb,255.0,125.25490196078431,6.943651542403242,54.0,126.0,126.0,126.0,126.0
torch_peak_mb,255.0,1123.7235294117647,96.65116589769616,38.8,1132.3,1132.3,1132.3,1132.3
gpu_power_w,255.0,18.245254901960784,1.0492700095206282,11.47,18.07,18.29,18.57,26.22
gpu_temp_c,255.0,72.16470588235295,2.7170230009989593,63.0,72.0,72.0,74.0,75.0
gpu_sm_clock_mhz,255.0,1578.078431372549,21.810604891169273,1575.0,1575.0,1575.0,1575.0,1732.0
cpu_percent_system,255.0,11.22,4.09978297870033,2.0,7.8,9.6,13.6,24.2
cpu_percent_process,255.0,54.40156862745098,8.291856210733778,3.0,52.0,53.9,55.1,133.0
proc_threads,255.0,89.91372549019607,0.7939286367509386,82.0,90.0,90.0,90.0,90.0
ram_used_mb,255.0,8714.809019607843,196.36396554757826,8259.2,8628.099999999999,8723.0,8862.35,9082.9
ram_total_mb,255.0,15708.2,0.0,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,255.0,55.48,1.2474351639219476,52.6,54.9,55.5,56.4,57.8
proc_rss_mb,255.0,1193.2980392156862,35.17861225119201,751.8,1195.7,1195.7,1196.15,1203.5
swap_used_mb,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,255.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
