wall_time,elapsed_s,clients,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,inference_ms_mean,inference_ms_p95,inference_ms_max,predict_ms_mean,predict_ms_p95,predict_ms_max,grpc_service_ms_mean,grpc_service_ms_p95,grpc_service_ms_max,grpc_wire_ms_mean,grpc_wire_ms_p95,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-08-30T21:02:18.484,1.012,0,0,0,0.0,,,,,,,,,,,,,0.0,,0.0,470.9,4096.0,126.0,7.6,56.0,38.8,11.97,66.0,1575.0,3.0,2.0,82,8988.5,15708.2,57.2,758.4,611.0,4352.0,14.0
2026-08-30T21:02:19.484,2.012,1,0,0,0.0,,,,,,,,,,,,,0.0,,0.0,474.9,4096.0,130.0,13.8,56.0,38.8,11.97,66.0,1575.0,2.6,12.0,83,9013.2,15708.2,57.4,820.0,611.0,4352.0,14.0
2026-08-30T21:02:20.484,3.012,1,0,0,0.0,,,,,,,,,,,,,14.0,,13.0,480.9,4096.0,136.0,14.0,50.0,819.0,12.3,66.0,1575.0,7.4,103.0,83,9161.3,15708.2,58.3,993.9,611.0,4352.0,14.0
2026-08-30T21:02:21.484,4.012,1,19,19,19.0,9.35,106.981,353.681,1417.901,98.767,343.008,1398.208,108.652,355.561,1420.956,1189.055,1747.472,17.0,203.27,11.0,536.9,4096.0,192.0,23.5,98.0,819.0,14.73,66.0,1575.0,11.2,132.8,90,9377.8,15708.2,59.7,1205.8,611.0,4352.0,14.0
2026-08-30T21:02:22.485,5.013,1,33,14,13.98,43.65,22.912,24.25,24.39,14.624,14.757,14.765,24.665,26.341,26.568,202.028,472.413,16.0,32.04,15.0,536.9,4096.0,192.0,23.5,98.0,819.0,22.71,67.0,1732.0,4.0,38.0,90,9377.4,15708.2,59.7,1205.9,611.0,4352.0,14.0
2026-08-30T21:02:23.484,6.012,1,43,10,10.01,42.63,23.458,23.971,23.978,14.7,14.759,14.781,25.455,25.987,26.014,105.926,107.095,14.0,23.48,13.0,536.9,4096.0,192.0,41.2,98.0,819.0,17.39,67.0,1732.0,4.7,28.0,90,9384.0,15708.2,59.7,1205.9,611.0,4352.0,14.0
2026-08-30T21:02:24.484,7.012,1,53,10,10.0,41.21,24.268,25.266,25.596,15.434,15.905,16.342,26.223,27.222,27.556,107.008,109.275,15.0,24.27,13.0,536.9,4096.0,192.0,22.6,98.0,819.0,16.37,66.0,1575.0,3.3,29.0,90,9382.3,15708.2,59.7,1205.9,611.0,4352.0,14.0
2026-08-30T21:02:25.484,8.012,1,63,10,10.0,40.99,24.397,26.11,27.066,15.344,15.427,15.439,26.25,27.942,28.735,103.232,104.073,15.0,24.39,13.0,536.9,4096.0,192.0,22.6,98.0,819.0,15.24,66.0,1575.0,3.7,29.0,90,9383.8,15708.2,59.7,1205.9,611.0,4352.0,14.0
2026-08-30T21:02:26.484,9.012,1,73,10,10.0,40.77,24.53,25.897,26.643,15.357,15.414,15.421,26.575,27.995,28.416,103.5,104.625,15.0,24.53,13.0,536.9,4096.0,192.0,22.6,98.0,819.0,15.26,67.0,1575.0,4.4,30.0,90,9400.1,15708.2,59.8,1206.0,611.0,4352.0,14.0
2026-08-30T21:02:27.485,10.013,1,83,10,9.99,41.41,24.15,24.695,24.806,15.339,15.401,15.415,26.16,26.91,27.023,103.704,105.535,15.0,24.12,13.0,536.9,4096.0,192.0,22.6,98.0,819.0,15.26,67.0,1575.0,4.0,30.0,90,9406.0,15708.2,59.9,1206.1,611.0,4352.0,14.0
