metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,23.0,12.012347826086955,6.782464050829206,1.012,6.512,12.012,17.512500000000003,23.012
clients,23.0,0.9565217391304348,0.2085144140570748,0.0,1.0,1.0,1.0,1.0
scans_total,23.0,102.17391304347827,68.24198399406805,0.0,48.0,103.0,157.5,212.0
scans_in_window,23.0,9.217391304347826,4.177390679045414,0.0,10.0,10.0,10.0,19.0
scan_rate_hz,23.0,9.216956521739132,4.17644415391263,0.0,9.99,10.0,10.004999999999999,19.0
drspaam_fps,20.0,39.829499999999996,7.21485928301337,9.35,40.9875,41.315,41.52,43.65
inference_ms_mean,20.0,28.284699999999997,18.528332592063034,22.912,24.0855,24.204,24.39775,106.981
inference_ms_p95,20.0,41.500899999999994,73.48273531918551,23.971,24.70325,24.951,25.4515,353.681
inference_ms_max,20.0,95.0439,311.3697862624879,23.978,24.79775,25.262999999999998,26.13775,1417.901
predict_ms_mean,20.0,19.4592,18.668387694597236,14.624,15.33275,15.344,15.36275,98.767
predict_ms_p95,20.0,31.811400000000003,73.24879444698624,14.757,15.3885,15.4205,15.4935,343.008
predict_ms_max,20.0,84.65685,309.17824085405476,14.765,15.4115,15.43,15.55375,1398.208
grpc_service_ms_mean,20.0,30.256800000000005,18.45905325336395,24.665,26.07175,26.2045,26.39575,108.652
grpc_service_ms_p95,20.0,43.56675,73.43871646759557,25.987,26.87775,27.079,27.52525,355.561
grpc_service_ms_max,20.0,97.14985,311.59289589399805,26.014,27.0045,27.4045,28.06875,1420.956
grpc_wire_ms_mean,20.0,164.5095,242.1179533334289,103.034,105.04275,106.22,106.721,1189.055
grpc_wire_ms_p95,20.0,207.22044999999997,371.6131426985064,104.073,106.705,107.5215,108.06325,1747.472
gpu_util_percent,23.0,13.695652173913043,4.404902048324794,0.0,14.5,15.0,15.0,17.0
drspaam_gpu_duty_percent,20.0,33.435,40.01943179322555,21.79,24.08,24.225,24.425,203.27
gpu_mem_util_percent,23.0,11.869565217391305,3.8293643885837456,0.0,13.0,13.0,13.0,15.0
gpu_mem_used_mb,23.0,528.8999999999999,21.174598847761825,470.9,536.9,536.9,536.9,536.9
gpu_mem_total_mb,23.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,23.0,184.0,21.174598847761825,126.0,192.0,192.0,192.0,192.0
torch_alloc_mb,23.0,22.478260869565222,6.005070321421507,7.6,22.6,22.6,22.6,41.2
torch_reserved_mb,23.0,92.26086956521739,15.187367332168321,50.0,98.0,98.0,98.0,98.0
torch_peak_mb,23.0,751.1565217391304,224.7787919187277,38.8,819.0,819.0,819.0,819.0
gpu_power_w,23.0,15.299565217391304,2.044672630522526,11.97,15.215,15.27,15.325,22.71
gpu_temp_c,23.0,66.73913043478261,0.4489777585448796,66.0,66.5,67.0,67.0,67.0
gpu_sm_clock_mhz,23.0,1588.6521739130435,45.232338286644755,1575.0,1575.0,1575.0,1575.0,1732.0
cpu_percent_system,23.0,5.3,2.7745597521375926,2.6,3.5,4.1,5.800000000000001,12.0
cpu_percent_process,23.0,35.38260869565217,27.323227750460912,2.0,28.95,29.0,30.0,132.8
proc_threads,23.0,89.04347826086956,2.53122788869472,82.0,90.0,90.0,90.0,90.0
ram_used_mb,23.0,9353.513043478262,123.77954120990425,8988.5,9377.599999999999,9394.5,9406.05,9448.7
ram_total_mb,23.0,15708.200000000004,3.719741348654098e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,23.0,59.5391304347826,0.7901318246946246,57.2,59.7,59.8,59.9,60.2
proc_rss_mb,23.0,1160.6217391304347,125.58364093131405,758.4,1205.9,1206.1,1206.2,1206.3
swap_used_mb,23.0,611.0,0.0,611.0,611.0,611.0,611.0,611.0
swap_total_mb,23.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,23.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0
