wall_time,elapsed_s,clients,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,inference_ms_mean,inference_ms_p95,inference_ms_max,predict_ms_mean,predict_ms_p95,predict_ms_max,grpc_service_ms_mean,grpc_service_ms_p95,grpc_service_ms_max,grpc_wire_ms_mean,grpc_wire_ms_p95,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-08-30T21:37:15.333,1.013,2,0,0,0.0,,,,,,,,,,,,,0.0,,0.0,476.9,4096.0,132.0,26.5,56.0,38.8,13.3,74.0,1575.0,6.1,34.5,86,9791.9,15708.2,62.3,919.2,624.9,4352.0,14.4
2026-08-30T21:37:16.332,2.013,2,0,0,0.0,,,,,,,,,,,,,14.0,,8.0,608.9,4096.0,264.0,140.9,178.0,819.0,16.27,74.0,1575.0,11.0,104.1,86,9961.3,15708.2,63.4,1092.3,624.9,4352.0,14.4
2026-08-30T21:37:17.332,3.013,2,1,1,1.0,0.69,1442.123,1442.123,1442.123,1424.755,1424.755,1424.755,,,,,,18.0,144.2,12.0,524.9,4096.0,180.0,32.7,84.0,819.0,15.23,74.0,1575.0,12.4,134.9,93,10100.6,15708.2,64.3,1236.6,624.9,4352.0,14.4
2026-08-30T21:37:18.332,4.013,2,30,29,29.0,15.98,62.562,75.165,1080.742,54.1,66.503,1069.239,,,,,,60.0,181.43,54.0,552.9,4096.0,208.0,31.6,104.0,828.7,23.31,76.0,1717.0,12.3,104.0,93,10105.9,15708.2,64.3,1243.9,624.9,4352.0,14.4
2026-08-30T21:37:19.333,5.014,2,73,43,42.96,44.39,22.525,23.753,24.384,14.651,14.737,14.78,,,,,,61.0,96.76,55.0,552.9,4096.0,208.0,31.6,104.0,828.7,31.24,77.0,1717.0,16.0,105.9,93,10106.7,15708.2,64.3,1244.0,624.9,4352.0,14.4
2026-08-30T21:37:20.332,6.013,2,112,39,39.04,43.79,22.835,24.337,25.041,14.709,14.841,14.939,,,,,,54.0,89.15,49.0,552.9,4096.0,208.0,30.7,104.0,828.7,30.85,77.0,1717.0,18.5,96.1,93,10123.7,15708.2,64.4,1244.2,624.9,4352.0,14.4
2026-08-30T21:37:21.332,7.013,2,132,20,20.0,44.87,22.284,22.866,23.728,14.681,14.753,14.932,,,,,,20.0,44.56,17.0,552.9,4096.0,208.0,30.7,104.0,828.7,22.99,76.0,1717.0,11.0,51.0,93,10146.4,15708.2,64.6,1244.2,624.9,4352.0,14.4
2026-08-30T21:37:22.332,8.013,2,151,19,19.0,44.69,22.377,22.923,23.012,14.852,15.322,15.345,,,,,,30.0,42.52,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,22.15,76.0,1575.0,7.5,52.0,93,10137.2,15708.2,64.5,1244.3,624.9,4352.0,14.4
2026-08-30T21:37:23.332,9.013,2,171,20,20.0,43.8,22.83,23.893,24.185,15.247,15.38,15.566,,,,,,31.0,45.66,27.0,552.9,4096.0,208.0,31.6,104.0,828.7,19.82,76.0,1575.0,7.0,52.0,93,10109.3,15708.2,64.4,1244.3,624.9,4352.0,14.4
2026-08-30T21:37:24.334,10.014,2,191,20,19.97,43.83,22.818,23.45,23.77,15.264,15.408,15.446,,,,,,29.0,45.57,24.0,552.9,4096.0,208.0,56.4,104.0,828.7,19.85,76.0,1575.0,7.5,51.9,93,10119.0,15708.2,64.4,1244.3,624.9,4352.0,14.4
2026-08-30T21:37:25.332,11.013,2,210,19,19.03,42.84,23.344,25.338,26.466,15.387,15.626,17.588,,,,,,30.0,44.42,25.0,552.9,4096.0,208.0,31.6,104.0,828.7,19.92,75.0,1575.0,12.9,51.1,93,10106.5,15708.2,64.3,1244.3,624.9,4352.0,14.4
2026-08-30T21:37:26.332,12.013,2,230,20,20.0,43.75,22.857,24.06,25.428,15.236,15.35,15.368,,,,,,30.0,45.71,25.0,552.9,4096.0,208.0,31.6,104.0,828.7,19.97,76.0,1575.0,7.1,52.0,93,10104.9,15708.2,64.3,1244.3,624.9,4352.0,14.4
2026-08-30T21:37:27.332,13.013,2,250,20,20.0,43.27,23.113,24.961,25.538,15.287,15.41,15.421,,,,,,30.0,46.22,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.98,76.0,1575.0,7.3,52.0,93,10105.9,15708.2,64.3,1244.4,624.9,4352.0,14.4
2026-08-30T21:37:28.332,14.013,2,270,20,20.0,42.41,23.577,24.856,26.091,15.291,15.38,15.526,,,,,,30.0,47.16,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.98,76.0,1575.0,8.6,53.9,93,10094.4,15708.2,64.3,1244.4,624.9,4352.0,14.4
2026-08-30T21:37:29.333,15.014,2,290,20,19.98,43.09,23.206,24.326,25.868,15.275,15.461,15.531,,,,,,30.0,46.37,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.98,76.0,1575.0,8.8,52.0,93,10091.1,15708.2,64.2,1244.4,624.9,4352.0,14.4
2026-08-30T21:37:30.332,16.013,2,310,20,20.02,43.27,23.113,24.09,24.782,15.301,15.464,15.495,,,,,,14.0,46.28,12.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.64,76.0,1575.0,8.3,53.1,93,10082.0,15708.2,64.2,1244.5,624.9,4352.0,14.4
2026-08-30T21:37:31.332,17.013,2,330,20,20.0,43.41,23.038,23.788,23.89,15.283,15.5,15.547,,,,,,30.0,46.07,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.98,76.0,1575.0,8.0,52.0,93,10082.1,15708.2,64.2,1244.5,624.9,4352.0,14.4
2026-08-30T21:37:32.332,18.013,2,350,20,20.0,43.36,23.063,24.015,24.036,15.311,15.435,15.455,,,,,,30.0,46.13,26.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.95,76.0,1575.0,7.3,53.0,93,10083.0,15708.2,64.2,1244.5,624.9,4352.0,14.4
2026-08-30T21:37:33.332,19.013,2,370,20,20.0,43.23,23.133,24.521,25.048,15.3,15.472,15.505,,,,,,16.0,46.27,13.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.52,76.0,1575.0,8.5,53.0,93,10048.9,15708.2,64.0,1244.5,624.9,4352.0,14.4
2026-08-30T21:37:34.333,20.014,2,390,20,19.98,43.47,23.007,23.912,24.748,15.333,15.561,15.604,,,,,,30.0,45.97,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.94,76.0,1575.0,8.5,53.9,93,10043.6,15708.2,63.9,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:35.332,21.013,2,409,19,19.02,43.27,23.109,24.896,25.172,15.312,15.461,15.587,,,,,,29.0,43.95,25.0,552.9,4096.0,208.0,31.6,104.0,828.7,19.95,76.0,1575.0,8.9,53.1,93,10033.8,15708.2,63.9,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:36.332,22.013,2,429,20,20.0,43.45,23.013,24.205,24.848,15.265,15.361,15.383,,,,,,29.0,46.03,25.0,552.9,4096.0,208.0,31.6,104.0,828.7,19.8,76.0,1575.0,9.2,52.0,93,10040.2,15708.2,63.9,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:37.332,23.013,2,449,20,20.0,43.64,22.914,24.112,25.01,15.295,15.512,15.575,,,,,,30.0,45.83,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.97,76.0,1575.0,8.5,54.0,93,10035.4,15708.2,63.9,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:38.332,24.013,2,468,19,19.0,43.34,23.076,24.628,27.339,15.271,15.414,15.552,,,,,,30.0,43.84,25.0,552.9,4096.0,208.0,31.6,104.0,828.7,20.01,76.0,1575.0,8.3,52.0,93,10024.9,15708.2,63.8,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:39.333,25.014,2,488,20,19.98,43.26,23.118,24.613,25.386,15.245,15.353,15.382,,,,,,30.0,46.19,25.0,552.9,4096.0,208.0,31.6,104.0,828.7,20.0,76.0,1575.0,8.9,52.9,93,10027.6,15708.2,63.8,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:40.332,26.013,2,508,20,20.02,43.78,22.84,23.757,24.645,15.295,15.463,15.464,,,,,,30.0,45.73,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,20.01,76.0,1575.0,8.1,51.0,93,10034.0,15708.2,63.9,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:41.332,27.013,2,528,20,20.0,43.41,23.036,24.345,25.641,15.275,15.4,15.437,,,,,,30.0,46.07,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,20.02,76.0,1575.0,8.4,53.0,93,10032.3,15708.2,63.9,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:42.332,28.013,2,548,20,20.0,43.02,23.244,24.716,25.002,15.296,15.501,15.569,,,,,,15.0,46.49,13.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.73,76.0,1575.0,8.1,53.0,93,10032.5,15708.2,63.9,1244.6,624.9,4352.0,14.4
2026-08-30T21:37:43.332,29.013,2,568,20,20.0,42.72,23.409,25.551,25.938,15.249,15.337,15.346,,,,,,30.0,46.82,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,20.03,76.0,1575.0,8.7,55.0,93,10029.4,15708.2,63.8,1244.7,624.9,4352.0,14.4
2026-08-30T21:37:44.334,30.015,2,588,20,19.96,42.89,23.313,24.736,25.386,15.26,15.446,15.449,,,,,,29.0,46.53,25.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.98,76.0,1575.0,7.8,54.8,93,10011.8,15708.2,63.7,1244.7,624.9,4352.0,14.4
2026-08-30T21:37:45.332,31.013,2,608,20,20.04,43.49,22.993,23.761,23.967,15.255,15.357,15.396,,,,,,11.0,46.08,9.0,552.9,4096.0,208.0,30.7,104.0,828.7,19.53,76.0,1575.0,7.9,54.1,93,10017.3,15708.2,63.8,1244.7,624.9,4352.0,14.4
