metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,844.0,422.5132736966825,243.78611519356343,1.013,211.763,422.513,633.263,844.013
clients,844.0,1.9075829383886256,0.4144362163888442,0.0,2.0,2.0,2.0,2.0
scans_total,844.0,8354.777251184834,4805.68485498301,0.0,4193.0,8374.0,12553.75,15957.0
scans_in_window,844.0,18.906398104265403,4.443877717704816,0.0,20.0,20.0,20.0,43.0
scan_rate_hz,844.0,18.9064336492891,4.443716019106426,0.0,19.96,20.0,20.0,42.96
drspaam_fps,806.0,34.515781637717126,8.175299037786179,0.69,26.415,39.875,42.65,44.87
inference_ms_mean,806.0,32.38950496277916,50.25105516046133,22.284,23.44675,25.078000000000003,37.859,1442.123
inference_ms_p95,806.0,37.571100496277914,50.8316934031772,22.866,24.59825,27.871000000000002,47.039,1442.123
inference_ms_max,806.0,39.793911910669976,62.72724479521193,23.012,25.13175,29.804499999999997,48.665499999999994,1442.123
predict_ms_mean,806.0,23.116426799007446,49.836041448893965,14.651,15.27525,15.4365,27.5295,1424.755
predict_ms_p95,806.0,27.510049627791563,50.409935276381404,14.737,15.4,15.687000000000001,36.297,1424.755
predict_ms_max,806.0,29.324905707196034,62.37966875127703,14.78,15.452,17.646500000000003,37.8665,1424.755
grpc_service_ms_mean,0.0,,,,,,,
grpc_service_ms_p95,0.0,,,,,,,
grpc_service_ms_max,0.0,,,,,,,
grpc_wire_ms_mean,0.0,,,,,,,
grpc_wire_ms_p95,0.0,,,,,,,
gpu_util_percent,844.0,55.78791469194313,28.37193734768638,0.0,30.0,58.0,86.0,97.0
drspaam_gpu_duty_percent,806.0,60.73988833746898,15.469763876590163,4.41,46.53,49.945,74.72,181.43
gpu_mem_util_percent,844.0,42.98933649289099,19.65167927314031,0.0,25.0,46.0,64.0,71.0
gpu_mem_used_mb,844.0,668.6417061611376,112.56706392772524,476.9,552.9,778.1,778.1,778.1
gpu_mem_total_mb,844.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,844.0,207.9431279620853,3.39094988077479,132.0,208.0,208.0,208.0,264.0
torch_alloc_mb,844.0,32.70296208530805,6.484001901457925,26.5,30.7,30.7,31.6,140.9
torch_reserved_mb,844.0,104.00710900473933,3.1150264039010445,56.0,104.0,104.0,104.0,178.0
torch_peak_mb,844.0,827.7411137440761,27.19278224295537,38.8,828.7,828.7,828.7,828.7
gpu_power_w,844.0,22.802405213270145,2.7500030448418515,13.3,20.24,23.765,24.87,33.2
gpu_temp_c,844.0,78.9218009478673,1.641267507239263,74.0,78.0,80.0,80.0,81.0
gpu_sm_clock_mhz,844.0,1439.4170616113745,150.31031245008043,1237.0,1275.0,1537.0,1575.0,1717.0
cpu_percent_system,844.0,12.416587677725119,4.328649869711958,6.1,8.4,13.25,15.2,35.2
cpu_percent_process,844.0,64.36943127962085,19.718606784746537,0.0,53.0,56.0,81.0,134.9
proc_threads,844.0,92.8909952606635,0.5335389179473823,86.0,93.0,93.0,93.0,93.0
ram_used_mb,844.0,10540.681990521329,507.02679668616753,9791.9,10011.075,10964.55,11022.8,11154.9
ram_total_mb,844.0,15708.200000000003,1.820067962433126e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,844.0,67.10177725118484,3.2275811916821886,62.3,63.7,69.8,70.2,71.0
proc_rss_mb,844.0,1228.074644549763,14.136384384132633,919.2,1224.3,1224.5,1225.7,1245.0
swap_used_mb,844.0,626.5738151658768,1.6948779564519858,624.8,624.8,627.9,628.2,628.3
swap_total_mb,844.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,844.0,14.400000000000002,1.7774101195635996e-15,14.4,14.4,14.4,14.4,14.4
