wall_time,elapsed_s,sessions,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,loss_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,bad_packets_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04T14:50:20.506,1.007,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,6.49,7.186,25.445,41.153,8,0,19.0,,19.0,514.9,4096.0,170.0,25.0,84.0,103.5,13.2,66.0,1575.0,10.1,100.3,66,6517.1,15708.2,41.5,964.7,0.0,4352.0,0.0
2026-09-04T14:50:21.506,2.007,1,1,1,1.0,0.67,1490.665,1490.665,1490.665,2.053,2.053,2.053,1493.96,1493.96,1493.96,,,,1468.781,1468.781,1468.781,1489.56,1489.56,1489.56,0.0,7.12,14.508,36.88,40.468,4,0,5.0,148.95,5.0,528.9,4096.0,184.0,22.8,98.0,883.7,14.25,66.0,1575.0,11.7,134.9,73,6654.9,15708.2,42.4,1125.1,0.0,4352.0,0.0
2026-09-04T14:50:22.506,3.006,1,2,1,1.0,0.83,1200.111,1200.111,1200.111,1.488,1.488,1.488,1390.729,1390.729,1390.729,1305.215,1305.215,1305.215,1187.96,1187.96,1187.96,1197.646,1197.646,1197.646,0.0,3.31,3.386,3.792,3.857,2,0,20.0,119.8,13.0,536.9,4096.0,192.0,37.8,98.0,895.3,14.84,66.0,1575.0,9.3,102.1,73,6753.9,15708.2,43.0,1221.9,0.0,4352.0,0.0
2026-09-04T14:50:23.506,4.006,1,4,2,2.0,1.85,542.005,999.86,1050.733,0.992,1.258,1.287,811.414,1290.958,1344.241,1096.963,1098.708,1098.902,531.388,1039.864,1039.864,541.823,999.682,1050.555,0.0,4.29,3.634,4.111,4.163,2,0,43.0,108.36,27.0,502.9,4096.0,158.0,30.8,44.0,899.6,14.82,66.0,1575.0,13.2,151.0,73,6756.5,15708.2,43.0,1222.2,0.0,4352.0,0.0
2026-09-04T14:50:24.511,5.011,1,5,1,1.0,0.95,1055.082,1055.082,1055.082,0.774,0.774,0.774,1057.392,1057.392,1057.392,399.595,399.595,399.595,1044.787,1044.787,1044.787,1054.891,1054.891,1054.891,0.0,5.67,12.603,21.229,22.188,1,0,30.0,104.98,26.0,536.9,4096.0,192.0,24.7,98.0,899.6,14.23,66.0,1575.0,12.4,148.2,73,6755.8,15708.2,43.0,1222.6,0.0,4352.0,0.0
2026-09-04T14:50:25.506,6.006,1,6,1,1.0,24.85,41.39,41.39,41.39,1.161,1.161,1.161,277.001,277.001,277.001,807.082,807.082,807.082,22.951,22.951,22.951,40.248,40.248,40.248,0.0,3.7,3.847,5.216,5.452,1,0,0.0,4.04,0.0,488.9,4096.0,144.0,36.9,50.0,899.6,14.72,66.0,1575.0,11.8,138.8,73,6752.3,15708.2,43.0,1222.9,0.0,4352.0,0.0
2026-09-04T14:50:26.506,7.006,1,7,1,1.0,0.97,1035.93,1035.93,1035.93,0.716,0.716,0.716,1038.108,1038.108,1038.108,396.315,396.315,396.315,1025.613,1025.613,1025.613,1035.733,1035.733,1035.733,0.0,5.07,2.946,2.948,2.948,1,0,25.0,103.57,21.0,508.9,4096.0,164.0,36.7,70.0,899.6,14.61,66.0,1575.0,12.1,133.0,73,6742.6,15708.2,42.9,1223.3,0.0,4352.0,0.0
2026-09-04T14:50:27.506,8.006,1,8,1,1.0,0.97,1027.751,1027.751,1027.751,0.73,0.73,0.73,1271.679,1271.679,1271.679,796.462,796.462,796.462,1018.267,1018.267,1018.267,1027.588,1027.588,1027.588,0.0,4.15,15.366,36.34,40.041,2,0,25.0,102.76,21.0,488.9,4096.0,144.0,37.2,50.0,901.4,15.03,66.0,1575.0,12.1,134.0,73,6738.6,15708.2,42.9,1223.6,0.0,4352.0,0.0
2026-09-04T14:50:28.506,9.006,1,9,1,1.0,0.98,1022.473,1022.473,1022.473,0.793,0.793,0.793,1054.496,1054.496,1054.496,1201.074,1201.074,1201.074,1012.638,1012.638,1012.638,1022.341,1022.341,1022.341,0.0,2.24,3.1,3.111,3.112,1,0,25.0,102.22,21.0,536.9,4096.0,192.0,35.3,98.0,901.4,15.02,66.0,1575.0,11.9,133.0,73,6739.5,15708.2,42.9,1224.0,0.0,4352.0,0.0
2026-09-04T14:50:29.509,10.01,1,13,4,3.99,3.58,279.753,880.521,1030.664,0.736,0.825,0.838,382.511,1141.995,1317.032,698.703,1133.432,1190.999,269.985,1021.088,1021.088,279.156,879.571,1029.576,0.0,3.59,4.051,5.209,5.37,1,0,0.0,111.25,0.0,536.9,4096.0,192.0,23.6,98.0,901.4,14.37,66.0,1575.0,5.9,34.9,73,6738.5,15708.2,42.9,1224.1,0.0,4352.0,0.0
2026-09-04T14:50:30.506,11.006,1,15,2,2.01,29.29,34.342,35.256,35.358,1.03,1.106,1.114,36.47,37.422,37.528,402.468,402.552,402.561,23.163,23.204,23.204,34.14,35.035,35.135,0.0,5.76,13.945,23.749,24.838,0,0,0.0,6.85,0.0,536.9,4096.0,192.0,23.6,98.0,901.4,12.03,65.0,1575.0,8.8,72.3,73,6734.3,15708.2,42.9,1224.1,0.0,4352.0,0.0
2026-09-04T14:50:31.507,12.007,1,16,1,1.0,29.87,33.652,33.652,33.652,0.979,0.979,0.979,35.49,35.49,35.49,401.563,401.563,401.563,23.036,23.036,23.036,33.479,33.479,33.479,0.0,2.74,2.934,2.995,3.004,0,0,6.0,3.35,5.0,536.9,4096.0,192.0,31.0,98.0,901.4,12.06,65.0,1575.0,18.1,97.9,73,6772.4,15708.2,43.1,1224.3,0.0,4352.0,0.0
2026-09-04T14:50:32.506,13.007,1,17,1,1.0,0.91,1099.063,1099.063,1099.063,0.663,0.663,0.663,1101.212,1101.212,1101.212,397.025,397.025,397.025,1085.988,1085.988,1085.988,1098.838,1098.838,1098.838,0.0,4.48,2.958,2.979,2.981,1,0,10.0,109.89,5.0,508.9,4096.0,164.0,51.4,70.0,901.4,14.76,65.0,1575.0,18.5,123.1,73,6798.2,15708.2,43.3,1224.6,0.0,4352.0,0.0
2026-09-04T14:50:33.506,14.007,1,20,3,3.0,2.6,384.861,980.252,1085.259,0.897,0.941,0.947,551.15,1276.155,1393.128,799.322,1162.947,1203.837,374.226,1075.311,1075.311,384.031,979.28,1084.204,0.0,4.32,16.566,37.444,40.976,2,0,22.0,115.17,14.0,536.9,4096.0,192.0,23.6,98.0,901.4,14.57,66.0,1575.0,24.0,176.0,73,6786.0,15708.2,43.2,1224.8,0.0,4352.0,0.0
