metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,158.0,79.50727848101265,45.75496787588457,1.007,40.258250000000004,79.5075,118.757,158.007
sessions,158.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,158.0,324.82278481012656,286.2526058955697,0.0,83.5,202.0,551.5,944.0
scans_in_window,158.0,5.974683544303797,3.9227401171383334,0.0,2.0,5.0,10.0,11.0
scan_rate_hz,158.0,5.974746835443038,3.9225933348400166,0.0,2.0025,4.99,10.0,11.0
drspaam_fps,153.0,26.574836601307194,9.554936248690844,0.67,28.75,29.89,31.08,36.63
t_det_ms_mean,153.0,115.27631372549021,258.88792102267035,27.552,32.41,33.667,35.02,1490.665
t_det_ms_p95,153.0,159.8193202614379,327.70209740046903,28.437,34.857,36.105,37.709,1490.665
t_det_ms_max,153.0,174.50118300653594,358.31766597163613,28.535,35.028,36.181,38.48,1490.665
t_track_ms_mean,153.0,1.4683333333333333,0.4393728485011335,0.636,1.05,1.517,1.81,2.504
t_track_ms_p95,153.0,1.826718954248366,0.6226527339316703,0.636,1.258,1.906,2.371,3.016
t_track_ms_max,153.0,1.8949411764705881,0.6641142719847767,0.636,1.287,1.94,2.484,3.425
t_lat_ms_mean,153.0,128.9790522875817,280.67061017711603,30.099,34.961,36.145,37.734,1493.96
t_lat_ms_p95,153.0,173.90137908496732,354.64868536887104,30.838,37.422,38.807,40.87,1493.96
t_lat_ms_max,153.0,187.55054248366014,382.44994359102236,30.92,37.578,39.073,41.329,1493.96
t_scan_ms_mean,152.0,275.45307236842103,219.07091587519943,98.972,99.97175,181.459,399.966,1305.215
t_scan_ms_p95,152.0,306.60312500000003,260.43689155921055,99.992,101.51225,201.4925,401.56575,1305.215
t_scan_ms_max,152.0,318.93642763157897,282.66387710997384,99.992,101.77275,201.6585,401.6755,1305.215
t_fwd_ms_mean,153.0,103.85541176470588,258.7046777463621,19.654,21.474,22.041,22.951,1468.781
t_fwd_ms_p95,153.0,161.41119607843137,357.23532324201886,19.698,23.152,23.271,23.971,1468.781
t_fwd_ms_max,153.0,162.0746013071895,358.82317913303217,19.698,23.152,23.271,23.971,1468.781
inference_ms_mean,153.0,114.9919934640523,258.7828944750055,27.304,32.174,33.456,34.789,1489.56
inference_ms_p95,153.0,159.52648366013068,327.6227736607844,28.221,34.635,35.84,37.457,1489.56
inference_ms_max,153.0,174.2047254901961,358.2493709052624,28.322,34.818,35.924,38.239,1489.56
loss_percent,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jitter_ms,158.0,5.162278481012658,2.0132883070501064,1.9,3.36,4.865,6.84,11.71
wire_ms_mean,158.0,6.6470253164556965,4.710679314541644,2.93,3.1622500000000002,4.7075,8.0925,23.738
wire_ms_p95,158.0,14.81737341772152,14.08287630602335,2.948,3.69125,6.463,24.831000000000003,48.64
wire_ms_max,158.0,18.02244936708861,17.424080115004863,2.948,4.0495,6.7490000000000006,36.94975,64.925
busy_drop_in_window,158.0,0.4936708860759494,1.6462535557972247,0.0,0.0,0.0,0.0,10.0
bad_packets_in_window,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_util_percent,158.0,13.487341772151899,11.189017216208642,0.0,0.0,19.0,22.0,44.0
drspaam_gpu_duty_percent,153.0,34.42032679738562,34.115449895949304,3.05,9.47,32.66,34.15,148.95
gpu_mem_util_percent,158.0,11.227848101265822,9.082003436612414,0.0,0.0,17.0,18.0,34.0
gpu_mem_used_mb,158.0,556.0392405063291,35.358305784561104,482.9,536.9,538.9,584.9,842.9
gpu_mem_total_mb,158.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,158.0,211.13924050632912,35.358305784561104,138.0,192.0,194.0,240.0,498.0
torch_alloc_mb,158.0,27.586708860759487,29.49562442866723,22.8,23.6,23.6,23.7,390.8
torch_reserved_mb,158.0,117.11392405063292,35.498627350073946,44.0,98.0,100.0,146.0,404.0
torch_peak_mb,158.0,899.812658227848,63.796051166832996,103.5,905.5,905.5,905.5,905.5
gpu_power_w,158.0,13.679683544303797,1.2609855719213154,11.7,12.11,14.59,14.71,15.17
gpu_temp_c,158.0,63.70886075949367,0.9530627629753039,63.0,63.0,63.0,64.0,66.0
gpu_sm_clock_mhz,158.0,1575.0,0.0,1575.0,1575.0,1575.0,1575.0,1575.0
cpu_percent_system,158.0,16.701898734177213,6.869877677352183,4.4,11.125,16.9,22.075000000000003,33.4
cpu_percent_process,158.0,161.41708860759493,94.0886478549037,8.0,77.225,143.5,239.1,381.6
proc_threads,158.0,72.95569620253164,0.5568900989230111,66.0,73.0,73.0,73.0,73.0
ram_used_mb,158.0,6712.276582278482,41.386489945732514,6517.1,6685.0,6702.9,6735.5,6859.4
ram_total_mb,158.0,15708.199999999997,3.649546336464348e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,158.0,42.734810126582275,0.26347197126453886,41.5,42.6,42.7,42.9,43.7
proc_rss_mb,158.0,1225.1778481012661,22.473025935616555,964.7,1225.8,1227.6,1229.6,1229.7
swap_used_mb,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,158.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
