metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,175.0,88.0058114285714,50.662402474490136,1.006,44.5065,88.005,131.505,175.009
sessions,175.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,175.0,636.68,442.8741296493211,0.0,224.0,632.0,1024.5,1421.0
scans_in_window,175.0,8.12,3.264648684695301,0.0,7.0,10.0,10.0,11.0
scan_rate_hz,175.0,8.119314285714287,3.264127840875163,0.0,7.0,10.0,10.0,11.04
drspaam_fps,172.0,28.011279069767443,7.968351916961363,0.65,29.235,30.335,31.1875,33.87
t_det_ms_mean,172.0,70.33913953488373,168.56100004523412,29.693,32.266000000000005,33.166,34.46025,1533.842
t_det_ms_p95,172.0,116.10883139534882,258.2021165140366,29.984,35.22975,36.082499999999996,37.52125,1533.842
t_det_ms_max,172.0,134.69957558139538,307.659316711793,29.986,35.4805,36.373000000000005,38.44675,1533.842
t_track_ms_mean,172.0,1.486482558139535,0.46777319282737934,0.749,1.10325,1.452,1.76075,3.273
t_track_ms_p95,172.0,1.9273895348837207,0.6436090169298956,0.916,1.4075,1.919,2.3845,4.235
t_track_ms_max,172.0,2.0152906976744185,0.6974000901641138,0.916,1.4515,1.9489999999999998,2.44125,4.365
t_lat_ms_mean,172.0,74.52300581395347,172.1981112120231,31.256,34.34675,35.590500000000006,36.9135,1536.745
t_lat_ms_p95,172.0,120.57848837209302,264.42629036183286,31.609,37.65875,38.712,40.5275,1536.745
t_lat_ms_max,172.0,138.4334244186047,311.4901527678606,31.648,37.960499999999996,39.2285,41.311499999999995,1536.745
t_scan_ms_mean,171.0,161.84312280701755,134.5572895149218,97.978,99.76400000000001,100.023,100.60249999999999,932.501
t_scan_ms_p95,171.0,198.79748538011694,218.0083529694476,97.978,101.1445,101.617,103.3685,1371.031
t_scan_ms_max,171.0,213.69955555555552,258.3263358407713,97.978,101.2555,101.856,103.9225,1401.618
t_fwd_ms_mean,172.0,58.97031395348837,167.90460061383868,19.605,21.171999999999997,21.835,22.431,1508.797
t_fwd_ms_p95,172.0,103.61234302325582,258.28276233522286,19.618,23.15475,23.308,23.817,1508.797
t_fwd_ms_max,172.0,121.99009883720929,308.03105497733856,19.618,23.18875,23.361,23.98525,1508.797
inference_ms_mean,172.0,70.10215116279069,168.47642276126697,29.521,32.0645,32.9615,34.20275,1532.43
inference_ms_p95,172.0,115.85529069767442,258.1596005668114,29.806,34.99075,35.8535,37.2675,1532.43
inference_ms_max,172.0,134.45278488372094,307.6261833595014,29.808,35.2665,36.1385,38.197250000000004,1532.43
loss_percent,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jitter_ms,175.0,5.598857142857143,2.464113898962618,2.44,3.33,4.98,7.945,14.26
wire_ms_mean,175.0,6.128137142857143,3.0683865136543176,2.65,3.599,5.775,7.599,20.727
wire_ms_p95,175.0,16.602285714285713,12.069127315563355,2.782,5.3045,16.02,25.092,51.17
wire_ms_max,175.0,24.22684,18.86261143497015,2.782,6.0055,25.874,39.304500000000004,81.249
busy_drop_in_window,175.0,0.7657142857142857,2.1434131736183586,0.0,0.0,0.0,0.0,9.0
bad_packets_in_window,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_util_percent,175.0,17.994285714285713,8.040484590286448,0.0,19.0,19.0,22.0,48.0
drspaam_gpu_duty_percent,172.0,37.00749999999999,28.727763373612856,3.4,30.695,32.835,34.1625,153.26
gpu_mem_util_percent,175.0,15.56,6.684653895389755,0.0,17.0,18.0,18.0,35.0
gpu_mem_used_mb,175.0,553.4485714285714,20.14478300777185,488.9,536.9,568.9,568.9,598.9
gpu_mem_total_mb,175.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,175.0,208.54857142857142,20.14478300777185,144.0,192.0,224.0,224.0,254.0
torch_alloc_mb,175.0,27.924000000000003,9.874191135212678,23.7,23.8,23.8,25.0,114.4
torch_reserved_mb,175.0,114.36571428571429,20.139826484789744,50.0,98.0,130.0,130.0,160.0
torch_peak_mb,175.0,899.5125714285718,60.59251178758861,103.7,905.6,905.6,905.6,905.6
gpu_power_w,175.0,14.810457142857143,1.1386283425521493,11.7,14.915,15.2,15.415,17.37
gpu_temp_c,175.0,67.09142857142857,1.9483815017060895,63.0,66.0,67.0,69.0,71.0
gpu_sm_clock_mhz,175.0,1577.3885714285714,16.369929177635075,1545.0,1575.0,1575.0,1575.0,1725.0
cpu_percent_system,175.0,18.145142857142858,6.928698179058317,3.4,13.45,18.5,23.200000000000003,36.7
cpu_percent_process,175.0,193.15657142857143,86.76336062415996,8.0,134.0,200.4,266.4,376.0
proc_threads,175.0,71.92,0.7461780010127625,65.0,72.0,72.0,72.0,72.0
ram_used_mb,175.0,6712.701714285716,41.234817441794604,6513.5,6681.3,6712.8,6741.8,6793.8
ram_total_mb,175.0,15708.2,0.0,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,175.0,42.73485714285714,0.26367617099902974,41.5,42.5,42.7,42.95,43.3
proc_rss_mb,175.0,1222.1325714285715,21.348657975918343,964.2,1222.8,1223.8,1225.5500000000002,1227.0
swap_used_mb,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,175.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
