metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,136.0,68.50768382352942,39.40404616180316,1.007,34.7585,68.507,102.25725,136.007
sessions,136.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,136.0,449.72058823529414,331.31725181578236,0.0,121.5,422.0,740.75,1050.0
scans_in_window,136.0,7.720588235294118,3.465579266358818,0.0,4.0,10.0,10.0,12.0
scan_rate_hz,136.0,7.721470588235293,3.467000951705745,0.0,3.9975,10.0,10.0,12.07
drspaam_fps,133.0,30.35593984962406,8.48109993559601,0.69,31.35,32.82,33.88,37.83
t_det_ms_mean,133.0,70.5145789473684,188.37076714136788,26.598,29.713,30.681,32.136,1459.815
t_det_ms_p95,133.0,111.40189473684211,257.5176573629191,26.993,32.664,34.064,36.054,1459.815
t_det_ms_max,133.0,132.56481954887218,314.204523159456,27.037,33.089,34.392,36.786,1459.815
t_track_ms_mean,133.0,1.2822406015037595,0.5472193503796613,0.722,0.926,1.018,1.555,3.567
t_track_ms_p95,133.0,1.5860075187969924,0.7426994732183381,0.742,1.095,1.204,2.118,4.321
t_track_ms_max,133.0,1.660518796992481,0.8055860148336188,0.744,1.113,1.242,2.242,4.437
t_lat_ms_mean,133.0,74.71548120300751,193.67035344382103,28.182,31.918,32.874,34.662,1462.781
t_lat_ms_p95,133.0,117.0002105263158,265.4564248156843,28.611,34.938,36.787,38.588,1462.781
t_lat_ms_max,133.0,137.7332105263158,319.2361585877996,28.659,35.277,37.438,40.235,1462.781
t_scan_ms_mean,132.0,180.86144696969697,167.897935169519,98.683,99.77475000000001,100.0395,205.50799999999998,1399.074
t_scan_ms_p95,132.0,218.37928030303033,225.8157587144347,99.272,101.4105,101.778,398.493,1399.074
t_scan_ms_max,132.0,240.7749696969697,280.9586168263236,99.278,101.64525,101.90950000000001,398.54200000000003,1399.074
t_fwd_ms_mean,133.0,58.70128571428571,187.7733746616162,16.983,18.516,18.974,19.6,1436.406
t_fwd_ms_p95,133.0,118.70093984962405,313.2032092860596,17.01,20.628,20.907,21.395,1436.406
t_fwd_ms_max,133.0,119.10721052631578,314.41027529403436,17.01,20.628,20.907,21.395,1436.406
inference_ms_mean,133.0,70.2774962406015,188.29639381158856,26.436,29.518,30.474,31.899,1458.427
inference_ms_p95,133.0,111.1296842105263,257.44689802101317,26.821,32.446,33.817,35.763,1458.427
inference_ms_max,133.0,132.28954887218046,314.1560289450004,26.863,32.879,34.113,36.511,1458.427
loss_percent,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jitter_ms,136.0,4.707132352941176,2.450556371622797,1.5,2.745,4.07,6.04,11.01
wire_ms_mean,136.0,10.608529411764707,3.9438126409956,7.523,8.463000000000001,8.725,11.88725,28.646
wire_ms_p95,136.0,18.22788235294118,13.021355014009544,8.471,8.86075,9.562,29.294,47.658
wire_ms_max,136.0,23.296374999999998,19.50212533904484,8.474,8.891,9.8925,44.8925,76.736
busy_drop_in_window,136.0,0.7426470588235294,2.0184200771502296,0.0,0.0,0.0,0.0,9.0
bad_packets_in_window,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpu_util_percent,136.0,15.25,7.865301199761072,0.0,16.75,17.0,20.0,40.0
drspaam_gpu_duty_percent,133.0,34.03887218045113,30.792701089463613,5.27,26.45,30.19,31.75,145.82
gpu_mem_util_percent,136.0,11.933823529411764,6.138165012182029,0.0,14.0,14.0,15.0,34.0
gpu_mem_used_mb,136.0,544.9088235294118,16.5110578909935,489.6,537.6,537.6,553.6,591.6
gpu_mem_total_mb,136.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,136.0,199.30882352941177,16.511057890993495,144.0,192.0,192.0,208.0,246.0
torch_alloc_mb,136.0,26.58382352941177,9.099558154419613,22.8,23.8,23.8,24.8,113.7
torch_reserved_mb,136.0,105.42647058823529,16.306159868994374,50.0,98.0,98.0,114.0,152.0
torch_peak_mb,136.0,897.0544117647061,68.65199936949539,103.7,897.3,905.6,905.6,905.6
gpu_power_w,136.0,15.627500000000001,1.3937052932540812,12.53,15.8275,16.23,16.5325,17.05
gpu_temp_c,136.0,68.36764705882354,2.3023621478158014,64.0,66.0,69.0,70.0,72.0
gpu_sm_clock_mhz,136.0,1575.0,0.0,1575.0,1575.0,1575.0,1575.0,1575.0
cpu_percent_system,136.0,21.32058823529412,8.104229509812294,4.8,15.775,22.799999999999997,27.150000000000002,38.1
cpu_percent_process,136.0,161.35073529411764,82.2551873823602,6.0,100.125,166.5,215.575,335.0
proc_threads,136.0,72.94852941176471,0.600245047998781,66.0,73.0,73.0,73.0,73.0
ram_used_mb,136.0,8893.676470588236,164.3882807552691,8376.3,8756.0,8937.15,8960.5,9249.9
ram_total_mb,136.0,15708.199999999997,3.651427942818462e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,136.0,56.61985294117647,1.049996109547726,53.3,55.775,56.9,57.025,58.9
proc_rss_mb,136.0,1221.3889705882355,23.757262196654946,964.8,1222.8,1224.3,1225.1,1226.2
swap_used_mb,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,136.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
