metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,364.0,182.50560714285717,105.22200999503954,1.005,91.755,182.505,273.255,364.005
sessions,364.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,364.0,1560.0686813186812,1009.4310036811563,0.0,670.5,1552.0,2428.5,3328.0
scans_in_window,364.0,9.142857142857142,2.3651343904247337,0.0,10.0,10.0,10.0,11.0
scan_rate_hz,364.0,9.142857142857142,2.3654594534289966,0.0,9.97,10.0,10.0,11.06
drspaam_fps,363.0,32.20633608815427,5.641424878540295,0.69,32.07,33.16,34.32,37.58
t_det_ms_mean,363.0,41.63541597796143,87.65885814911144,26.768,29.3495,30.357,31.3925,1440.927
t_det_ms_p95,363.0,62.34655371900827,154.28304154531799,27.264,32.451,33.243,34.611,1440.927
t_det_ms_max,363.0,71.97997245179064,195.34795217556564,27.264,32.676,33.57,35.6015,1440.927
t_track_ms_mean,363.0,1.173366391184573,0.5242662019141966,0.673,0.8265,0.904,1.4249999999999998,3.384
t_track_ms_p95,363.0,1.4776749311294768,0.7431582218189533,0.675,0.973,1.078,1.9295,4.15
t_track_ms_max,363.0,1.535573002754821,0.7945715632360558,0.675,0.995,1.13,2.0055,4.369
t_lat_ms_mean,363.0,45.49062534435262,93.10667920366606,28.739,31.961,33.141,34.4035,1442.681
t_lat_ms_p95,363.0,66.25453994490358,158.22574004238942,28.739,35.3695,36.474,38.076499999999996,1442.681
t_lat_ms_max,363.0,75.73217630853993,197.59767047863215,28.739,35.762,36.974,39.0245,1442.681
t_scan_ms_mean,362.0,128.58577624309393,94.51057030705188,97.378,99.71775,99.9815,100.25,900.614
t_scan_ms_p95,362.0,145.3755994475138,143.08690882993702,97.378,101.0685,101.3835,101.80875,1280.324
t_scan_ms_max,362.0,153.95791160220992,177.5909939669193,97.378,101.2495,101.607,102.07025,1300.097
t_fwd_ms_mean,363.0,30.236873278236917,87.13297967367251,16.988,18.3855,18.969,19.5965,1416.02
t_fwd_ms_p95,363.0,49.58976859504132,154.2363966218091,17.002,20.443,20.644,20.9675,1416.02
t_fwd_ms_max,363.0,58.82224793388429,195.52844762612423,17.003,20.5105,20.724,21.1465,1416.02
inference_ms_mean,363.0,41.426738292011024,87.6204619928167,26.608,29.137500000000003,30.158,31.1815,1439.812
inference_ms_p95,363.0,62.11313774104683,154.2676194208332,27.082,32.2385,33.028,34.373000000000005,1439.812
inference_ms_max,363.0,71.74002479338843,195.34072780152573,27.082,32.459,33.354,35.3535,1439.812
loss_percent,364.0,0.01054945054945055,0.04288141473558005,0.0,0.0,0.0,0.0,0.56
jitter_ms,364.0,4.583846153846154,2.4523552604330385,0.62,2.8475,3.67,5.66,12.03
wire_ms_mean,364.0,10.168464285714286,3.1520769848276555,5.368,8.29275,8.564,12.197,27.309
wire_ms_p95,364.0,18.056782967032966,12.932358788279886,5.862,8.70475,9.676,29.85575,51.36
wire_ms_max,364.0,24.034870879120877,21.008350587964017,6.153,8.7485,10.220500000000001,46.104,81.084
busy_drop_in_window,364.0,0.27197802197802196,1.183069472569597,0.0,0.0,0.0,0.0,8.0
bad_packets_in_window,364.0,0.005494505494505495,0.0740227607951281,0.0,0.0,0.0,0.0,1.0
gpu_util_percent,364.0,18.8489010989011,7.6408157224731035,0.0,17.0,19.0,20.0,39.0
drspaam_gpu_duty_percent,363.0,31.42280991735537,18.88803024557329,2.7,28.72,29.86,31.11,143.99
gpu_mem_util_percent,364.0,14.62912087912088,5.787545124131681,0.0,14.0,14.0,14.0,28.0
gpu_mem_used_mb,364.0,557.3582417582418,15.578002898656104,489.6,537.6,569.6,569.6,569.6
gpu_mem_total_mb,364.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,364.0,211.75824175824175,15.578002898656104,144.0,192.0,224.0,224.0,224.0
torch_alloc_mb,364.0,25.54423076923077,4.989845855896464,22.9,23.8,23.8,24.725,61.5
torch_reserved_mb,364.0,117.8021978021978,15.462186902456475,50.0,98.0,130.0,130.0,130.0
torch_peak_mb,364.0,906.409065934066,42.31329757584722,103.7,905.6,911.0,911.0,911.0
gpu_power_w,364.0,16.410054945054945,1.0495243562601073,12.55,16.3,16.71,17.01,17.56
gpu_temp_c,364.0,70.95879120879121,2.8110280013912523,64.0,69.0,72.0,73.0,74.0
gpu_sm_clock_mhz,364.0,1575.0,0.0,1575.0,1575.0,1575.0,1575.0,1575.0
cpu_percent_system,364.0,20.972252747252746,6.944893233058913,4.6,16.575000000000003,21.0,25.5,40.5
cpu_percent_process,364.0,193.00137362637363,74.48416640427621,6.0,144.425,194.25,248.925,363.7
proc_threads,364.0,71.98076923076923,0.36689969285267127,65.0,72.0,72.0,72.0,72.0
ram_used_mb,364.0,8688.688736263735,201.06530389217474,8391.1,8519.224999999999,8670.45,8838.775,9272.5
ram_total_mb,364.0,15708.200000000003,1.8214931754172132e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,364.0,55.30989010989012,1.2797473015931595,53.4,54.2,55.2,56.3,59.0
proc_rss_mb,364.0,1223.5876373626375,14.591893138546297,964.5,1223.7,1224.8,1225.8,1226.2
swap_used_mb,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,364.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
