metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,75.0,38.03752,21.794557987593937,1.037,19.538,38.037,56.537,75.039
publishers,75.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,75.0,259.6933333333333,173.07309605070506,0.0,109.0,252.0,395.0,580.0
scans_in_window,75.0,7.733333333333333,3.496458955175253,0.0,5.0,10.0,10.0,11.0
scan_rate_hz,75.0,7.734133333333334,3.496827169342553,0.0,5.0,9.98,10.0,11.0
drspaam_fps,72.0,24.058472222222225,11.61316138488268,0.64,26.97,29.535,30.78,35.87
t_det_ms_mean,72.0,140.91983333333334,280.15368577631875,28.188,32.767250000000004,34.56999999999999,37.620000000000005,1558.261
t_det_ms_p95,72.0,243.7628472222222,390.5796277138131,31.561,36.4375,37.649,42.952,1558.261
t_det_ms_max,72.0,289.0985138888889,459.5969002959065,31.571,36.870000000000005,37.840999999999994,46.1875,1558.261
t_track_ms_mean,72.0,1.539777777777778,0.6983332313691143,0.668,0.9235,1.337,2.1135,3.158
t_track_ms_p95,72.0,1.9287361111111114,0.946174223796132,0.668,1.06625,1.738,2.65075,4.763
t_track_ms_max,72.0,1.9952083333333333,0.9957190329634328,0.668,1.0739999999999998,1.811,2.6702500000000002,4.946
t_lat_ms_mean,72.0,147.68775,282.46728012458163,32.212,36.8305,38.2575,43.240249999999996,1561.663
t_lat_ms_p95,72.0,252.00812499999998,395.58007559158045,35.216,41.092,42.652,54.02725,1561.663
t_lat_ms_max,72.0,296.8968888888889,463.4610796530498,35.294,41.725,43.1095,63.931,1561.663
t_scan_ms_mean,71.0,151.61928169014084,130.9596262079253,96.215,99.635,100.064,100.553,797.632
t_scan_ms_p95,71.0,254.52526760563373,332.4436696886925,96.215,101.405,101.966,103.4465,1632.088
t_scan_ms_max,71.0,295.5611830985915,400.8967746187579,96.215,101.6175,102.415,104.3275,1690.989
t_fwd_ms_mean,72.0,129.330125,279.52722025057295,20.74,21.56875,22.320500000000003,23.28375,1532.977
t_fwd_ms_p95,72.0,275.57165277777784,458.62902659201245,22.87,23.649,24.705,28.03775,1532.977
t_fwd_ms_max,72.0,276.3217777777778,459.95563859707784,22.87,23.655,24.705,28.03775,1532.977
inference_ms_mean,72.0,140.38733333333337,279.8698473018495,27.877,32.489000000000004,33.8625,37.080999999999996,1554.101
inference_ms_p95,72.0,243.19459722222226,390.4432311535496,31.32,35.961,37.0565,41.9035,1554.101
inference_ms_max,72.0,288.54777777777775,459.48348135920844,31.337,36.1425,37.2835,45.69075,1554.101
missed_percent,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jitter_ms,75.0,9.091866666666666,2.5614695387995927,4.03,7.21,9.0,10.975,14.09
wire_ms_mean,75.0,113.60719999999999,7.3510162728185575,107.334,109.75649999999999,112.908,116.23,169.547
wire_ms_p95,75.0,130.82791999999998,24.34640603077044,109.661,113.92699999999999,129.827,141.772,303.389
wire_ms_max,75.0,136.34086666666667,28.378433564056163,109.768,114.634,141.376,147.286,334.219
busy_drop_in_window,75.0,2.24,3.4084156579409877,0.0,0.0,0.0,4.5,10.0
gpu_util_percent,75.0,20.293333333333333,6.556971394925699,0.0,19.0,22.0,22.0,42.0
drspaam_gpu_duty_percent,72.0,51.99875,41.01823689007638,3.24,30.567500000000003,33.54,36.695,155.43
gpu_mem_util_percent,75.0,17.24,5.377229267438259,0.0,17.0,18.0,18.0,29.0
gpu_mem_used_mb,75.0,540.8466666666667,24.279840004222244,458.9,536.9,536.9,560.9,590.9
gpu_mem_total_mb,75.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,75.0,195.94666666666666,24.279840004222237,114.0,192.0,192.0,216.0,246.0
torch_alloc_mb,75.0,28.832000000000008,14.652129814743935,14.9,23.8,23.8,23.9,113.6
torch_reserved_mb,75.0,102.18666666666667,23.499679890478397,30.0,98.0,98.0,122.0,152.0
torch_peak_mb,75.0,896.2426666666669,100.41863342397534,38.8,905.6,910.3,910.3,910.3
gpu_power_w,75.0,15.078133333333335,0.6306639430068989,11.18,14.934999999999999,15.16,15.434999999999999,15.68
gpu_temp_c,75.0,67.58666666666667,2.105933274098435,63.0,66.0,68.0,70.0,71.0
gpu_sm_clock_mhz,75.0,1576.2,7.298648523546689,1575.0,1575.0,1575.0,1575.0,1620.0
cpu_percent_system,75.0,20.35066666666667,5.021908039815181,11.4,16.65,19.9,23.9,31.7
cpu_percent_process,75.0,218.49333333333334,64.33816137417209,58.8,168.7,209.0,261.05,379.6
proc_threads,75.0,72.81333333333333,1.1353453258850406,66.0,73.0,73.0,73.0,73.0
ram_used_mb,75.0,6989.729333333333,46.162488496008784,6850.3,6959.299999999999,6976.3,7007.7,7115.6
ram_total_mb,75.0,15708.199999999997,3.662477257679844e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,75.0,44.5,0.30000000000000016,43.6,44.3,44.4,44.6,45.3
proc_rss_mb,75.0,1220.0999999999997,34.888246297710786,949.8,1223.85,1225.6,1227.1,1227.9
swap_used_mb,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,75.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
