metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,237.0,119.03300421940928,68.55994964587487,1.033,60.034,119.033,178.032,237.033
publishers,237.0,0.9282700421940928,0.2585863682003868,0.0,1.0,1.0,1.0,1.0
scans_total,237.0,1019.4388185654009,644.0107588152426,0.0,449.0,1011.0,1599.0,2008.0
scans_in_window,237.0,8.472573839662447,3.2877995642066566,0.0,10.0,10.0,10.0,12.0
scan_rate_hz,237.0,8.472531645569621,3.2877015830525402,0.0,9.98,10.0,10.0,12.0
drspaam_fps,217.0,34.97225806451613,11.58708484284622,0.66,31.12,37.42,43.44,49.25
t_det_ms_mean,217.0,65.46205069124424,173.49959016794963,20.569,23.332,27.052,32.515,1509.863
t_det_ms_p95,217.0,108.4345069124424,253.85145055082975,22.484,26.223,30.352,36.261,1509.863
t_det_ms_max,217.0,128.92970506912442,304.1614120093688,22.55,26.777,30.735,36.941,1509.863
t_track_ms_mean,217.0,0.9351612903225808,0.6585996625657051,0.21,0.467,0.627,1.219,3.317
t_track_ms_p95,217.0,1.2213502304147466,0.9108868068640187,0.261,0.605,0.791,1.639,4.32
t_track_ms_max,217.0,1.286405529953917,0.9730043877022325,0.276,0.631,0.835,1.751,5.215
t_lat_ms_mean,217.0,69.48842396313364,176.81822505629944,21.45,25.251,29.198,36.584,1512.85
t_lat_ms_p95,217.0,113.71977880184333,258.3961574315774,23.587,28.93,33.251,41.419,1512.85
t_lat_ms_max,217.0,132.91094470046085,306.2189595496846,23.686,29.442,33.764,42.124,1512.85
t_scan_ms_mean,216.0,130.86376388888888,159.83016206156995,97.918,99.64750000000001,100.0195,100.262,1791.945
t_scan_ms_p95,216.0,169.33741203703704,232.14689710081507,97.918,101.347,101.8065,102.38275,1791.945
t_scan_ms_max,216.0,184.58860185185188,269.9505415503535,97.918,101.48,102.08,102.95425,1791.945
t_fwd_ms_mean,217.0,57.8373594470046,172.1590682243589,17.107,18.71,19.386,22.074,1485.55
t_fwd_ms_p95,217.0,99.39921198156682,252.81357024178766,17.441,20.26,20.803,23.873,1485.55
t_fwd_ms_max,217.0,119.66885714285714,303.36682338935026,17.694,20.332,21.051,24.26,1485.55
inference_ms_mean,217.0,65.09234562211982,173.46977680774026,20.303,23.021,26.727,32.134,1508.217
inference_ms_p95,217.0,107.96366820276498,253.8513233301404,22.3,25.761,29.838,35.911,1508.217
inference_ms_max,217.0,128.44615207373272,304.16066741573763,22.357,26.396,30.411,36.342,1508.217
missed_percent,237.0,0.08400843881856539,0.17628092928669142,0.0,0.0,0.0,0.0,0.51
jitter_ms,237.0,9.355654008438819,4.784853762013046,3.81,6.88,8.35,10.78,48.69
wire_ms_mean,221.0,114.6586923076923,14.417943816501856,107.099,110.212,112.814,115.025,270.804
wire_ms_p95,221.0,130.7578190045249,34.612976965869585,109.086,115.385,126.721,134.664,438.4
wire_ms_max,221.0,137.00252488687784,37.17335101515558,109.374,116.445,134.483,143.867,445.203
busy_drop_in_window,237.0,0.8143459915611815,2.2187865285880055,0.0,0.0,0.0,0.0,10.0
gpu_util_percent,237.0,17.147679324894515,7.887404468687019,0.0,16.0,19.0,20.0,66.0
drspaam_gpu_duty_percent,217.0,34.672718894009215,28.30075605061381,2.92,22.87,25.66,31.48,150.82
gpu_mem_util_percent,237.0,13.708860759493671,6.226280888028713,0.0,13.0,14.0,18.0,38.0
gpu_mem_used_mb,237.0,568.4611814345989,61.7903221424092,460.9,548.9,564.9,584.9,1394.9
gpu_mem_total_mb,237.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,237.0,222.042194092827,59.23937286012128,116.0,204.0,220.0,240.0,1050.0
torch_alloc_mb,237.0,29.894092827004215,57.12943643455912,21.8,23.6,23.7,23.7,891.7
torch_reserved_mb,237.0,128.11814345991561,59.12141672171534,30.0,110.0,126.0,146.0,956.0
torch_peak_mb,237.0,902.5434599156121,56.07478595751972,43.8,905.5,905.5,905.5,910.1
gpu_power_w,237.0,15.261308016877638,1.2271765418606584,11.53,14.87,15.67,15.84,20.83
gpu_temp_c,237.0,65.80590717299577,0.6672474763807396,65.0,65.0,66.0,66.0,67.0
gpu_sm_clock_mhz,237.0,1580.2995780590718,28.413989300286655,1575.0,1575.0,1575.0,1575.0,1732.0
cpu_percent_system,237.0,12.741350210970463,6.8392234815235,0.6,8.2,10.6,17.3,30.6
cpu_percent_process,237.0,131.0223628691983,82.98390367396236,0.0,78.1,107.0,186.9,354.7
proc_threads,237.0,71.94092827004219,0.6416774751548846,65.0,72.0,72.0,72.0,72.0
ram_used_mb,237.0,7145.657383966244,150.9059511745876,6759.5,6958.6,7187.8,7256.0,7395.2
ram_total_mb,237.0,15708.2,0.0,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,237.0,45.491139240506335,0.9605158227661666,43.0,44.3,45.8,46.2,47.1
proc_rss_mb,237.0,1226.4198312236288,19.555780366278043,952.3,1227.2,1228.2,1228.6,1230.6
swap_used_mb,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,237.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
