metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,105.0,53.032790476190485,30.454946887446972,1.032,27.032,53.032,79.032,105.037
publishers,105.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,105.0,440.20952380952383,275.68075514003283,0.0,188.0,448.0,679.0,912.0
scans_in_window,105.0,8.685714285714285,2.991379556049625,0.0,10.0,10.0,10.0,12.0
scan_rate_hz,105.0,8.68552380952381,2.991399203406191,0.0,9.96,10.0,10.0,12.0
drspaam_fps,102.0,25.63705882352941,8.696882175852675,0.65,27.677500000000002,28.895000000000003,29.765,33.36
t_det_ms_mean,102.0,97.1811274509804,240.42680465906406,30.231,34.042,35.068,36.517250000000004,1544.857
t_det_ms_p95,102.0,153.80219607843136,304.6613372442039,32.211,37.554249999999996,39.1635,40.968,1544.857
t_det_ms_max,102.0,189.5819411764706,377.9383971116238,32.653,37.89525,39.924,42.09425,1544.857
t_track_ms_mean,102.0,1.184049019607843,0.47872837701500975,0.66,0.87575,0.934,1.413,2.501
t_track_ms_p95,102.0,1.4984313725490197,0.6666329984703597,0.66,1.0394999999999999,1.1415,1.902,3.182
t_track_ms_max,102.0,1.5621176470588234,0.7118688177922277,0.66,1.0474999999999999,1.2160000000000002,2.0307500000000003,3.384
t_lat_ms_mean,102.0,102.81325490196078,244.9446995712567,33.14,37.33475,38.783500000000004,40.464749999999995,1549.422
t_lat_ms_p95,102.0,161.8282843137255,312.0605401831408,34.874,41.692,43.5205,46.010999999999996,1549.422
t_lat_ms_max,102.0,195.59871568627452,381.090120658711,34.964,41.888000000000005,44.3065,47.48175,1549.422
t_scan_ms_mean,101.0,142.14073267326734,187.33300168645624,97.696,99.69,100.005,100.248,1498.997
t_scan_ms_p95,101.0,198.99249504950492,269.33187866142487,97.696,101.256,101.569,102.299,1498.997
t_scan_ms_max,101.0,231.11028712871286,334.7843590855265,97.696,101.367,101.745,102.734,1498.997
t_fwd_ms_mean,102.0,84.36308823529411,239.59446182152578,19.641,21.802999999999997,22.415999999999997,23.025750000000002,1519.404
t_fwd_ms_p95,102.0,174.52804901960786,377.06542206875537,19.665,23.8525,24.8225,26.0775,1519.404
t_fwd_ms_max,102.0,175.0690588235294,378.38539121968194,19.665,23.8525,24.8225,26.083750000000002,1519.404
inference_ms_mean,102.0,96.65236274509805,240.20552861469514,29.972,33.597750000000005,34.6045,36.129,1542.824
inference_ms_p95,102.0,153.19770588235292,304.5222549014263,31.987,36.9255,38.522999999999996,40.59125,1542.824
inference_ms_max,102.0,188.9909509803922,377.8730730999859,32.436,37.58325,39.354,41.4075,1542.824
missed_percent,105.0,0.17780952380952383,0.19681102294988145,0.0,0.0,0.0,0.36,0.52
jitter_ms,105.0,10.837809523809524,6.094697408553725,4.45,8.43,9.86,11.52,52.26
wire_ms_mean,105.0,114.61740952380954,10.956211842441112,107.34,111.197,113.498,115.081,212.019
wire_ms_p95,105.0,134.3682761904762,33.052306058409215,110.333,123.236,131.148,136.729,383.229
wire_ms_max,105.0,142.79931428571427,40.13688081387968,110.472,129.011,141.534,145.778,418.076
busy_drop_in_window,105.0,1.3047619047619048,2.71081810502564,0.0,0.0,0.0,0.0,10.0
gpu_util_percent,105.0,20.38095238095238,6.791370305226379,0.0,19.0,22.0,22.0,44.0
drspaam_gpu_duty_percent,102.0,45.757843137254916,34.4412436852825,3.45,33.185,34.41,36.125,154.25
gpu_mem_util_percent,105.0,17.085714285714285,5.850894549807494,0.0,17.0,18.0,18.0,35.0
gpu_mem_used_mb,105.0,547.0523809523808,20.310465733582237,488.9,536.9,542.9,572.9,572.9
gpu_mem_total_mb,105.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,105.0,202.01904761904763,20.344145326954614,144.0,192.0,198.0,228.0,228.0
torch_alloc_mb,105.0,26.544761904761902,5.6401374259099555,23.7,23.8,23.8,24.9,45.7
torch_reserved_mb,105.0,107.88571428571429,20.363671596230404,50.0,98.0,104.0,134.0,134.0
torch_peak_mb,105.0,897.7866666666667,82.03377595500464,65.7,905.6,905.6,905.6,910.3
gpu_power_w,105.0,15.132190476190477,0.3713592003406615,12.9,15.02,15.18,15.31,15.98
gpu_temp_c,105.0,67.63809523809523,0.9519596137584337,66.0,67.0,68.0,68.0,69.0
gpu_sm_clock_mhz,105.0,1576.7142857142858,10.465799875449894,1575.0,1575.0,1575.0,1575.0,1650.0
cpu_percent_system,105.0,22.383809523809525,5.476385033970223,8.0,17.9,22.8,25.7,35.2
cpu_percent_process,105.0,233.6961904761905,72.04788461610569,36.0,174.4,237.4,279.6,385.9
proc_threads,105.0,72.86666666666666,0.9614358919652285,66.0,73.0,73.0,73.0,73.0
ram_used_mb,105.0,7005.115238095239,50.88784572460149,6742.9,6965.4,7023.4,7040.3,7077.0
ram_total_mb,105.0,15708.200000000003,1.8277136233984957e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,105.0,44.59619047619048,0.32989619857085556,42.9,44.3,44.7,44.8,45.1
proc_rss_mb,105.0,1220.5819047619048,27.629829132216123,962.3,1223.6,1223.7,1225.0,1226.1
swap_used_mb,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,105.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
