metric,count,mean,std,min,25%,50%,75%,max
elapsed_s,212.0,106.53533018867925,61.34331120772967,1.035,53.785,106.535,159.2855,212.035
publishers,212.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
scans_total,212.0,943.1698113207547,594.746175844352,0.0,425.5,936.0,1459.5,1976.0
scans_in_window,212.0,9.320754716981131,2.2542100467373865,0.0,10.0,10.0,10.0,11.0
scan_rate_hz,212.0,9.320754716981131,2.2542224510864908,0.0,9.98,10.0,10.0,11.03
drspaam_fps,208.0,27.85091346153846,6.482583849396442,0.67,28.3375,29.335,30.435,33.81
t_det_ms_mean,208.0,67.55137500000001,174.38473647014544,30.057,33.35725,34.53,35.7895,1494.231
t_det_ms_p95,208.0,94.84098076923077,226.56641245910436,30.598,37.28325,38.4375,40.012,1494.231
t_det_ms_max,208.0,107.0081298076923,262.49626753591645,30.658,37.8,39.0345,41.16525,1494.231
t_track_ms_mean,208.0,1.0015817307692307,0.37551657566853275,0.577,0.8027500000000001,0.87,0.9564999999999999,2.435
t_track_ms_p95,208.0,1.2465528846153846,0.50834549958484,0.577,0.9755,1.056,1.2397500000000001,3.06
t_track_ms_max,208.0,1.2951249999999999,0.5407342420555601,0.577,1.0045,1.082,1.3135,3.375
t_lat_ms_mean,208.0,72.00501442307693,179.7338893458769,32.587,36.2825,37.6505,39.1965,1496.541
t_lat_ms_p95,208.0,100.41848557692309,232.39937482265552,33.328,41.1455,42.376000000000005,43.664500000000004,1496.541
t_lat_ms_max,208.0,111.99160576923079,266.69519007260544,33.477,41.58025,43.1145,45.23825,1496.541
t_scan_ms_mean,207.0,129.35900483091785,167.25242984060753,99.051,99.71549999999999,99.995,100.226,1789.26
t_scan_ms_p95,207.0,157.38816908212561,224.69165177901027,100.549,101.3765,101.798,102.301,1789.26
t_scan_ms_max,207.0,168.12320289855074,255.61341344614468,100.55,101.59299999999999,102.045,102.6795,1789.26
t_fwd_ms_mean,208.0,54.93100480769231,172.97130004718838,19.672,21.402749999999997,22.066499999999998,22.7385,1468.405
t_fwd_ms_p95,208.0,80.53002884615384,225.89975360904486,19.722,23.37275,23.997500000000002,24.94925,1468.405
t_fwd_ms_max,208.0,92.364625,262.18187263511896,19.728,23.4295,24.3305,25.645500000000002,1468.405
inference_ms_mean,208.0,67.09400480769231,174.37909397156236,29.581,32.859750000000005,34.088499999999996,35.291,1492.717
inference_ms_p95,208.0,94.28484134615384,226.5869374561715,30.221,36.739999999999995,37.8755,39.293,1492.717
inference_ms_max,208.0,106.46820673076924,262.5026865512959,30.288,37.194,38.456,40.738749999999996,1492.717
missed_percent,212.0,0.40476415094339624,0.4141815901379832,0.0,0.09,0.18,0.8225,2.5
jitter_ms,212.0,8.004669811320756,2.33169087893608,2.59,6.4975000000000005,8.004999999999999,9.6025,13.8
wire_ms_mean,212.0,112.76505660377359,8.150501509682705,107.029,110.16375000000001,112.57749999999999,114.04350000000001,223.772
wire_ms_p95,212.0,128.03587735849055,23.33562005638949,107.029,115.19525,128.175,135.375,418.831
wire_ms_max,212.0,137.4513679245283,27.686890058738154,107.029,116.33274999999999,139.49349999999998,147.74525,429.544
busy_drop_in_window,212.0,0.6084905660377359,2.065864193796184,0.0,0.0,0.0,0.0,9.0
gpu_util_percent,212.0,21.60377358490566,6.112963841279987,0.0,19.0,22.0,22.0,48.0
drspaam_gpu_duty_percent,208.0,39.04889423076923,22.39499593062522,7.04,32.724999999999994,34.055,35.335,149.26
gpu_mem_util_percent,212.0,18.150943396226417,4.676841103531453,0.0,17.0,18.0,18.0,37.0
gpu_mem_used_mb,212.0,579.0509433962262,102.12368603948168,482.9,568.9,584.9,584.9,2028.9
gpu_mem_total_mb,212.0,4096.0,0.0,4096.0,4096.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,212.0,234.1509433962264,102.12368603948165,138.0,224.0,240.0,240.0,1684.0
torch_alloc_mb,212.0,33.347169811320754,101.6787024049666,21.8,23.6,23.7,24.7,1501.9
torch_reserved_mb,212.0,140.91509433962264,102.05719221094405,44.0,130.0,146.0,146.0,1590.0
torch_peak_mb,212.0,1489.383962264151,114.9312064063847,55.6,1501.9,1501.9,1501.9,1501.9
gpu_power_w,212.0,15.165566037735848,0.4987473981709883,11.69,14.9875,15.19,15.3825,17.57
gpu_temp_c,212.0,67.32075471698113,1.9763874834087574,63.0,66.0,67.0,69.0,71.0
gpu_sm_clock_mhz,212.0,1576.9716981132076,15.980116523885659,1575.0,1575.0,1575.0,1575.0,1732.0
cpu_percent_system,212.0,21.289622641509432,5.707514448859495,7.3,17.775,21.15,24.924999999999997,47.9
cpu_percent_process,212.0,226.3084905660378,72.51943896014845,37.9,172.825,225.95,278.95,381.6
proc_threads,212.0,71.93396226415095,0.6782870524958259,65.0,72.0,72.0,72.0,72.0
ram_used_mb,212.0,6817.024528301887,47.46657653972994,6549.4,6788.125,6813.6,6837.95,7000.3
ram_total_mb,212.0,15708.200000000003,1.8232947099317895e-12,15708.2,15708.2,15708.2,15708.2,15708.2
ram_percent,212.0,43.39905660377358,0.300393196677641,41.7,43.2,43.4,43.5,44.6
proc_rss_mb,212.0,1228.6570754716981,20.132796024566204,960.8,1230.0,1230.7,1230.8,1230.8
swap_used_mb,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swap_total_mb,212.0,4352.0,0.0,4352.0,4352.0,4352.0,4352.0,4352.0
swap_percent,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
